<doc id="fb_17350215_JohannFerdinandH" delinquent_sexes="male" title="Todesurteil Johann Ferdinand H." attrs="word lemma pos vocab id">
<head>
Das	d	ART	Duden	tu_5_xTok_000252
Verbrechen	Verbrechen	NN	Duden	tu_5_xTok_000255
dieses	diese	PDAT	Duden	tu_5_xTok_000258
Delinquenten	Delinquent	NN	Duden	tu_5_xTok_000260
ist	sein	VAFIN	Duden	tu_5_xTok_000263
auß	aus	APPR	Duden	tu_5_xTok_000265
nachfolgenden	nachfolgend	ADJ-NN	Duden	tu_5_xTok_000267
zu	zu	PTKZU	Duden	tu_5_xTok_000269
vernehmen	vernehmen	VVINF	Duden	tu_5_xTok_000271
<g/>
.
</head>
<p id="fb_17350215_JohannFerdinandH_p_0001">
DJser	diese	PDAT	Duden	tu_5_xTok_000273
anheut	anheute	ADV	DWB	tu_5_xTok_000276
aufgesetzte	aufsetzen	ADJA	Duden	tu_5_xTok_000278
Delinquent	Delinquent	NN	Duden	tu_5_xTok_000280
<g/>
,
Namens	namens	ADV	Duden	tu_5_xTok_000284
Johann	Johann	NE	Duden	tu_5_xTok_000286
Ferdinand	Ferdinand	NE	Duden	tu_5_xTok_000288
H.	H.	NE	oov	tu_5_xTok_000290
hat	haben	VAFIN	Duden	tu_5_xTok_000293
zwar	zwar	ADV	Duden	tu_5_xTok_000295
die	d	ART	Duden	tu_5_xTok_000297
Koch=Profession	Kochprofession	NN	oov	tu_5_xTok_000299
8.	8	CARD		tu_5_xTok_000302
Jahr	Jahr	NN	Duden	tu_5_xTok_000305
lang	lang	ADJD	Duden	tu_5_xTok_000307
erlehrnet	erlernen	VVPP	Duden	tu_5_xTok_000309
<g/>
/
und	und	KON	Duden	tu_5_xTok_000313
derselben	dieselbe	PDS	Duden	tu_5_xTok_000315
eine	ein	ART	Duden	tu_5_xTok_000317
geraume	geraum	ADJA	Duden	tu_5_xTok_000319
Zeit	Zeit	NN	Duden	tu_5_xTok_000322
hindurch	hindurch	ADV	Duden	tu_5_xTok_000324
abgewartet	abwarten	VVPP	Duden	tu_5_xTok_000326
<g/>
/
nachgehends	nachgehends	ADV	DWB	tu_5_xTok_000330
aber	aber	ADV	Duden	tu_5_xTok_000333
mehresten	mehrste	ADJA	Duden	tu_5_xTok_000335
Theils	teils	ADV	Duden	tu_5_xTok_000337
müssig	müßig	ADJD	Duden	tu_5_xTok_000339
und	und	KON	Duden	tu_5_xTok_000341
Dienst=loß	dienstlos	ADJD	DWB	tu_5_xTok_000343
mit	mit	APPR	Duden	tu_5_xTok_000345
verschiedenen	verschieden	ADJA	Duden	tu_5_xTok_000347
Dieben	Dieb	NN	Duden	tu_5_xTok_000349
und	und	KON	Duden	tu_5_xTok_000351
Beutelschneidern	Beutelschneider	NN	Duden	tu_5_xTok_000353
herumbgezohen	herumziehen	VVPP	Duden	tu_5_xTok_000356
<g/>
/
und	und	KON	Duden	tu_5_xTok_000360
dem	d	ART	Duden	tu_5_xTok_000362
Stehlen	stehlen	VVINF-NN	Duden	tu_5_xTok_000364
nachgezohen	nachziehen	VVPP	Duden	tu_5_xTok_000366
ist	sein	VAFIN	Duden	tu_5_xTok_000368
<g/>
;
wie	wie	KOUS	Duden	tu_5_xTok_000371
dann	dann	ADV	Duden	tu_5_xTok_000373
er	er	PPER	Duden	tu_5_xTok_000375
H.	H.	NE	oov	tu_5_xTok_000377
derentwillen	derentwillen	ADV	Duden	tu_5_xTok_000380
nicht	nicht	PTKNEG	Duden	tu_5_xTok_000382
allein	allein	ADV	Duden	tu_5_xTok_000384
schon	schon	ADV	Duden	tu_5_xTok_000386
vor	vor	APPR	Duden	tu_5_xTok_000388
etlich	etlich	PIAT	Duden	tu_5_xTok_000390
und	und	KON	Duden	tu_5_xTok_000392
