<doc id="fb_17400127_PhilippK" delinquent_sexes="male" title="Todesurteil Philipp K." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_16_xTok_000268
des	d	ART	Duden	tu_16_xTok_000271
Verbrechens	Verbrechen	NN	Duden	tu_16_xTok_000273
dieses	diese	PDAT	Duden	tu_16_xTok_000276
Maleficantens	Malefikant	NN	Duden	tu_16_xTok_000277
<g/>
.
</head>
<p id="fb_17400127_PhilippK_p_0001">
DJeser	diese	PDAT	Duden	tu_16_xTok_000280
anheut	anheute	ADV	DWB	tu_16_xTok_000283
verurtheilte	verurteilen	ADJA	Duden	tu_16_xTok_000285
Delinquent	Delinquent	NN	Duden	tu_16_xTok_000287
ist	sein	VAFIN	Duden	tu_16_xTok_000289
nicht	nicht	PTKNEG	Duden	tu_16_xTok_000291
allein	allein	ADV	Duden	tu_16_xTok_000293
schon	schon	ADV	Duden	tu_16_xTok_000295
allbereits	allbereits	ADV	Duden	tu_16_xTok_000297
vor	vor	APPR	Duden	tu_16_xTok_000299
ungefähr	ungefähr	ADV	Duden	tu_16_xTok_000301
10.	10	CARD		tu_16_xTok_000303
Jahren	Jahr	NN	Duden	tu_16_xTok_000305
zu	zu	APPR	Duden	tu_16_xTok_000307
Wilzeshoffen	Wulzeshofen	NE::top	oov	tu_16_xTok_000309
in	in	APPR	Duden	tu_16_xTok_000312
Oesterreich	Österreich	NE::top	Duden	tu_16_xTok_000314
<g/>
/
woselbsten	woselbst	ADV	Duden	tu_16_xTok_000318
er	er	PPER	Duden	tu_16_xTok_000320
damahls	damals	ADV	Duden	tu_16_xTok_000322
bey	bei	APPR	Duden	tu_16_xTok_000324
einem	ein	ART	Duden	tu_16_xTok_000326
dasigen	dasig	ADJA	Duden	tu_16_xTok_000329
Bauren	Bauer	NN	Duden	tu_16_xTok_000331
als	als	KOKOM	Duden	tu_16_xTok_000333
Roß=Knecht	Rossknecht	NN	DWB	tu_16_xTok_000335
gedienet	dienen	VVPP	Duden	tu_16_xTok_000337
<g/>
/
in	in	APPR	Duden	tu_16_xTok_000341
das	d	ART	Duden	tu_16_xTok_000343
Zimmer	Zimmer	NN	Duden	tu_16_xTok_000345
diebisch	diebisch	ADJD	Duden	tu_16_xTok_000347
eingeschloffen	einschliefen	VVPP	DWB	tu_16_xTok_000349
<g/>
/
und	und	KON	Duden	tu_16_xTok_000353
der	d	ART	Duden	tu_16_xTok_000355
Gerichtlich	gerichtlich	ADJD	Duden	tu_16_xTok_000357
eingeholten	einholen	ADJA	Duden	tu_16_xTok_000359
Erfahrung	Erfahrung	NN	Duden	tu_16_xTok_000362
nach	nach	APPR	Duden	tu_16_xTok_000364
12.	12	CARD		tu_16_xTok_000366
biß	bis	KON	Duden	tu_16_xTok_000368
13.	13	CARD		tu_16_xTok_000370
fl.	Flore	NN	DWB	tu_16_xTok_000372
entfrembdet	entfremden	VVPP	Duden	tu_16_xTok_000375
<g/>
/
sondern	sondern	KON	Duden	tu_16_xTok_000379
auch	auch	ADV	Duden	tu_16_xTok_000382
über	über	APPR	Duden	tu_16_xTok_000384
dieses	diese	PDS	Duden	tu_16_xTok_000386
allhier	allhier	ADV	Duden	tu_16_xTok_000388
in	in	APPR	Duden	tu_16_xTok_000390
Wienn	Wien	NE::top	Duden	tu_16_xTok_000392
an	an	APPR	Duden	tu_16_xTok_000394
verschiedenen	verschieden	ADJA	Duden	tu_16_xTok_000396
Orthen	Ort	NN	Duden	tu_16_xTok_000398
in=	in	APPR	Duden	tu_16_xTok_000400
und	und	KON	Duden	tu_16_xTok_000402
ausser	außer	APPR	Duden	tu_16_xTok_000404
der	d	ART	Duden	tu_16_xTok_000406
Stadt	Stadt	NN	Duden	tu_16_xTok_000408
<g/>
/
als	als	ADV	Duden	tu_16_xTok_000412
nemlichen	nämlich	ADV	Duden	tu_16_xTok_000414
unter	unter	APPR	Duden	tu_16_xTok_000416
denen	d	ART	Duden	tu_16_xTok_000418
Weißgärbern	Weißgerber	NE::top	oov	tu_16_xTok_000420
<g/>
/
in	in	APPR	Duden	tu_16_xTok_000424
der	d	ART	Duden	tu_16_xTok_000426
Leopold=Stadt	Leopoldstadt	NE::top	oov	tu_16_xTok_000428
<g/>
/
Alstergassen	Alstergasse	NE::top	oov	tu_16_xTok_000432
<g/>
/
zu	zu	APPR	Duden	tu_16_xTok_000437
Gumpendorff	Gumpendorf	NE::top	oov	tu_16_xTok_000439
<g/>
/
und	und	KON	Duden	tu_16_xTok_000443
auf	auf	APPR	Duden	tu_16_xTok_000445
der	d	ART	Duden	tu_16_xTok_000447
Wienn	Wien	NE::top	Duden	tu_16_xTok_000449
<g/>
/
wie	wie	KOKOM	Duden	tu_16_xTok_000453
auch	auch	ADV	Duden	tu_16_xTok_000455
in	in	APPR	Duden	tu_16_xTok_000457
der	d	ART	Duden	tu_16_xTok_000459
Teinfalt=Strassen	Teinfaltstraße	NE::top	oov	tu_16_xTok_000461
sowohl	sowohl	KON	Duden	tu_16_xTok_000463
bey	bei	APPR	Duden	tu_16_xTok_000465
Tag	Tag	NN	Duden	tu_16_xTok_000467
als	als	KON	Duden	tu_16_xTok_000469
Nachts=Zeit	Nachtzeit	NN	Duden	tu_16_xTok_000471
in	in	APPR	Duden	tu_16_xTok_000473
die	d	ART	Duden	tu_16_xTok_000475
Böden	Boden	NN	Duden	tu_16_xTok_000477
eingeschloffen	einschliefen	VVPP	DWB	tu_16_xTok_000479
<g/>
/
und	und	KON	Duden	tu_16_xTok_000483
mittels	mittels	APPR	Duden	tu_16_xTok_000485
gewaltthätiger	gewalttätig	ADJA	Duden	tu_16_xTok_000487
Aufsprengung	Aufsprengung	NN	Duden	tu_16_xTok_000489
deren	d	ART	Duden	tu_16_xTok_000491
Verschlägen	Verschlag	NN	Duden	tu_16_xTok_000493
<g/>
/
Cäm̅erln	Kammer	NN	Duden	tu_16_xTok_000497
<g/>
/
sodann	sodann	ADV	Duden	tu_16_xTok_000501
alldarinnen	alldarinnen	ADV	oov	tu_16_xTok_000503
gefundenen	finden	ADJA	Duden	tu_16_xTok_000505
Truhen	Truhe	NN	Duden	tu_16_xTok_000507
und	und	KON	Duden	tu_16_xTok_000509
Kästen	Kasten	NN	Duden	tu_16_xTok_000511
<g/>
/
meistentheil	meistenteils	ADV	Duden	tu_16_xTok_000515
an	an	APPR	Duden	tu_16_xTok_000517
baarem	bar	ADJA	Duden	tu_16_xTok_000519
Geld	Geld	NN	Duden	tu_16_xTok_000521
<g/>
/
dann	dann	ADV	Duden	tu_16_xTok_000525
auch	auch	ADV	Duden	tu_16_xTok_000527
an	an	APPR	Duden	tu_16_xTok_000529
Kleydern	Kleid	NN	Duden	tu_16_xTok_000531
<g/>
/
Beth=Gewändern	Bettgewand	NN	DWB	tu_16_xTok_000535
<g/>
/
Fleisch	Fleisch	NN	Duden	tu_16_xTok_000540
<g/>
/
