<doc id="fb_17420912_JosephA_LeopoldK_J" delinquent_sexes="male" title="Todesurteile Leopold K., Joseph T., Johann S." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_21_xTok_000230
des	d	ART	Duden	tu_21_xTok_000233
Verbrechen	Verbrechen	NN	Duden	tu_21_xTok_000235
dieser	diese	PDAT	Duden	tu_21_xTok_000238
Delinquenten	Delinquent	NN	Duden	tu_21_xTok_000239
<g/>
.
</head>
<p id="fb_17420912_JosephA_LeopoldK_J_p_0001">
MJttwoch	Mittwoch	NN	Duden	tu_21_xTok_000242
den	d	ART	Duden	tu_21_xTok_000245
12.	12	ADJA		tu_21_xTok_000247
Sept.	September	NN	Duden	tu_21_xTok_000250
1742.	1742	CARD		tu_21_xTok_000253
werden	werden	VAFIN	Duden	tu_21_xTok_000255
nachfolgende	nachfolgend	ADJA	Duden	tu_21_xTok_000257
4.	4	CARD		tu_21_xTok_000260
Manns=Persohnen	Mannsperson	NN	Duden	tu_21_xTok_000262
<g/>
:
nemlichen	nämlich	ADV	Duden	tu_21_xTok_000265
Joseph	Joseph	NE	Duden	tu_21_xTok_000267
A.	A.	NE	oov	tu_21_xTok_000270
44.	44	CARD		tu_21_xTok_000273
Jahr	Jahr	NN	Duden	tu_21_xTok_000275
alt	alt	ADJD	Duden	tu_21_xTok_000277
<g/>
,
von	von	APPR	Duden	tu_21_xTok_000280
<placeName id="pn21a">
Rappoltenstain	Rappoltenstein	NE::top	oov	tu_21_xTok_000282
</placeName>
gebürtig	gebürtig	ADJD	Duden	tu_21_xTok_000284
<g/>
,
verheyrathen	verheiratet	ADJA	Duden	tu_21_xTok_000288
Stands	Stand	NN	Duden	tu_21_xTok_000290
<g/>
;
Dann	dann	ADV	Duden	tu_21_xTok_000293
Leopold	Leopold	NE	Duden	tu_21_xTok_000295
K.	K.	NE	oov	tu_21_xTok_000297
gegen	gegen	APPR	Duden	tu_21_xTok_000300
24.	24	CARD		tu_21_xTok_000302
Jahr	Jahr	NN	Duden	tu_21_xTok_000304
alt	alt	ADJD	Duden	tu_21_xTok_000306
<g/>
,
von	von	APPR	Duden	tu_21_xTok_000309
<placeName id="pn21b">
Stössing	Stössing	NE::top	oov	tu_21_xTok_000311
auß	aus	APPR	Duden	tu_21_xTok_000313
der	d	ART	Duden	tu_21_xTok_000315
Jaidenstorferischen	jaidensdorferisch	ADJA	oov	tu_21_xTok_000317
Herrschaft	Herrschaft	NN	Duden	tu_21_xTok_000319
</placeName>
<g/>
;
Joseph	Joseph	NE	Duden	tu_21_xTok_000323
T.	T.	NE	oov	tu_21_xTok_000325
22.	22	CARD		tu_21_xTok_000328
Ja.	Jahr	NN	Duden	tu_21_xTok_000330
alt	alt	ADJD	Duden	tu_21_xTok_000333
<g/>
,
von	von	APPR	Duden	tu_21_xTok_000336
<placeName id="pn21c">
Penzing	Penzing	NE::top	oov	tu_21_xTok_000338
anderthalb	anderthalb	CARD	Duden	tu_21_xTok_000340
St.	Stunde	NN	Duden	tu_21_xTok_000342
von	von	APPR	Duden	tu_21_xTok_000345
der	d	ART	Duden	tu_21_xTok_000347
sogenannten	sogenannt	ADJA	Duden	tu_21_xTok_000349
Tonerin	Tonerin	NE::top	oov	tu_21_xTok_000351
ausser	außer	APPR	Duden	tu_21_xTok_000353
Purckerstorf	Purkersdorf	NE::top	oov	tu_21_xTok_000355
</placeName>
<g/>
:
Und	und	KON	Duden	tu_21_xTok_000358
Johann	Johann	NE	Duden	tu_21_xTok_000360
S.	S.	NE	oov	tu_21_xTok_000362
auch	auch	ADV	Duden	tu_21_xTok_000365
22.	22	CARD		tu_21_xTok_000367
Jahr	Jahr	NN	Duden	tu_21_xTok_000369
alt	alt	ADJD	Duden	tu_21_xTok_000371
<g/>
,
von	von	APPR	Duden	tu_21_xTok_000374
sobenamsten	sobenamst	ADJA	oov	tu_21_xTok_000376
<placeName id="pn21d">
Breßbaum	Pressbaum	NE::top	oov	tu_21_xTok_000378
auf	auf	APPR	Duden	tu_21_xTok_000380
erst	erst	ADV	Duden	tu_21_xTok_000382
ersagter	ersagen	ADJA	DWB	tu_21_xTok_000384
Tonerin	Tonerin	NE::top	oov	tu_21_xTok_000386
</placeName>
gebürtig	gebürtig	ADJD	Duden	tu_21_xTok_000388
<g/>
,
alle	all	PIAT	Duden	tu_21_xTok_000391
3.	3	CARD		tu_21_xTok_000393
ledig	ledig	ADJA	Duden	tu_21_xTok_000395
und	und	KON	Duden	tu_21_xTok_000397
sammentlich	sammentlich	ADJA	DWB	tu_21_xTok_000399
Catholischer	katholisch	ADJA	Duden	tu_21_xTok_000401
Religion	Religion	NN	Duden	tu_21_xTok_000403
<g/>
,
<g/>
(
um	um	APPR	Duden	tu_21_xTok_000407
willen	willen	APZR	Duden	tu_21_xTok_000409
selbe	selbe	PDS	Duden	tu_21_xTok_000411
den	d	ART	Duden	tu_21_xTok_000413
16.	16	ADJA		tu_21_xTok_000415
Novembris	November	NN	Duden	tu_21_xTok_000417
letzt=abgewichenenen	letztabgewichen	ADJA	oov	tu_21_xTok_000419
1741.	1741	CARD		tu_21_xTok_000421
Jahrs	Jahr	NN	Duden	tu_21_xTok_000423
in	in	APPR	Duden	tu_21_xTok_000425
der	d	ART	Duden	tu_21_xTok_000427
Nacht	Nacht	NN	Duden	tu_21_xTok_000429
zwischen	zwischen	APPR	Duden	tu_21_xTok_000431
11.	11	CARD		tu_21_xTok_000433
und	und	KON	Duden	tu_21_xTok_000436
12.	12	CARD		tu_21_xTok_000438
Uhr	Uhr	NN	Duden	tu_21_xTok_000440
mit	mit	APPR	Duden	tu_21_xTok_000442
noch	noch	ADV	Duden	tu_21_xTok_000444
2.	2	CARD		tu_21_xTok_000446
anderen	ander	PIS	Duden	tu_21_xTok_000448
zusammen	zusammen	ADV	Duden	tu_21_xTok_000450
also	also	ADV	Duden	tu_21_xTok_000452
in	in	APPR	Duden	tu_21_xTok_000454
allem	all	PIS	Duden	tu_21_xTok_000456
ihrer	ihr	PPOSAT	Duden	tu_21_xTok_000458
6.	6	CARD		tu_21_xTok_000460
Raubs=Cameraden	Raubkamerad	NN	oov	tu_21_xTok_000462
mit	mit	APPR	Duden	tu_21_xTok_000464
bewafneter	bewaffnet	ADJA	Duden	tu_21_xTok_000466
Hand	Hand	NN	Duden	tu_21_xTok_000468
<g/>
,
als	als	KOUS	Duden	tu_21_xTok_000471
nemlichen	nämlich	ADV	Duden	tu_21_xTok_000473
einem	ein	ART	Duden	tu_21_xTok_000475
geladenenen	geladen	ADJA	Duden	tu_21_xTok_000477
BürstStutzen	Bürststutzen	NN	oov	tu_21_xTok_000479
<g/>
,
einer	ein	ART	Duden	tu_21_xTok_000483
Pistolen	Pistole	NN	Duden	tu_21_xTok_000485
<g/>
,
einem	ein	ART	Duden	tu_21_xTok_000488
Hirschfänger	Hirschfänger	NN	Duden	tu_21_xTok_000490
<g/>
,
einem	ein	ART	Duden	tu_21_xTok_000493
Krampen	Krampe	NN	Duden	tu_21_xTok_000495
und	und	KON	Duden	tu_21_xTok_000497
Häckel	Häckel	NN	DWB	tu_21_xTok_000499
<g/>
,
um	um	KOUI	Duden	tu_21_xTok_000502
hiermit	hiermit	PAV	Duden	tu_21_xTok_000504
im	im	APPRART	Duden	tu_21_xTok_000506
Fall	Fall	NN	Duden	tu_21_xTok_000508
eines	ein	ART	Duden	tu_21_xTok_000510
sich	sich	PRF	Duden	tu_21_xTok_000512
ereignenden	ereignen	ADJA	Duden	tu_21_xTok_000514
Widerstands	Widerstand	NN	Duden	tu_21_xTok_000517
theils	teils	ADV	Duden	tu_21_xTok_000519
zu	zu	PTKZU	Duden	tu_21_xTok_000521
wöhren	wehren	VVINF	Duden	tu_21_xTok_000523
<g/>
,
theils	teils	ADV	Duden	tu_21_xTok_000526
das	d	ART	Duden	tu_21_xTok_000528
etwa	etwa	ADV	Duden	tu_21_xTok_000530
vermauert=	vermauern	ADJA	Duden	tu_21_xTok_000531
oder	oder	KON	Duden	tu_21_xTok_000533
vergrabene	vergraben	ADJA	Duden	tu_21_xTok_000535
Geld	Geld	NN	Duden	tu_21_xTok_000537
außhacken	aushacken	VVINF	Duden	tu_21_xTok_000539
oder	oder	KON	Duden	tu_21_xTok_000541
außgraben	ausgraben	VVINF	Duden	tu_21_xTok_000543
zu	zu	PTKZU	Duden	tu_21_xTok_000546
können	können	VMINF	Duden	tu_21_xTok_000548
<g/>
,
auf	auf	APPR	Duden	tu_21_xTok_000551
der	d	ART	Duden	tu_21_xTok_000553
sogenannt	sogenannt	ADJA	Duden	tu_21_xTok_000555
offenen Maidling	OffeneMeidling	NE::top		tu_21_xTok_000557
bey	bei	APPR	Duden	tu_21_xTok_000561
Purckerstorf	Purkersdorf	NE::top	oov	tu_21_xTok_000562
zwey	zwei	CARD	Duden	tu_21_xTok_000564
daselbst	daselbst	ADV	Duden	tu_21_xTok_000566
Haussässig	haussässig	ADJA	DWB	tu_21_xTok_000568
Hättlerische	hättlerisch	ADJA	oov	tu_21_xTok_000570
EheLeuth	Eheleute	NN	Duden	tu_21_xTok_000572
überfallen	überfallen	VVINF	Duden	tu_21_xTok_000575
<g/>
,
und	und	KON	Duden	tu_21_xTok_000578
auß	aus	APPR	Duden	tu_21_xTok_000580
dererselben	derselbe	PDS	Duden	tu_21_xTok_000582
in	in	APPR	Duden	tu_21_xTok_000584
einer	ein	ART	Duden	tu_21_xTok_000586
Cammer	Kammer	NN	Duden	tu_21_xTok_000588
<g/>
,
Stuben	Stube	NN	Duden	tu_21_xTok_000590
und	und	KON	Duden	tu_21_xTok_000592
auf	auf	APPR	Duden	tu_21_xTok_000594
dem	d	ART	Duden	tu_21_xTok_000596
Boden	Boden	NN	Duden	tu_21_xTok_000598
wohl	wohl	ADV	Duden	tu_21_xTok_000600
verwahrt=	verwahren	ADJA	Duden	tu_21_xTok_000602
und	und	KON	Duden	tu_21_xTok_000604
verspörrt	versperren	ADJA	Duden	tu_21_xTok_000606
gewesten	sein	ADJA	Duden	tu_21_xTok_000609
Truhen	Truhe	NN	Duden	tu_21_xTok_000611
<g/>
,
mittls	mittels	APPR	Duden	tu_21_xTok_000614
gewaltthätiger	gewalttätig	ADJA	Duden	tu_21_xTok_000616
Erbrech	Erbrechung	NN	DWB	tu_21_xTok_000618
und	und	KON	Duden	tu_21_xTok_000619
Aufhackung	Aufhackung	NN	oov	tu_21_xTok_000621
ein	ein	ART	Duden	tu_21_xTok_000623
so	so	ADV	Duden	tu_21_xTok_000625
anderer	andere	ADJA	Duden	tu_21_xTok_000627
Behaltnussen	Behältnis	NN	Duden	tu_21_xTok_000629
<g/>
,
nebst	nebst	APPR	Duden	tu_21_xTok_000632
Außstossung	Ausstoßung	NN	Duden	tu_21_xTok_000634
Todts=betrohlichen	todesbedrohlich	ADJA	oov	tu_21_xTok_000637
Formalien	Formalie	NN	Duden	tu_21_xTok_000639
an	an	APPR	Duden	tu_21_xTok_000642
Gold	Goldgeld	TRUNC	Duden	tu_21_xTok_000644
und	und	KON	Duden	tu_21_xTok_000646
Silber=Geld	Silbergeld	NN	Duden	tu_21_xTok_000648
717.	717	CARD		tu_21_xTok_000651
Fl.	Flore	NN	DWB	tu_21_xTok_000653
3½.	3½	CARD		tu_21_xTok_000656
kr.	Kreuzer	NN	Duden	tu_21_xTok_000659
dann	dann	ADV	Duden	tu_21_xTok_000662
