<doc id="fb_17450407_AnnaMariaW" delinquent_sexes="female" title="Todesurteil Anna Maria W." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_26_xTok_000141
des	d	ART	Duden	tu_26_xTok_000144
Verbrechens	Verbrechen	NN	Duden	tu_26_xTok_000146
diser	diese	PDAT	Duden	tu_26_xTok_000149
Delinquentin	Delinquentin	NN	Duden	tu_26_xTok_000150
<g/>
.
</head>
<p id="fb_17450407_AnnaMariaW_p_0001">
HEunt	heute	ADV	Duden	tu_26_xTok_000153
Dato	dato	ADV	Duden	tu_26_xTok_000156
den	d	ART	Duden	tu_26_xTok_000158
7.	7	ADJA		tu_26_xTok_000160
April	April	NN	Duden	tu_26_xTok_000162
1745.	1745	CARD		tu_26_xTok_000164
wird	werden	VAFIN	Duden	tu_26_xTok_000166
eine	ein	ART	Duden	tu_26_xTok_000168
ledige	ledig	ADJA	Duden	tu_26_xTok_000171
Weibs=Persohn	Weibsperson	NN	Duden	tu_26_xTok_000173
Namens	namens	ADV	Duden	tu_26_xTok_000175
Anna	Anna	NE	Duden	tu_26_xTok_000177
Maria	Maria	NE	Duden	tu_26_xTok_000180
W.	W.	NE	oov	tu_26_xTok_000182
24.	24	CARD		tu_26_xTok_000185
Jahr	Jahr	NN	Duden	tu_26_xTok_000187
alt	alt	ADJD	Duden	tu_26_xTok_000189
<g/>
/
von	von	APPR	Duden	tu_26_xTok_000193
Stockerau	Stockerau	NE::top	Duden	tu_26_xTok_000195
gebürtig	gebürtig	ADJD	Duden	tu_26_xTok_000197
<g/>
/
Catholischer	katholisch	ADJA	Duden	tu_26_xTok_000201
Religion	Religion	NN	Duden	tu_26_xTok_000203
auf	auf	APPR	Duden	tu_26_xTok_000205
den	d	ART	Duden	tu_26_xTok_000207
hohen	hoch	ADJA	Duden	tu_26_xTok_000209
Wagen	Wagen	NN	Duden	tu_26_xTok_000212
gesetzt	setzen	VVPP	Duden	tu_26_xTok_000214
<g/>
/
zum	zum	APPRART	Duden	tu_26_xTok_000218
Räder=Creutz	Räderkreuz	NN	oov	tu_26_xTok_000220
an	an	APPR	Duden	tu_26_xTok_000222
die	d	ART	Duden	tu_26_xTok_000224
gewöhnliche	gewöhnlich	ADJA	Duden	tu_26_xTok_000226
Richtstatt	Richtstatt	NN	DWB	tu_26_xTok_000228
geführet	führen	VVPP	Duden	tu_26_xTok_000230
<g/>
/
allda	allda	ADV	Duden	tu_26_xTok_000234
mit	mit	APPR	Duden	tu_26_xTok_000236
dem	d	ART	Duden	tu_26_xTok_000238
Schwerd	Schwert	NN	Duden	tu_26_xTok_000240
vom	vom	APPRART	Duden	tu_26_xTok_000242
Leben	Leben	NN	Duden	tu_26_xTok_000244
zum	zum	APPRART	Duden	tu_26_xTok_000246
Todt	Tod	NN	Duden	tu_26_xTok_000248
hingerichtet	hinrichten	VVPP	Duden	tu_26_xTok_000250
<g/>
/
und	und	KON	Duden	tu_26_xTok_000255
der	d	ART	Duden	tu_26_xTok_000257
Kopf	Kopf	NN	Duden	tu_26_xTok_000259
