<doc id="fb_17450522_AndreasM" delinquent_sexes="male" title="Todesurteil Andreas M." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_29_xTok_000222
des	d	ART	Duden	tu_29_xTok_000225
Verbrechens	Verbrechen	NN	Duden	tu_29_xTok_000227
dises	diese	PDAT	Duden	tu_29_xTok_000230
Delinquenten	Delinquent	NN	Duden	tu_29_xTok_000231
<g/>
.
</head>
<p id="fb_17450522_AndreasM_p_0001">
HEunt	heute	ADV	Duden	tu_29_xTok_000234
Dato	dato	ADV	Duden	tu_29_xTok_000237
den	d	ART	Duden	tu_29_xTok_000239
22.	22	ADJA		tu_29_xTok_000241
Maji	Mai	NN	Duden	tu_29_xTok_000243
würdet	werden	VAFIN	Duden	tu_29_xTok_000245
eine	ein	ART	Duden	tu_29_xTok_000247
verheurathe	verheiratet	ADJA	Duden	tu_29_xTok_000249
Manns=Persohn	Mannsperson	NN	Duden	tu_29_xTok_000252
<g/>
,
Namens	namens	ADV	Duden	tu_29_xTok_000255
Andreas	Andreas	NE	Duden	tu_29_xTok_000257
M.	M.	NE	oov	tu_29_xTok_000259
gegen	gegen	APPR	Duden	tu_29_xTok_000262
25.	25	CARD		tu_29_xTok_000264
Jahr	Jahr	NN	Duden	tu_29_xTok_000266
alt	alt	ADJD	Duden	tu_29_xTok_000268
<g/>
,
unter	unter	APPR	Duden	tu_29_xTok_000271
den	d	ART	Duden	tu_29_xTok_000273
Wiennerberg	Wienerberg	NE::top	oov	tu_29_xTok_000275
zu	zu	APPR	Duden	tu_29_xTok_000277
Jntzerstorf	Inzersdorf	NE::top	oov	tu_29_xTok_000279
gebürtig	gebürtig	ADJD	Duden	tu_29_xTok_000281
<g/>
,
Catholischer	katholisch	ADJA	Duden	tu_29_xTok_000284
Religion	Religion	NN	Duden	tu_29_xTok_000286
auf	auf	APPR	Duden	tu_29_xTok_000288
den	d	ART	Duden	tu_29_xTok_000290
hohen	hoch	ADJA	Duden	tu_29_xTok_000292
Wagen	Wagen	NN	Duden	tu_29_xTok_000294
gesetzt	setzen	VVPP	Duden	tu_29_xTok_000296
zum	zum	APPRART	Duden	tu_29_xTok_000298
Räder=Creutz	Räderkreuz	NN	oov	tu_29_xTok_000300
an	an	APPR	Duden	tu_29_xTok_000302
die	d	ART	Duden	tu_29_xTok_000304
gewöhnliche	gewöhnlich	ADJA	Duden	tu_29_xTok_000306
Richtstatt	Richtstatt	NN	DWB	tu_29_xTok_000309
geführet	führen	VVPP	Duden	tu_29_xTok_000311
<g/>
,
und	und	KON	Duden	tu_29_xTok_000314
allda	allda	ADV	Duden	tu_29_xTok_000316
mit	mit	APPR	Duden	tu_29_xTok_000318
dem	d	ART	Duden	tu_29_xTok_000320
Schwerd	Schwert	NN	Duden	tu_29_xTok_000322
vom	vom	APPRART	Duden	tu_29_xTok_000324
Leben	Leben	NN	Duden	tu_29_xTok_000326
zum	zum	APPRART	Duden	tu_29_xTok_000328
Todt	Tod	NN	Duden	tu_29_xTok_000330
hingerichtet	hinrichten	VVPP	Duden	tu_29_xTok_000332
<g/>
,
sodann	sodann	ADV	Duden	tu_29_xTok_000335
der	d	ART	Duden	tu_29_xTok_000337
Cörper	Körper	NN	Duden	tu_29_xTok_000339
auf	auf	APPR	Duden	tu_29_xTok_000341
das	d	ART	Duden	tu_29_xTok_000343
Rad	Rad	NN	Duden	tu_29_xTok_000345
gelegt	legen	VVPP	Duden	tu_29_xTok_000347
<g/>
,
der	d	ART	Duden	tu_29_xTok_000350
Kopf	Kopf	NN	Duden	tu_29_xTok_000352
auf	auf	APPR	Duden	tu_29_xTok_000354
den	d	ART	Duden	tu_29_xTok_000356
Pfahl	Pfahl	NN	Duden	tu_29_xTok_000358
gesteckt	stecken	VVPP	Duden	tu_29_xTok_000360
<g/>
,
und	und	KON	Duden	tu_29_xTok_000363
darüber	darüber	PAV	Duden	tu_29_xTok_000365
ein	ein	ART	Duden	tu_29_xTok_000367
Galgen	Galgen	NN	Duden	tu_29_xTok_000369
mit	mit	APPR	Duden	tu_29_xTok_000371
dem	d	ART	Duden	tu_29_xTok_000373
Strang	Strang	NN	Duden	tu_29_xTok_000375
aufgerichtet	aufrichten	VVPP	Duden	tu_29_xTok_000377
werden	werden	VAINF	Duden	tu_29_xTok_000379
<g/>
.
</p>
<p id="fb_17450522_AndreasM_p_0002">
Um	um	APPR	Duden	tu_29_xTok_000381
willen	willen	APZR	Duden	tu_29_xTok_000383
derselbe	derselbe	PDS	Duden	tu_29_xTok_000385
nicht	nicht	PTKNEG	Duden	tu_29_xTok_000387
allein	allein	ADV	Duden	tu_29_xTok_000389
vorhin	vorhin	ADV	Duden	tu_29_xTok_000391
schon	schon	ADV	Duden	tu_29_xTok_000393
mit	mit	APPR	Duden	tu_29_xTok_000395
verschiedenen	verschieden	ADJA	Duden	tu_29_xTok_000397
Beutlschneidern	Beutelschneider	NN	Duden	tu_29_xTok_000400
und	und	KON	Duden	tu_29_xTok_000402
Schnüpfer=Buben	Schnüpferbube	NN	oov	tu_29_xTok_000404
Herren=loß	herrenlos	ADJD	Duden	tu_29_xTok_000406
müssig	müßig	ADJD	Duden	tu_29_xTok_000409
herumgezohen	herumziehen	VVPP	Duden	tu_29_xTok_000411
<g/>
,
und	und	KON	Duden	tu_29_xTok_000414
derentwillen	derentwillen	ADV	Duden	tu_29_xTok_000416
zu	zu	APPR	Duden	tu_29_xTok_000418
4.	4	CARD		tu_29_xTok_000420
unterschiedlichen	unterschiedlich	ADJA	Duden	tu_29_xTok_000422
mahlen	Mal	NN	Duden	tu_29_xTok_000424
in	in	APPR	Duden	tu_29_xTok_000426
Verhaft	Verhaft	NN	Duden	tu_29_xTok_000428
gezogen	ziehen	VVPP	Duden	tu_29_xTok_000430
<g/>
,
und	und	KON	Duden	tu_29_xTok_000433
der	d	ART	Duden	tu_29_xTok_000435
Militz	Miliz	NN	Duden	tu_29_xTok_000437
übergeben	übergeben	VVPP	Duden	tu_29_xTok_000439
worden	werden	VAPP	Duden	tu_29_xTok_000441
<g/>
,
sondern	sondern	KON	Duden	tu_29_xTok_000444
auch	auch	ADV	Duden	tu_29_xTok_000446
über	über	APPR	Duden	tu_29_xTok_000448
dises	diese	PDS	Duden	tu_29_xTok_000450
den	d	ART	Duden	tu_29_xTok_000452
16.	16	ADJA		tu_29_xTok_000454
Januarii	Januar	NN	Duden	tu_29_xTok_000456
1743.	1743	CARD		tu_29_xTok_000458
in	in	APPR	Duden	tu_29_xTok_000460
der	d	ART	Duden	tu_29_xTok_000462
Nacht	Nacht	NN	Duden	tu_29_xTok_000464
zwischen	zwischen	APPR	Duden	tu_29_xTok_000466
den	d	ART	Duden	tu_29_xTok_000468
Cärnth ner= ner=	Kärntnertor	TRUNC	oov	tu_29_xTok_000470
und	und	KON	Duden	tu_29_xTok_000473
Burg=Thor	Burgtor	NE::top	oov	tu_29_xTok_000475
mit	mit	APPR	Duden	tu_29_xTok_000477
dem	d	ART	Duden	tu_29_xTok_000479
Pallasch	Pallasch	NN	Duden	tu_29_xTok_000481
bewaffneter	bewaffnen	ADJA	Duden	tu_29_xTok_000483
<g/>
,
samt	samt	APPR	Duden	tu_29_xTok_000486
noch	noch	ADV	Duden	tu_29_xTok_000488
einem	ein	ART	Duden	tu_29_xTok_000490
anderen	andere	ADJA	Duden	tu_29_xTok_000492
mit	mit	APPR	Duden	tu_29_xTok_000494
zweyen	zwei	CARD	Duden	tu_29_xTok_000496
scharf	scharf	ADJD	Duden	tu_29_xTok_000498
geladenen	geladen	ADJA	Duden	tu_29_xTok_000500
Terzerollen	Terzerol	NN	Duden	tu_29_xTok_000502
versehenen	versehen	ADJA	Duden	tu_29_xTok_000504
Raubs=Cameraden	Raubkamerad	NN	oov	tu_29_xTok_000506
eine	ein	ART	Duden	tu_29_xTok_000508
im	im	APPRART	Duden	tu_29_xTok_000510
nacher	nach	APPR	Duden	tu_29_xTok_000512
Hauß	Haus	NN	Duden	tu_29_xTok_000515
gehen	gehen	VVINF	Duden	tu_29_xTok_000517
begriffene	begriffen	ADJA	Duden	tu_29_xTok_000519
sichere	sicher	ADJA	DWB	tu_29_xTok_000521
Manns=Persohn	Mannsperson	NN	Duden	tu_29_xTok_000523
vor	vorwärts	TRUNC	Duden	tu_29_xTok_000525
und	und	KON	Duden	tu_29_xTok_000526
ruckwerts	rückwärts	ADV	Duden	tu_29_xTok_000528
auf	auf	APPR	Duden	tu_29_xTok_000530
freyer	frei	ADJA	Duden	tu_29_xTok_000532
Strassen	Straße	NN	Duden	tu_29_xTok_000534
<g/>
,
Rauberisch	räuberisch	ADJD	Duden	tu_29_xTok_000537
angefallen	anfallen	VVPP	Duden	tu_29_xTok_000539
<g/>
,
derselben	dieselbe	PDS	Duden	tu_29_xTok_000543
den	d	ART	Duden	tu_29_xTok_000545
Degen	Degen	NN	Duden	tu_29_xTok_000547
abgenohmen	abnehmen	VVPP	Duden	tu_29_xTok_000549
<g/>
,
Rock	Rock	NN	Duden	tu_29_xTok_000552
und	und	KON	Duden	tu_29_xTok_000554
Camisol	Camisol	NN	DWB	tu_29_xTok_000556
aufgerissen	aufreißen	VVPP	Duden	tu_29_xTok_000558
<g/>
,
die	d	ART	Duden	tu_29_xTok_000561
Hosen	Hose	NN	Duden	tu_29_xTok_000563
mittels	mittels	APPR	Duden	tu_29_xTok_000565
Absprengung	Absprengung	NN	oov	tu_29_xTok_000567
deren	d	PDAT	Duden	tu_29_xTok_000569
Knöpfen	Knopf	NN	Duden	tu_29_xTok_000572
loß	los	PTKVZ	Duden	tu_29_xTok_000574
gemacht	losmachen	VVPP	Duden	tu_29_xTok_000576
<g/>
,
solche	solch	PDS	Duden	tu_29_xTok_000579
rings herum	ringsherum	ADV		tu_29_xTok_000581
in	in	APPR	Duden	tu_29_xTok_000585
denen	d	ART	Duden	tu_29_xTok_000587
Falten	Falte	NN	Duden	tu_29_xTok_000589
und	und	KON	Duden	tu_29_xTok_000591
dem	d	ART	Duden	tu_29_xTok_000593
Bindel	Bund	NN	Duden	tu_29_xTok_000595
genauest	genau	ADJD	Duden	tu_29_xTok_000597
abgegriffen	abgreifen	VVPP	Duden	tu_29_xTok_000599
<g/>
,
wie	wie	KOKOM	Duden	tu_29_xTok_000602
auch	auch	ADV	Duden	tu_29_xTok_000604
das	d	ART	Duden	tu_29_xTok_000606
Tuch	Tuch	NN	Duden	tu_29_xTok_000608
aller	all	PIAT	Duden	tu_29_xTok_000610
Orten	Ort	NN	Duden	tu_29_xTok_000612
umgebogen	umbiegen	VVPP	Duden	tu_29_xTok_000614
<g/>
,
sohin	sohin	ADV	Duden	tu_29_xTok_000617
derselben	dieselbe	PDAT	Duden	tu_29_xTok_000619
Manns=Persohn	Mannsperson	NN	Duden	tu_29_xTok_000621
wenigstens	wenigstens	ADV	Duden	tu_29_xTok_000623
zwey	zwei	CARD	Duden	tu_29_xTok_000625
Ducaten	Dukat	NN	Duden	tu_29_xTok_000627
in	in	APPR	Duden	tu_29_xTok_000629
SilberGeld	Silbergeld	NN	Duden	tu_29_xTok_000631
