<doc id="fb_17450827_BarbaraH" delinquent_sexes="female" title="Todesurteil Barbara H." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_30_xTok_000134
des	d	ART	Duden	tu_30_xTok_000137
Verbrechens	Verbrechen	NN	Duden	tu_30_xTok_000139
diser	diese	PDAT	Duden	tu_30_xTok_000142
Delinquentin	Delinquentin	NN	Duden	tu_30_xTok_000143
<g/>
.
</head>
<p id="fb_17450827_BarbaraH_p_0001">
HEunt	heute	ADV	Duden	tu_30_xTok_000146
Dato	dato	ADV	Duden	tu_30_xTok_000149
den	d	ART	Duden	tu_30_xTok_000151
26.	26	ADJA		tu_30_xTok_000153
Augusti	August	NN	Duden	tu_30_xTok_000155
1745.	1745	CARD		tu_30_xTok_000157
wirdet	werden	VAFIN	Duden	tu_30_xTok_000160
eine	ein	ART	Duden	tu_30_xTok_000162
ledige	ledig	ADJA	Duden	tu_30_xTok_000164
Weibs=Persohn	Weibsperson	NN	Duden	tu_30_xTok_000166
Nahmens	namens	ADV	Duden	tu_30_xTok_000168
Barbara	Barbara	NE	Duden	tu_30_xTok_000170
H.	H.	NE	oov	tu_30_xTok_000172
beyläuffig	beiläufig	ADJD	Duden	tu_30_xTok_000175
30.	30	CARD		tu_30_xTok_000177
Jahr	Jahr	NN	Duden	tu_30_xTok_000179
alt	alt	ADJD	Duden	tu_30_xTok_000181
von	von	APPR	Duden	tu_30_xTok_000183
hier	hier	ADV	Duden	tu_30_xTok_000185
zu	zu	APPR	Duden	tu_30_xTok_000187
St. Ulrich	St.Ulrich	NE::top		tu_30_xTok_000189
gebürtig	gebürtig	ADJD	Duden	tu_30_xTok_000194
<g/>
,
vor	vor	APPR	Duden	tu_30_xTok_000197
dem	d	ART	Duden	tu_30_xTok_000199
Schotten=Thor	Schottentor	NE::top	oov	tu_30_xTok_000201
auf	auf	APPR	Duden	tu_30_xTok_000203
dasigen	dasig	ADJA	Duden	tu_30_xTok_000205
Raabenstein	Rabenstein	NN	Duden	tu_30_xTok_000207
mit	mit	APPR	Duden	tu_30_xTok_000210
dem	d	ART	Duden	tu_30_xTok_000212
Schwerdt	Schwert	NN	Duden	tu_30_xTok_000214
vom	vom	APPRART	Duden	tu_30_xTok_000216
Leben	Leben	NN	Duden	tu_30_xTok_000218
zum	zum	APPRART	Duden	tu_30_xTok_000220
Todt	Tod	NN	Duden	tu_30_xTok_000222
hingerichtet	hinrichten	VVPP	Duden	tu_30_xTok_000224
werden	werden	VAINF	Duden	tu_30_xTok_000227
<g/>
.
</p>
<p id="fb_17450827_BarbaraH_p_0002">
Um	um	APPR	Duden	tu_30_xTok_000230
willen	willen	APZR	Duden	tu_30_xTok_000232
sie	sie	PPER	Duden	tu_30_xTok_000234
Barbara	Barbara	NE	Duden	tu_30_xTok_000236
H.	H.	NE	oov	tu_30_xTok_000238
nicht	nicht	PTKNEG	Duden	tu_30_xTok_000241
allein	allein	ADV	Duden	tu_30_xTok_000243
vorhin	vorhin	ADV	Duden	tu_30_xTok_000245
wider	wider	APPR	Duden	tu_30_xTok_000247
selbe	selbe	PDS	Duden	tu_30_xTok_000250
vorgekommener massen	vorgekommenermaßen	ADV		tu_30_xTok_000252
schon	schon	ADV	Duden	tu_30_xTok_000256
allbereits	allbereits	ADV	Duden	tu_30_xTok_000258
Anno	annus	FM	G-LDHW	tu_30_xTok_000260
1734.	1734	CARD		tu_30_xTok_000262
mit	mit	APPR	Duden	tu_30_xTok_000264
einer	ein	ART	Duden	tu_30_xTok_000266
sicheren	sicher	ADJA	DWB	tu_30_xTok_000268
Stickerin	Stickerin	NN	Duden	tu_30_xTok_000270
<g/>
,
bey	bei	APPR	Duden	tu_30_xTok_000273
welcher	welch	PRELS	Duden	tu_30_xTok_000275
sie	sie	PPER	Duden	tu_30_xTok_000277
Delinquentin	Delinquentin	NN	Duden	tu_30_xTok_000279
einige	einige	PIAT	Duden	tu_30_xTok_000282
Zeit	Zeit	NN	Duden	tu_30_xTok_000284
zuvor	zuvor	ADV	Duden	tu_30_xTok_000286
gearbeitet	arbeiten	VVPP	Duden	tu_30_xTok_000288
<g/>
,
verschiedene	verschieden	ADJA	Duden	tu_30_xTok_000291
Silber=Effecten	Silbereffekten	NN	oov	tu_30_xTok_000293
und	und	KON	Duden	tu_30_xTok_000297
andere	andere	ADJA	Duden	tu_30_xTok_000299
Sachen	Sache	NN	Duden	tu_30_xTok_000301
denen	d	ART	Duden	tu_30_xTok_000303
Leuthen	Leute	NN	Duden	tu_30_xTok_000305
zum	zum	APPRART	Duden	tu_30_xTok_000307
versetzen	versetzen	VVINF-NN	Duden	tu_30_xTok_000309
vorgezeiget	vorzeigen	VVPP	Duden	tu_30_xTok_000311
<g/>
,
demnächst	demnächst	ADV	Duden	tu_30_xTok_000314
aber	aber	ADV	Duden	tu_30_xTok_000316
anstatt	anstatt	APPR	Duden	tu_30_xTok_000318
deren	d	PRELS	Duden	tu_30_xTok_000320
rechten	recht	ADJA	Duden	tu_30_xTok_000322
Pfändern	Pfand	NN	Duden	tu_30_xTok_000325
Sand	Sand	NN	Duden	tu_30_xTok_000327
und	und	KON	Duden	tu_30_xTok_000329
Steiner	Stein	NN	Duden	tu_30_xTok_000331
in	in	APPR	Duden	tu_30_xTok_000333
Binckeln	Binkel	NN	Duden	tu_30_xTok_000335
und	und	KON	Duden	tu_30_xTok_000337
Verschlägen	Verschlag	NN	Duden	tu_30_xTok_000339
<g/>
,
auch	auch	ADV	Duden	tu_30_xTok_000343
zuweilen	zuweilen	ADV	Duden	tu_30_xTok_000345
unter	unter	APPR	Duden	tu_30_xTok_000347
dem	d	ART	Duden	tu_30_xTok_000349
Vorwand	Vorwand	NN	Duden	tu_30_xTok_000351
<g/>
,
als	als	KOKOM	Duden	tu_30_xTok_000354
ob	ob	KOUS	Duden	tu_30_xTok_000356
solches	solch	PDS	Duden	tu_30_xTok_000358
ein	ein	ART	Duden	tu_30_xTok_000361
von	von	APPR	Duden	tu_30_xTok_000363
ihnen	sie	PPER	Duden	tu_30_xTok_000365
erhobener	erheben	ADJA	Duden	tu_30_xTok_000367
Schatz	Schatz	NN	Duden	tu_30_xTok_000369
wäre	sein	VAFIN	Duden	tu_30_xTok_000371
<g/>
,
verschlossener	verschlossen	ADJD	Duden	tu_30_xTok_000374
ausgehändiget	aushändigen	VVPP	Duden	tu_30_xTok_000376
<g/>
,
und	und	KON	Duden	tu_30_xTok_000379
auf	auf	APPR	Duden	tu_30_xTok_000381
solch=	solch	PIAT	Duden	tu_30_xTok_000383
arglistige	arglistig	ADJA	Duden	tu_30_xTok_000385
Weise	Weise	NN	Duden	tu_30_xTok_000387
drey	drei	CARD	Duden	tu_30_xTok_000389
unterschiedliche	unterschiedlich	ADJA	Duden	tu_30_xTok_000391
Partheyen	Partei	NN	Duden	tu_30_xTok_000393
in	in	APPR	Duden	tu_30_xTok_000395
einen	ein	ART	Duden	tu_30_xTok_000397
Schaden	Schaden	NN	Duden	tu_30_xTok_000399
pr.	per	APPR	Duden	tu_30_xTok_000401
137.	137	CARD		tu_30_xTok_000404
Gulden	Gulden	NN	Duden	tu_30_xTok_000406
5.	5	CARD		tu_30_xTok_000408
Kreutzer	Kreuzer	NN	Duden	tu_30_xTok_000410
gesetzt	setzen	VVPP	Duden	tu_30_xTok_000412
<g/>
,
dann	dann	ADV	Duden	tu_30_xTok_000415
</p>
<p id="fb_17450827_BarbaraH_p_0003">
2dò.	secundo	FM	G-LDHW	tu_30_xTok_000417
Anno	annus	FM	G-LDHW	tu_30_xTok_000420
1735.	1735	CARD		tu_30_xTok_000422
im	im	APPRART	Duden	tu_30_xTok_000424
Monath	Monat	NN	Duden	tu_30_xTok_000426
Martio	März	NN	Duden	tu_30_xTok_000428
mit	mit	APPR	Duden	tu_30_xTok_000430
einer	ein	ART	Duden	tu_30_xTok_000432
anderen	andere	ADJA	Duden	tu_30_xTok_000434
Weibs=Persohn	Weibsperson	NN	Duden	tu_30_xTok_000436
und	und	KON	Duden	tu_30_xTok_000438
ihr	ihr	PPER	Duden	tu_30_xTok_000440
der	d	ART	Duden	tu_30_xTok_000442
Delinquentin	Delinquentin	NN	Duden	tu_30_xTok_000444
bereits	bereits	ADV	Duden	tu_30_xTok_000446
mit	mit	APPR	Duden	tu_30_xTok_000449
dem	d	ART	Duden	tu_30_xTok_000451
Strang	Strang	NN	Duden	tu_30_xTok_000453
hingerichteten	hinrichten	ADJA	Duden	tu_30_xTok_000455
wilden	wild	ADJA	Duden	tu_30_xTok_000457
Ehe=Mann	Ehemann	NN	Duden	tu_30_xTok_000459
aus	aus	APPR	Duden	tu_30_xTok_000461
einem	ein	ART	Duden	tu_30_xTok_000463
sicheren	sicher	ADJA	DWB	tu_30_xTok_000465
Hauß	Haus	NN	Duden	tu_30_xTok_000467
zu	zu	APPR	Duden	tu_30_xTok_000469
Nußdorf	Nussdorf	NE::top	oov	tu_30_xTok_000471
mittels	mittels	APPR	Duden	tu_30_xTok_000473
gewaltthätiger	gewalttätig	ADJA	Duden	tu_30_xTok_000475
Erbrechung	Erbrechung	NN	DWB	tu_30_xTok_000478
deren	d	PDAT	Duden	tu_30_xTok_000480
Thüren	Tür	NN	Duden	tu_30_xTok_000482
und	und	KON	Duden	tu_30_xTok_000484
Kästen	Kasten	NN	Duden	tu_30_xTok_000486
an	an	APPR	Duden	tu_30_xTok_000488
verschiedenen	verschieden	ADJA	Duden	tu_30_xTok_000490
Kleider=Effecten	Kleidereffekten	NN	oov	tu_30_xTok_000493
in	in	APPR	Duden	tu_30_xTok_000497
dem	d	ART	Duden	tu_30_xTok_000499
Werth	Wert	NN	Duden	tu_30_xTok_000501
um	um	APPR	Duden	tu_30_xTok_000503
85.	85	CARD		tu_30_xTok_000505
Gulden	Gulden	NN	Duden	tu_30_xTok_000507
4.	4	CARD		tu_30_xTok_000509
Kreutzer	Kreuzer	NN	Duden	tu_30_xTok_000511
<g/>
(
so	so	PRELS	Duden	tu_30_xTok_000514
aber	aber	ADV	Duden	tu_30_xTok_000516
bis	bis	APPR	Duden	tu_30_xTok_000518
auf	auf	APPR	Duden	tu_30_xTok_000520
12.	12	CARD		tu_30_xTok_000522
Gulden	Gulden	NN	Duden	tu_30_xTok_000524
34.	34	CARD		tu_30_xTok_000526
Kreutzer	Kreuzer	NN	Duden	tu_30_xTok_000528
werths	wert	ADJD	Duden	tu_30_xTok_000530
hinwiederumen	hinwiederum	ADV	Duden	tu_30_xTok_000532
restituiret	restituieren	VVPP	Duden	tu_30_xTok_000534
worden	werden	VAPP	Duden	tu_30_xTok_000537
<g/>
)
wie	wie	KON	Duden	tu_30_xTok_000540
nicht	nicht	PTKNEG	Duden	tu_30_xTok_000542
weniger	wenig	ADV	Duden	tu_30_xTok_000544
</p>
<p id="fb_17450827_BarbaraH_p_0004">
3tiò.	tertio	FM	G-LDHW	tu_30_xTok_000545
Jm	im	APPRART	Duden	tu_30_xTok_000548
Monath	Monat	NN	Duden	tu_30_xTok_000550
Julio	Juli	NN	Duden	tu_30_xTok_000552
erst=ermeldt	erstermelden	ADJA	oov	tu_30_xTok_000554
1735sten	1735	ADJA		tu_30_xTok_000556
Jahrs	Jahr	NN	Duden	tu_30_xTok_000559
mit	mit	APPR	Duden	tu_30_xTok_000561
5.	5	CARD		tu_30_xTok_000563
anderen	andere	ADJA	Duden	tu_30_xTok_000565
diebischen	diebisch	ADJA	Duden	tu_30_xTok_000567
Mann=	Mannsperson	TRUNC	Duden	tu_30_xTok_000569
und	und	KON	Duden	tu_30_xTok_000571
WeibsPersohnen	Weibsperson	NN	Duden	tu_30_xTok_000573
einem	ein	ART	Duden	tu_30_xTok_000576
sicheren	sicher	ADJA	DWB	tu_30_xTok_000578
Herrschaftlichen	herrschaftlich	ADJA	Duden	tu_30_xTok_000580
Lauffer	Läufer	NN	Duden	tu_30_xTok_000582
zu	zu	APPR	Duden	tu_30_xTok_000584
Gumpendorf	Gumpendorf	NE::top	oov	tu_30_xTok_000586
nach	nach	APPR	Duden	tu_30_xTok_000588
vorläuffiger	vorläufig	ADJA	Duden	tu_30_xTok_000590
Hintergehung	Hintergehung	NN	Duden	tu_30_xTok_000592
des	d	ART	Duden	tu_30_xTok_000594
Schlüssels	Schlüssel	NN	Duden	tu_30_xTok_000596
und	und	KON	Duden	tu_30_xTok_000599
Einbruch	Einbruch	NN	Duden	tu_30_xTok_000601
durch	durch	APPR	Duden	tu_30_xTok_000603
den	d	ART	Duden	tu_30_xTok_000605
Ofen	Ofen	NN	Duden	tu_30_xTok_000607
<g/>
,
um	um	APPR	Duden	tu_30_xTok_000610
625.	625	CARD		tu_30_xTok_000612
Gulden	Gulden	NN	Duden	tu_30_xTok_000614
37.	37	CARD		tu_30_xTok_000615
Kreutzer	Kreuzer	NN	Duden	tu_30_xTok_000617
<g/>
(
woran	woran	PWAV	Duden	tu_30_xTok_000620
aber	aber	ADV	Duden	tu_30_xTok_000622
