<doc id="fb_17470222_JohannPeregrinB" delinquent_sexes="male" title="Todesurteil Johann Peregrin B." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_37_xTok_000173
des	d	ART	Duden	tu_37_xTok_000176
Verbrechens	Verbrechen	NN	Duden	tu_37_xTok_000178
dises	diese	PDAT	Duden	tu_37_xTok_000181
Delinquenten	Delinquent	NN	Duden	tu_37_xTok_000182
<g/>
.
</head>
<p id="fb_17470222_JohannPeregrinB_p_0001">
UM	um	APPR	Duden	tu_37_xTok_000185
willen	willen	APZR	Duden	tu_37_xTok_000188
selber	selbe	PDS	Duden	tu_37_xTok_000190
einer	ein	ART	Duden	tu_37_xTok_000192
sicheren	sicher	ADJA	DWB	tu_37_xTok_000194
Weibs=Persohn	Weibsperson	NN	Duden	tu_37_xTok_000196
<g/>
,
dero	dero	PRELS	Duden	tu_37_xTok_000199
er	er	PPER	Duden	tu_37_xTok_000202
wegen	wegen	APPR	Duden	tu_37_xTok_000204
zerschiedenen	zerschieden	ADJA	DWB	tu_37_xTok_000206
ihme	er	PPER	Duden	tu_37_xTok_000208
zum	zum	APPRART	Duden	tu_37_xTok_000210
hausirenden	hausieren	ADJA	Duden	tu_37_xTok_000212
Verkauff	Verkauf	NN	Duden	tu_37_xTok_000213
anvertraut=	anvertrauen	ADJA	Duden	tu_37_xTok_000215
seydenen	seiden	ADJA	Duden	tu_37_xTok_000217
Halß=	Halstuch	TRUNC	Duden	tu_37_xTok_000219
und	und	KON	Duden	tu_37_xTok_000221
SchnupffTücheln	Schnupftuch	NN	Duden	tu_37_xTok_000223
etlich	etlich	PIAT	Duden	tu_37_xTok_000226
und	und	KON	Duden	tu_37_xTok_000228
30.	30	CARD		tu_37_xTok_000230
fl.	Flore	NN	DWB	tu_37_xTok_000232
schuldig	schuldig	ADJD	Duden	tu_37_xTok_000235
geworden	werden	VAPP	Duden	tu_37_xTok_000237
<g/>
,
das	d	ART	Duden	tu_37_xTok_000240
hieraus	hieraus	PAV	Duden	tu_37_xTok_000242
erlößte	erlösen	ADJA	Duden	tu_37_xTok_000245
Geld	Geld	NN	Duden	tu_37_xTok_000247
aber	aber	ADV	Duden	tu_37_xTok_000249
zu	zu	APPR	Duden	tu_37_xTok_000251
seiner	sein	PPOSAT	Duden	tu_37_xTok_000253
Nothdurfft	Notdurft	NN	Duden	tu_37_xTok_000255
verwendet	verwenden	VVPP	Duden	tu_37_xTok_000257
<g/>
,
einfolglichen	einfolglich	ADV	DWB	tu_37_xTok_000259
von	von	APPR	Duden	tu_37_xTok_000261
solcher	solch	PIAT	Duden	tu_37_xTok_000263
Weibs=Persohn	Weibsperson	NN	Duden	tu_37_xTok_000265
um	um	APPR	Duden	tu_37_xTok_000267
die	d	ART	Duden	tu_37_xTok_000269
schuldige	schuldig	ADJA	Duden	tu_37_xTok_000271
Bezahlung	Bezahlung	NN	Duden	tu_37_xTok_000274
von	von	APPR	Duden	tu_37_xTok_000276
Zeit	Zeit	NN	Duden	tu_37_xTok_000278
zu	zu	APPR	Duden	tu_37_xTok_000280
Zeit	Zeit	NN	Duden	tu_37_xTok_000282
hin	hin	ADV	Duden	tu_37_xTok_000284
und	und	KON	Duden	tu_37_xTok_000286
wieder	wieder	ADV	Duden	tu_37_xTok_000288
vielfältig	vielfältig	ADJD	Duden	tu_37_xTok_000290
angegangen	angehen	VVPP	Duden	tu_37_xTok_000291
worden	werden	VAPP	Duden	tu_37_xTok_000293
<g/>
(
als	als	KOUS	Duden	tu_37_xTok_000296
solche	solch	PDS	Duden	tu_37_xTok_000298
den	d	ART	Duden	tu_37_xTok_000300
7.	7	ADJA		tu_37_xTok_000302
Martii	März	NN	Duden	tu_37_xTok_000304
letzt= abgewichenen	letztabgewichen	ADJA		tu_37_xTok_000306
1746ten	1746	ADJA		tu_37_xTok_000311
Jahrs	Jahr	NN	Duden	tu_37_xTok_000314
der	d	ART	Duden	tu_37_xTok_000316
dißfälligen	diesfällig	ADJA	Duden	tu_37_xTok_000318
Zahlung	Zahlung	NN	Duden	tu_37_xTok_000320
halber	halber	APPO	Duden	tu_37_xTok_000322
sich	sich	PRF	Duden	tu_37_xTok_000325
in	in	APPR	Duden	tu_37_xTok_000327
sein	sein	PPOSAT	Duden	tu_37_xTok_000329
des	d	ART	Duden	tu_37_xTok_000331
Delinquenten	Delinquent	NN	Duden	tu_37_xTok_000333
Wohn=Zimmer	Wohnzimmer	NN	Duden	tu_37_xTok_000336
eingefunden	einfinden	VVPP	Duden	tu_37_xTok_000338
<g/>
,
und	und	KON	Duden	tu_37_xTok_000342
ohne	ohne	APPR	Duden	tu_37_xTok_000344
erhaltender	erhalten	ADJA	Duden	tu_37_xTok_000346
<g/>
,
oder	oder	KON	Duden	tu_37_xTok_000351
genugsamen	genügsam	ADJA	Duden	tu_37_xTok_000353
Unterpfands	Unterpfand	NN	Duden	tu_37_xTok_000356
nicht	nicht	PTKNEG	Duden	tu_37_xTok_000358
abtretten	abtreten	VVINF	Duden	tu_37_xTok_000360
wollen	wollen	VMINF	Duden	tu_37_xTok_000362
<g/>
,
während	während	APPR	Duden	tu_37_xTok_000365
deme	d	PRELS	Duden	tu_37_xTok_000367
<g/>
,
als	als	KOUS	Duden	tu_37_xTok_000371
selbe	selbe	PDS	Duden	tu_37_xTok_000373
die	d	ART	Duden	tu_37_xTok_000375
ihme	er	PPER	Duden	tu_37_xTok_000377
Delinquenten	Delinquent	NN	Duden	tu_37_xTok_000379
anvertraute	anvertrauen	ADJA	Duden	tu_37_xTok_000382
Tücheln	Tuch	NN	Duden	tu_37_xTok_000384
mit	mit	APPR	Duden	tu_37_xTok_000387
einem	ein	ART	Duden	tu_37_xTok_000389
Reyßbley	Reißblei	NN	Duden	tu_37_xTok_000391
zusammen	zusammen	PTKVZ	Duden	tu_37_xTok_000393
gerechnet	zusammenrechnen	VVPP	Duden	tu_37_xTok_000395
<g/>
,
um	um	APPR	Duden	tu_37_xTok_000398
des	d	ART	Duden	tu_37_xTok_000400
weiteren	weit	ADJA	Duden	tu_37_xTok_000401
Uberlauffs	Überlauf	NN	Duden	tu_37_xTok_000403
<g/>
,
und	und	KON	Duden	tu_37_xTok_000406
dieser	diese	PDAT	Duden	tu_37_xTok_000408
seiner	sein	PPOSAT	Duden	tu_37_xTok_000410
Schulde	Schuld	NN	Duden	tu_37_xTok_000412
dermahleins	dermaleins	ADV	DWB	tu_37_xTok_000414
entlediget	entledigen	VVPP	Duden	tu_37_xTok_000417
zu	zu	PTKZU	Duden	tu_37_xTok_000419
werden	werden	VAINF	Duden	tu_37_xTok_000421
<g/>
)
mit	mit	APPR	Duden	tu_37_xTok_000424
einem	ein	ART	Duden	tu_37_xTok_000426
aus	aus	APPR	Duden	tu_37_xTok_000428
der	d	ART	Duden	tu_37_xTok_000430
Kuchel	Kuchel	NN	DWB	tu_37_xTok_000432
unter	unter	APPR	Duden	tu_37_xTok_000434
seinem	sein	PPOSAT	Duden	tu_37_xTok_000437
Rock	Rock	NN	Duden	tu_37_xTok_000439
genohmenen	nehmen	ADJA	Duden	tu_37_xTok_000441
Holtz=Häckel	Holzhäckel	NN	oov	tu_37_xTok_000443
zum	zum	APPRART	Duden	tu_37_xTok_000445
Genick	Genick	NN	Duden	tu_37_xTok_000447
einen	ein	ART	Duden	tu_37_xTok_000448
so	so	ADV	Duden	tu_37_xTok_000450
gewaltigen	gewaltig	ADJA	Duden	tu_37_xTok_000452
Streich	Streich	NN	Duden	tu_37_xTok_000454
<g/>
,
daß	dass	KOUS	Duden	tu_37_xTok_000457
solche	solch	PIAT	Duden	tu_37_xTok_000459
Weibs=Persohn	Weibsperson	NN	Duden	tu_37_xTok_000461
ohne	ohne	APPR	Duden	tu_37_xTok_000462
mindesten	mindeste	ADJA	Duden	tu_37_xTok_000464
Wort	Wort	NN	Duden	tu_37_xTok_000466
oder	oder	KON	Duden	tu_37_xTok_000468
Geschrey	Geschrei	NN	Duden	tu_37_xTok_000470
mit	mit	APPR	Duden	tu_37_xTok_000472
dem	d	ART	Duden	tu_37_xTok_000474
Kopff	Kopf	NN	Duden	tu_37_xTok_000476
also gleich	alsogleich	ADV		tu_37_xTok_000478
vorwerts	vorwärts	ADV	Duden	tu_37_xTok_000481
auf	auf	APPR	Duden	tu_37_xTok_000483
den	d	ART	Duden	tu_37_xTok_000485
Tisch	Tisch	NN	Duden	tu_37_xTok_000487
nieder	nieder	PTKVZ	Duden	tu_37_xTok_000489
gesuncken	niedersinken	VVPP	Duden	tu_37_xTok_000491
<g/>
,
und	und	KON	Duden	tu_37_xTok_000494
demnächst	demnächst	ADV	Duden	tu_37_xTok_000496
in	in	APPR	Duden	tu_37_xTok_000499
Vermerckung	Vermerkung	NN	DWB	tu_37_xTok_000501
<g/>
:
daß	dass	KON	Duden	tu_37_xTok_000504
wiederhollte	wiederholt	ADJA	Duden	tu_37_xTok_000506
Weibs=Persohn	Weibsperson	NN	Duden	tu_37_xTok_000508
nicht	nicht	PTKNEG	Duden	tu_37_xTok_000511
völlig	völlig	ADJD	Duden	tu_37_xTok_000513
todt	tot	ADJD	Duden	tu_37_xTok_000515
seye	sein	VAFIN	Duden	tu_37_xTok_000517
<g/>
,
sondern	sondern	KON	Duden	tu_37_xTok_000520
sich	sich	PRF	Duden	tu_37_xTok_000522
annoch	annoch	ADV	Duden	tu_37_xTok_000524
rühre	rühren	VVFIN	Duden	tu_37_xTok_000526
<g/>
,
und	und	KON	Duden	tu_37_xTok_000528
zapple	zappeln	VVFIN	Duden	tu_37_xTok_000530
<g/>
,
abermahlen	abermals	ADV	Duden	tu_37_xTok_000533
auf	auf	APPR	Duden	tu_37_xTok_000535
den	d	ART	Duden	tu_37_xTok_000537
Nacken	Nacken	NN	Duden	tu_37_xTok_000539
einen	ein	ART	Duden	tu_37_xTok_000541
also	also	ADV	Duden	tu_37_xTok_000543
kräfftig=	kräftig	ADJA	Duden	tu_37_xTok_000545
und	und	KON	Duden	tu_37_xTok_000548
von	von	APPR	Duden	tu_37_xTok_000550
des	d	ART	Duden	tu_37_xTok_000552
Tisches	Tisch	NN	Duden	tu_37_xTok_000554
Gegenhalt	Gegenhalt	NN	DWB	tu_37_xTok_000556
dermassen	dermaßen	ADV	Duden	tu_37_xTok_000558
nachdrück lichen lichen	nachdrücklich	ADJA	Duden	tu_37_xTok_000560
zweyten	zweite	ADJA	Duden	tu_37_xTok_000563
Streich	Streich	NN	Duden	tu_37_xTok_000565
versetzet	versetzen	VVPP	Duden	tu_37_xTok_000567
<g/>
,
daß	dass	KOUS	Duden	tu_37_xTok_000570
selbe	selbe	PDS	Duden	tu_37_xTok_000572
ohne	ohne	APPR	Duden	tu_37_xTok_000574
weiteren	weitere	ADJA	Duden	tu_37_xTok_000576
Lebens=Zeichen	Lebenszeichen	NN	Duden	tu_37_xTok_000579
von	von	APPR	Duden	tu_37_xTok_000581
dem	d	ART	Duden	tu_37_xTok_000583
Sitz	Sitz	NN	Duden	tu_37_xTok_000585
zur	zur	APPRART	Duden	tu_37_xTok_000587
Erden	Erde	NN	Duden	tu_37_xTok_000589
gefallen	fallen	VVPP	Duden	tu_37_xTok_000591
<g/>
,
wo	wo	PWAV	Duden	tu_37_xTok_000593
alsdann	alsdann	ADV	Duden	tu_37_xTok_000595
er	er	PPER	Duden	tu_37_xTok_000597
Delinquent	Delinquent	NN	Duden	tu_37_xTok_000599
solche	solch	PIAT	Duden	tu_37_xTok_000601
ermordte	ermorden	ADJA	Duden	tu_37_xTok_000603
Weibs=Persohn	Weibsperson	NN	Duden	tu_37_xTok_000605
zwar	zwar	ADV	Duden	tu_37_xTok_000608
in	in	APPR	Duden	tu_37_xTok_000610
solchem	solch	PIAT	Duden	tu_37_xTok_000612
Dahinfall	Dahinfall	NN	oov	tu_37_xTok_000614
mit	mit	APPR	Duden	tu_37_xTok_000616
beeden	beide	PIAT	Duden	tu_37_xTok_000618
Armben	Arm	NN	Duden	tu_37_xTok_000620
umfangen	umfangen	VVPP	Duden	tu_37_xTok_000622
<g/>
,
und	und	KON	Duden	tu_37_xTok_000626
von	von	APPR	Duden	tu_37_xTok_000628
dem	d	ART	Duden	tu_37_xTok_000630
Zimmer	Zimmer	NN	Duden	tu_37_xTok_000632
durch	durch	APPR	Duden	tu_37_xTok_000634
die	d	ART	Duden	tu_37_xTok_000636
Kuchel	Kuchel	NN	DWB	tu_37_xTok_000638
in	in	APPR	Duden	tu_37_xTok_000640
das	d	ART	Duden	tu_37_xTok_000642
Kämerl	Kämmerlein	NN	Duden	tu_37_xTok_000644
geschleppet	schleppen	VVPP	Duden	tu_37_xTok_000647
<g/>
,
und	und	KON	Duden	tu_37_xTok_000650
solches	solch	PDS	Duden	tu_37_xTok_000652
mit	mit	APPR	Duden	tu_37_xTok_000654
einer	ein	ART	Duden	tu_37_xTok_000656
Arb	Arbe	NN	DWB	tu_37_xTok_000658
und	und	KON	Duden	tu_37_xTok_000660
VorhängSchloß	Vorhängeschloss	NN	Duden	tu_37_xTok_000662
