<doc id="fb_17470323_AntoniL_JohannSp" delinquent_sexes="male" title="Todesurteil Antoni L., Johann Sp." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_39_xTok_000123
des	d	ART	Duden	tu_39_xTok_000126
Verbrechens	Verbrechen	NN	Duden	tu_39_xTok_000128
diser	diese	PDAT	Duden	tu_39_xTok_000131
Delinquenten	Delinquent	NN	Duden	tu_39_xTok_000132
<g/>
.
</head>
<p id="fb_17470323_AntoniL_JohannSp_p_0001">
HEunt	heute	ADV	Duden	tu_39_xTok_000135
Dato	dato	ADV	Duden	tu_39_xTok_000138
den	d	ART	Duden	tu_39_xTok_000140
23.	23	ADJA		tu_39_xTok_000142
Martii	März	NN	Duden	tu_39_xTok_000144
werden	werden	VAFIN	Duden	tu_39_xTok_000146
zwey	zwei	CARD	Duden	tu_39_xTok_000148
Manns=Persohnen	Mannsperson	NN	Duden	tu_39_xTok_000150
Nahmens	namens	ADV	Duden	tu_39_xTok_000152
Antoni	Anton	NE	Duden	tu_39_xTok_000154
L.	L.	NE	oov	tu_39_xTok_000156
bey	bei	APPR	Duden	tu_39_xTok_000159
53.	53	CARD		tu_39_xTok_000161
Jahr	Jahr	NN	Duden	tu_39_xTok_000163
alt	alt	ADJD	Duden	tu_39_xTok_000165
von	von	APPR	Duden	tu_39_xTok_000167
<placeName id="pn39">
Tubom	Tubom	NE::top	oov	tu_39_xTok_000169
aus	aus	APPR	Duden	tu_39_xTok_000172
Mähren	Mähren	NE::top	Duden	tu_39_xTok_000174
</placeName>
gebürtig	gebürtig	ADJD	Duden	tu_39_xTok_000176
ledigen	ledig	ADJA	Duden	tu_39_xTok_000178
Stands	Stand	NN	Duden	tu_39_xTok_000180
<g/>
/
und	und	KON	Duden	tu_39_xTok_000185
Johann	Johann	NE	Duden	tu_39_xTok_000187
Sp.	Sp.	NE	oov	tu_39_xTok_000189
bey	bei	APPR	Duden	tu_39_xTok_000192
35.	35	CARD		tu_39_xTok_000194
Jahr	Jahr	NN	Duden	tu_39_xTok_000196
alt	alt	ADJD	Duden	tu_39_xTok_000198
<g/>
/
von	von	APPR	Duden	tu_39_xTok_000202
<placeName id="pn39b">
Villingen	Villingen	NE::top	oov	tu_39_xTok_000204
aus	aus	APPR	Duden	tu_39_xTok_000206
dem	d	ART	Duden	tu_39_xTok_000208
Schwartz=Wald	Schwarzwald	NE::top	Duden	tu_39_xTok_000210
</placeName>
gebürtig	gebürtig	ADJD	Duden	tu_39_xTok_000212
<g/>
/
verheyrathen	verheiratet	ADJA	Duden	tu_39_xTok_000218
Stands	Stand	NN	Duden	tu_39_xTok_000220
<g/>
/
beede	beide	PIS	Duden	tu_39_xTok_000224
Catholischer	katholisch	ADJA	Duden	tu_39_xTok_000226
Religion	Religion	NN	Duden	tu_39_xTok_000230
<g/>
(
umb	um	APPR	Duden	tu_39_xTok_000233
Willen	willen	APZR	Duden	tu_39_xTok_000235
selbe	selbe	PDS	Duden	tu_39_xTok_000237
mit	mit	APPR	Duden	tu_39_xTok_000239
Beyhülf	Beihilfe	NN	Duden	tu_39_xTok_000241
des	d	ART	Duden	tu_39_xTok_000244
voran=	voran	ADV	Duden	tu_39_xTok_000246
gestert	gestern	ADV	Duden	tu_39_xTok_000248
hingerichteten	hinrichten	ADJA	Duden	tu_39_xTok_000250
Johann	Johann	NE	Duden	tu_39_xTok_000251
W.	W.	NE	oov	tu_39_xTok_000253
zwischen	zwischen	APPR	Duden	tu_39_xTok_000256
den	d	ART	Duden	tu_39_xTok_000258
fünften	fünf	ADJA	Duden	tu_39_xTok_000260
und	und	KON	Duden	tu_39_xTok_000262
sechsten	sechs	ADJA	Duden	tu_39_xTok_000264
No vem vember	November	NN	Duden	tu_39_xTok_000267
vorigen	vorige	ADJA	Duden	tu_39_xTok_000270
Jahrs	Jahr	NN	Duden	tu_39_xTok_000272
in	in	APPR	Duden	tu_39_xTok_000274
der	d	ART	Duden	tu_39_xTok_000276
Nacht	Nacht	NN	Duden	tu_39_xTok_000278
auf	auf	APPR	Duden	tu_39_xTok_000280
der	d	ART	Duden	tu_39_xTok_000282
Widen	Wieden	NE::top	oov	tu_39_xTok_000284
allhier	allhier	ADV	Duden	tu_39_xTok_000286
mittls	mittels	APPR	Duden	tu_39_xTok_000288
gewaltthätiger	gewalttätig	ADJA	Duden	tu_39_xTok_000290
Durchgrabung	Durchgrabung	NN	DWB	tu_39_xTok_000292
der	d	ART	Duden	tu_39_xTok_000295
Gassen=Mauer	Gassenmauer	NN	oov	tu_39_xTok_000297
aus	aus	APPR	Duden	tu_39_xTok_000299
einem	ein	ART	Duden	tu_39_xTok_000301
sicheren	sicher	ADJA	DWB	tu_39_xTok_000304
Cramer=Laden	Krämerladen	NN	Duden	tu_39_xTok_000307
und	und	KON	Duden	tu_39_xTok_000309
einer	ein	ART	Duden	tu_39_xTok_000311
daselbst	daselbst	ADV	Duden	tu_39_xTok_000313
mit	mit	APPR	Duden	tu_39_xTok_000316
einem	ein	ART	Duden	tu_39_xTok_000318
Brecheysen	Brecheisen	NN	Duden	tu_39_xTok_000320
bezwungener	bezwingen	ADJA	Duden	tu_39_xTok_000322
Küsten	Kiste	NN	Duden	tu_39_xTok_000324
an	an	APPR	Duden	tu_39_xTok_000326
verschiedenen	verschieden	ADJA	Duden	tu_39_xTok_000328
Woll=	wollen	ADJA	Duden	tu_39_xTok_000330
und	und	KON	Duden	tu_39_xTok_000332
Seidenen	seiden	ADJA	Duden	tu_39_xTok_000334
Kaufmanns=Waaren	Kaufmannswaare	NN	DWB	tu_39_xTok_000337
dem	d	ART	Duden	tu_39_xTok_000340
eygenen	eigen	ADJA	Duden	tu_39_xTok_000342
Kosten	Kosten	NN	Duden	tu_39_xTok_000344
nach	nach	APPO	Duden	tu_39_xTok_000347
Eydlich	eidlich	ADJD	Duden	tu_39_xTok_000349
ausgesagter Massen	ausgesagtermaßen	ADV		tu_39_xTok_000351
<g/>
/
umb	um	APPR	Duden	tu_39_xTok_000357
1816.	1816	CARD		tu_39_xTok_000359
fl.	Flore	NN	DWB	tu_39_xTok_000361
49.	49	CARD		tu_39_xTok_000364
kr.	Kreuzer	NN	Duden	tu_39_xTok_000366
Werths	wert	ADJD	Duden	tu_39_xTok_000369
ab=	abrauben	TRUNC	DWB	tu_39_xTok_000371
und	und	KON	Duden	tu_39_xTok_000373
hinwegrauben	hinwegrauben	VVINF	DRW	tu_39_xTok_000375
geholffen	helfen	VVPP	Duden	tu_39_xTok_000378
<g/>
/
einfolglichen	einfolglich	ADV	DWB	tu_39_xTok_000383
solchem	solch	PIAT	Duden	tu_39_xTok_000385
Cramer	Krämer	NN	Duden	tu_39_xTok_000387
<g/>
/
ungehindert	ungehindert	ADJD	Duden	tu_39_xTok_000392
demselben	derselbe	PDS	Duden	tu_39_xTok_000395
von	von	APPR	Duden	tu_39_xTok_000397
sothanen	sothan	ADJA	DWB	tu_39_xTok_000399
bey	bei	APPR	Duden	tu_39_xTok_000401
denen	d	ART	Duden	tu_39_xTok_000403
dreyen	drei	CARD	Duden	tu_39_xTok_000406
Thätern	Täter	NN	Duden	tu_39_xTok_000408
nach	nach	ADV	Duden	tu_39_xTok_000410
und	und	KON	Duden	tu_39_xTok_000412
nach	nach	ADV	Duden	tu_39_xTok_000414
verschiedener	verschieden	ADJA	Duden	tu_39_xTok_000415
Orthen	Ort	NN	Duden	tu_39_xTok_000418
meistentheils	meistenteils	ADV	Duden	tu_39_xTok_000420
erfunden	erfinden	VVPP	Duden	tu_39_xTok_000422
<g/>
/
Theils	teils	ADV	Duden	tu_39_xTok_000427
auch	auch	ADV	Duden	tu_39_xTok_000429
gerichtlich	gerichtlich	ADJD	Duden	tu_39_xTok_000431
vindicirten	vindizieren	ADJA	Duden	tu_39_xTok_000433
Waaren	Ware	NN	Duden	tu_39_xTok_000436
in	in	FM	G-LDHW	tu_39_xTok_000438
natura	natura	FM	G-LDHW	tu_39_xTok_000440
umb	um	APPR	Duden	tu_39_xTok_000442
1466.	1466	CARD		tu_39_xTok_000444
fl.	Flore	NN	DWB	tu_39_xTok_000446
25½.	25½	CARD		tu_39_xTok_000449
kr.	Kreuzer	NN	Duden	tu_39_xTok_000452
Werths	wert	ADJD	Duden	tu_39_xTok_000455
restituiret	restituieren	VVPP	Duden	tu_39_xTok_000457
worden	werden	VAPP	Duden	tu_39_xTok_000460
<g/>
/
dannoch	dannoch	ADV	DWB	tu_39_xTok_000464
einen	ein	ART	Duden	tu_39_xTok_000466
Schaden	Schaden	NN	Duden	tu_39_xTok_000468
per	per	APPR	Duden	tu_39_xTok_000470
350.	350	CARD		tu_39_xTok_000472
fl.	Flore	NN	DWB	tu_39_xTok_000474
23½.	23½	CARD		tu_39_xTok_000477
kr.	Kreuzer	NN	Duden	tu_39_xTok_000480
zugefüget	zufügen	VVPP	Duden	tu_39_xTok_000483
<g/>
)
auf	auf	APPR	Duden	tu_39_xTok_000486
dem	d	ART	Duden	tu_39_xTok_000487
Wiennerberg	Wienerberg	NE::top	oov	tu_39_xTok_000489
mit	mit	APPR	Duden	tu_39_xTok_000491
dem	d	ART	Duden	tu_39_xTok_000493
Strang	Strang	NN	Duden	tu_39_xTok_000495
von	von	APPR	Duden	tu_39_xTok_000497
dem	d	ART	Duden	tu_39_xTok_000499
Leben	Leben	NN	Duden	tu_39_xTok_000501
zum	zum	APPRART	Duden	tu_39_xTok_000503
Todt	Tod	NN	Duden	tu_39_xTok_000505
hingerichtet	hinrichten	VVPP	Duden	tu_39_xTok_000507
werden	werden	VAINF	Duden	tu_39_xTok_000508
<g/>
.
</p>
ENDE	Ende	NN	Duden	tu_39_xTok_000510
<g/>
.
</doc>
