<doc id="fb_17490619_JohannP" delinquent_sexes="male" title="Todesurteil Johann P." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_43_xTok_000126
des	d	ART	Duden	tu_43_xTok_000128
Verbrechens	Verbrechen	NN	Duden	tu_43_xTok_000130
dises	diese	PDAT	Duden	tu_43_xTok_000132
Delinquenten	Delinquent	NN	Duden	tu_43_xTok_000133
<g/>
.
</head>
<p id="fb_17490619_JohannP_p_0001">
HEut	heute	ADV	Duden	tu_43_xTok_000136
Dato	dato	ADV	Duden	tu_43_xTok_000139
den	d	ART	Duden	tu_43_xTok_000141
19.	19	ADJA		tu_43_xTok_000143
Junii	Juni	NN	Duden	tu_43_xTok_000145
1749.	1749	CARD		tu_43_xTok_000147
wird	werden	VAFIN	Duden	tu_43_xTok_000149
eine	ein	ART	Duden	tu_43_xTok_000151
verwittibte	verwitwet	ADJA	Duden	tu_43_xTok_000153
Manns=Persohn	Mannsperson	NN	Duden	tu_43_xTok_000155
von	von	APPR	Duden	tu_43_xTok_000157
Rom	Rom	NE::top	Duden	tu_43_xTok_000159
gebürtig	gebürtig	ADJD	Duden	tu_43_xTok_000160
<g/>
,
Catholischer	katholisch	ADJA	Duden	tu_43_xTok_000163
Religion	Religion	NN	Duden	tu_43_xTok_000165
<g/>
,
50.	50	CARD		tu_43_xTok_000168
Jahr	Jahr	NN	Duden	tu_43_xTok_000170
alt	alt	ADJD	Duden	tu_43_xTok_000171
<g/>
;
Um	um	APPR	Duden	tu_43_xTok_000174
willen	willen	APZR	Duden	tu_43_xTok_000176
derselbe	derselbe	PDS	Duden	tu_43_xTok_000178
nicht	nicht	PTKNEG	Duden	tu_43_xTok_000180
nur	nur	ADV	Duden	tu_43_xTok_000182
überzeigter massen	überzeugtermaßen	ADV		tu_43_xTok_000184
<g/>
,
unterm	unter_d	APPRART	Duden	tu_43_xTok_000188
Nahmen	Name	NN	Duden	tu_43_xTok_000190
Johann	Johann	NE	Duden	tu_43_xTok_000192
Michael	Michael	NE	Duden	tu_43_xTok_000194
E.	E.	NE	oov	tu_43_xTok_000196
schon	schon	ADV	Duden	tu_43_xTok_000198
allbereits	allbereits	ADV	Duden	tu_43_xTok_000200
von	von	APPR	Duden	tu_43_xTok_000202
Anno	annus	FM	G-LDHW	tu_43_xTok_000204
1715.	1715	CARD		tu_43_xTok_000206
bis	bis	APPR	Duden	tu_43_xTok_000208
1719.	1719	CARD		tu_43_xTok_000210
wegen	wegen	APPR	Duden	tu_43_xTok_000212
Beutlschneiderey=	Beutelschneiderei	NN	Duden	tu_43_xTok_000216
und	und	KON	Duden	tu_43_xTok_000218
kleinen	klein	ADJA	Duden	tu_43_xTok_000220
Diebereyen	Dieberei	NN	Duden	tu_43_xTok_000222
allhier	allhier	ADV	Duden	tu_43_xTok_000224
zu	zu	APPR	Duden	tu_43_xTok_000226
8.	8	CARD		tu_43_xTok_000228
verschiedenen	verschieden	ADJA	Duden	tu_43_xTok_000230
mahlen	Mal	NN	Duden	tu_43_xTok_000232
arrestirlich	arrestierlich	ADJD	oov	tu_43_xTok_000234
innen	innen	ADJD	Duden	tu_43_xTok_000237
gelegen	liegen	VVPP	Duden	tu_43_xTok_000239
<g/>
,
mit	mit	APPR	Duden	tu_43_xTok_000242
dem	d	ART	Duden	tu_43_xTok_000244
Zucht=Haus	Zuchthaus	NN	Duden	tu_43_xTok_000246
abgestrafft	abstrafen	VVPP	Duden	tu_43_xTok_000248
<g/>
,
benebens	benebens	ADV	DWB	tu_43_xTok_000252
