<doc id="fb_17510323_SusannaW" delinquent_sexes="female" title="Todesurteil Susanna W." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_52_xTok_000138
des	d	ART	Duden	tu_52_xTok_000140
Verbrechens	Verbrechen	NN	Duden	tu_52_xTok_000142
diser	diese	PDAT	Duden	tu_52_xTok_000144
Delinquentin	Delinquentin	NN	Duden	tu_52_xTok_000145
<g/>
.
</head>
<p id="fb_17510323_SusannaW_p_0001">
UM	um	APPR	Duden	tu_52_xTok_000148
willen	willen	APZR	Duden	tu_52_xTok_000151
sie	sie	PPER	Duden	tu_52_xTok_000153
Delinquentin	Delinquentin	NN	Duden	tu_52_xTok_000155
<g/>
(
ungehindert	ungehindert	ADJD	Duden	tu_52_xTok_000159
selbe	selbe	PDS	Duden	tu_52_xTok_000160
bereits	bereits	ADV	Duden	tu_52_xTok_000162
Anno	annus	FM	G-LDHW	tu_52_xTok_000164
1745.	1745	CARD		tu_52_xTok_000166
wegen	wegen	APPR	Duden	tu_52_xTok_000168
von	von	APPR	Duden	tu_52_xTok_000170
ihr	sie	PPER	Duden	tu_52_xTok_000172
selbst	selbst	ADV	Duden	tu_52_xTok_000173
geständiger massen	geständigermaßen	ADV		tu_52_xTok_000175
begangenen	begehen	ADJA	Duden	tu_52_xTok_000179
4.	4	CARD		tu_52_xTok_000181
unterschiedlichen	unterschiedlich	ADJA	Duden	tu_52_xTok_000183
Haus=Diebstählen	Hausdiebstahl	NN	DWB	tu_52_xTok_000186
zum	zum	APPRART	Duden	tu_52_xTok_000188
Schwerdt	Schwert	NN	Duden	tu_52_xTok_000190
verurthlet	verurteilen	VVPP	Duden	tu_52_xTok_000191
<g/>
,
und	und	KON	Duden	tu_52_xTok_000194
27.	27	CARD		tu_52_xTok_000196
gantzer	ganz	ADJA	Duden	tu_52_xTok_000198
Stund	Stunde	NN	Duden	tu_52_xTok_000200
lang	lang	ADJD	Duden	tu_52_xTok_000202
zum	zum	APPRART	Duden	tu_52_xTok_000204
Todt	Tod	NN	Duden	tu_52_xTok_000205
aufgesetzt	aufsetzen	VVPP	Duden	tu_52_xTok_000207
gewesen	sein	VAPP	Duden	tu_52_xTok_000209
<g/>
,
über	über	APPR	Duden	tu_52_xTok_000212
von	von	APPR	Duden	tu_52_xTok_000214
einem	ein	ART	Duden	tu_52_xTok_000216
unbekannten	unbekannt	ADJA	Duden	tu_52_xTok_000218
Gutthäter	Guttäter	NN	DWB	tu_52_xTok_000221
aber	aber	ADV	Duden	tu_52_xTok_000223
damahls	damals	ADV	Duden	tu_52_xTok_000225
beschehene	beschehen	ADJA	DWB	tu_52_xTok_000227
Schadens=Ersetzung	Schadensersetzung	NN	oov	tu_52_xTok_000230
nebst	nebst	APPR	Duden	tu_52_xTok_000232
Hinterlassung	Hinterlassung	NN	Duden	tu_52_xTok_000234
einer	ein	ART	Duden	tu_52_xTok_000235
geschwornen	geschworen	ADJA	Duden	tu_52_xTok_000237
Urphed	Urfehde	NN	Duden	tu_52_xTok_000239
auf	auf	APPR	Duden	tu_52_xTok_000241
6.	6	CARD		tu_52_xTok_000243
Jahr	Jahr	NN	Duden	tu_52_xTok_000245
in	in	APPR	Duden	tu_52_xTok_000247
alhiesiges	allhiesig	ADJA	DWB	tu_52_xTok_000249
Zucht=Haus	Zuchthaus	NN	Duden	tu_52_xTok_000252
in	in	APPR	Duden	tu_52_xTok_000254
Eisen	Eisen	NN	Duden	tu_52_xTok_000256
zur	zur	APPRART	Duden	tu_52_xTok_000258
Arbeit	Arbeit	NN	Duden	tu_52_xTok_000260
verschafft	verschaffen	VVPP	Duden	tu_52_xTok_000262
<g/>
,
ihr	sie	PPER	Duden	tu_52_xTok_000266
Delinquentin	Delinquentin	NN	Duden	tu_52_xTok_000268
jedoch	jedoch	ADV	Duden	tu_52_xTok_000271
auch	auch	ADV	Duden	tu_52_xTok_000273
hieran	hieran	PAV	Duden	tu_52_xTok_000275
7.	7	CARD		tu_52_xTok_000276
Viertel	Viertel	NN	Duden	tu_52_xTok_000278
Jahr	Jahr	NN	Duden	tu_52_xTok_000280
allergnädigst	allergnädigste	ADJD	Duden	tu_52_xTok_000282
nachgesehen	nachsehen	VVPP	Duden	tu_52_xTok_000284
<g/>
,
und	und	KON	Duden	tu_52_xTok_000286
geschencket	schenken	VVPP	Duden	tu_52_xTok_000288
worden	werden	VAPP	Duden	tu_52_xTok_000290
<g/>
)
sich	sich	PRF	Duden	tu_52_xTok_000293
nach	nach	APPR	Duden	tu_52_xTok_000295
ihrer	ihr	PPOSAT	Duden	tu_52_xTok_000297
