<doc id="fb_17510428_FrantzW" delinquent_sexes="male" title="Todesurteil Frantz W." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_53_xTok_000135
des	d	ART	Duden	tu_53_xTok_000137
Verbrechens	Verbrechen	NN	Duden	tu_53_xTok_000139
dieses	diese	PDAT	Duden	tu_53_xTok_000141
Delinquenten	Delinquent	NN	Duden	tu_53_xTok_000142
<g/>
.
</head>
<p id="fb_17510428_FrantzW_p_0001">
UM	um	APPR	Duden	tu_53_xTok_000145
willen	willen	APZR	Duden	tu_53_xTok_000148
<g/>
(
nachdeme	nachdem	KOUS	Duden	tu_53_xTok_000151
derselbe	derselbe	PDS	Duden	tu_53_xTok_000153
ein	ein	ART	Duden	tu_53_xTok_000155
bey	bei	APPR	Duden	tu_53_xTok_000158
einer	ein	ART	Duden	tu_53_xTok_000160
sicheren	sicher	ADJA	DWB	tu_53_xTok_000163
Burgerl.	bürgerlich	ADJA	Duden	tu_53_xTok_000165
Wittib	Witwe	NN	Duden	tu_53_xTok_000168
des	d	ART	Duden	tu_53_xTok_000170
öfteren	öfter	ADV-NN	Duden	tu_53_xTok_000172
ersehenes	ersehen	ADJA	Duden	tu_53_xTok_000173
Geld=Trüherl	Geldtruhe	NN	DWB	tu_53_xTok_000176
<g/>
/
ungehindert	ungehindert	ADJD	Duden	tu_53_xTok_000180
all=	all	PIAT	Duden	tu_53_xTok_000183
disfällig	diesfällig	ADJD	Duden	tu_53_xTok_000185
3.	3	CARD		tu_53_xTok_000189
gantzer	ganz	ADJA	Duden	tu_53_xTok_000192
Wochen	Woche	NN	Duden	tu_53_xTok_000194
lang	lang	ADJD	Duden	tu_53_xTok_000196
angewendeter	anwenden	ADJA	Duden	tu_53_xTok_000198
Bestrebung	Bestrebung	NN	Duden	tu_53_xTok_000199
<g/>
/
diebischer	diebisch	ADJA	Duden	tu_53_xTok_000204
Weise	Weise	NN	Duden	tu_53_xTok_000206
habhaft	habhaft	ADJD	Duden	tu_53_xTok_000208
zu	zu	PTKZU	Duden	tu_53_xTok_000210
werden	werden	VAINF	Duden	tu_53_xTok_000212
nicht	nicht	PTKNEG	Duden	tu_53_xTok_000215
vermöget	vermögen	VVPP	Duden	tu_53_xTok_000217
<g/>
)
er	er	PPER	Duden	tu_53_xTok_000220
den	d	ART	Duden	tu_53_xTok_000222
23.	23	ADJA		tu_53_xTok_000224
Februarii	Februar	NN	Duden	tu_53_xTok_000226
dis	diese	PDAT	Duden	tu_53_xTok_000228
Jahrs	Jahr	NN	Duden	tu_53_xTok_000230
sich	sich	PRF	Duden	tu_53_xTok_000232
dahin	dahin	PAV	Duden	tu_53_xTok_000234
erfrechet	erfrechen	VVPP	Duden	tu_53_xTok_000236
<g/>
/
daß	dass	KOUS	Duden	tu_53_xTok_000240
selber	selbe	PIS	Duden	tu_53_xTok_000242
<g/>
/
nach	nach	APPR	Duden	tu_53_xTok_000245
vorläuffiger	vorläufig	ADJA	Duden	tu_53_xTok_000246
ausser Haus=Lockung	Außerhauslockung	NN		tu_53_xTok_000251
des	d	ART	Duden	tu_53_xTok_000255
aldasigen	alldasig	ADJA	oov	tu_53_xTok_000257
Dienst=Mägdleins	Dienstmagd	NN	Duden	tu_53_xTok_000258
<g/>
/
sothane	sothan	ADJA	DWB	tu_53_xTok_000263
zumalen	zumal	KOUS	Duden	tu_53_xTok_000265
alt=erlebte	alterlebt	ADJA	oov	tu_53_xTok_000267
<g/>
/
mit	mit	APPR	Duden	tu_53_xTok_000273
dem	d	ART	Duden	tu_53_xTok_000275
Gesicht	Gesicht	NN	Duden	tu_53_xTok_000277
gegen	gegen	APPR	Duden	tu_53_xTok_000279
den	d	ART	Duden	tu_53_xTok_000281
Ofen	Ofen	NN	Duden	tu_53_xTok_000283
gesessene	sitzen	ADJA	Duden	tu_53_xTok_000285
Wittib	Witwe	NN	Duden	tu_53_xTok_000288
gähling	gähling	ADV	DWB	tu_53_xTok_000290
überfallen	überfallen	VVPP	Duden	tu_53_xTok_000292
<g/>
/
und	und	KON	Duden	tu_53_xTok_000296
derselben	dieselbe	PDS	Duden	tu_53_xTok_000298
nicht	nicht	PTKNEG	Duden	tu_53_xTok_000301
allein	allein	ADV	Duden	tu_53_xTok_000304
mit	mit	APPR	Duden	tu_53_xTok_000306
dem	d	ART	Duden	tu_53_xTok_000308
Rucken	Rücken	NN	Duden	tu_53_xTok_000310
eines	ein	ART	Duden	tu_53_xTok_000312
zu	zu	APPR	Duden	tu_53_xTok_000314
Handen	Hand	NN	Duden	tu_53_xTok_000316
bekommenen	bekommen	ADJA	Duden	tu_53_xTok_000319
Häckels	Hacke	NN	Duden	tu_53_xTok_000322
so	so	PRELS	Duden	tu_53_xTok_000325
recht=	rechte	ADJA	Duden	tu_53_xTok_000328
als	als	KOKOM	Duden	tu_53_xTok_000330
lincker Seits	linkerseits	ADV		tu_53_xTok_000332
der	d	ART	Duden	tu_53_xTok_000336
Stirn	Stirn	NN	Duden	tu_53_xTok_000337
gegen	gegen	APPR	Duden	tu_53_xTok_000339
denen	d	ART	Duden	tu_53_xTok_000341
Schläffen	Schlaf	NN	Duden	tu_53_xTok_000343
