<doc id="fb_17591124_ClaraK" delinquent_sexes="female" title="Todesurteil Clara K." attrs="word lemma pos vocab id">
<p id="fb_17591124_ClaraK_p_0001">
Es	es	PPER	Duden	tu_72_xTok_000143
hat	haben	VAFIN	Duden	tu_72_xTok_000146
diese	diese	PDAT	Duden	tu_72_xTok_000148
Delinquentin	Delinquentin	NN	Duden	tu_72_xTok_000150
zwar	zwar	ADV	Duden	tu_72_xTok_000152
von	von	APPR	Duden	tu_72_xTok_000154
Jugend	Jugend	NN	Duden	tu_72_xTok_000156
auf	auf	APZR	Duden	tu_72_xTok_000158
bis	bis	APPR	Duden	tu_72_xTok_000160
zu	zu	APPR	Duden	tu_72_xTok_000161
erfolgt=	erfolgen	ADJA	Duden	tu_72_xTok_000163
gegenwärtiger	gegenwärtig	ADJD	Duden	tu_72_xTok_000165
ihrer	ihr	PPOSAT	Duden	tu_72_xTok_000167
Arrestirung	Arrestierung	NN	oov	tu_72_xTok_000169
als	als	KOKOM	Duden	tu_72_xTok_000171
Wäscher=magd	Wäschermagd	NN	oov	tu_72_xTok_000172
mit	mit	APPR	Duden	tu_72_xTok_000174
Dienen	dienen	VVINF-NN	Duden	tu_72_xTok_000176
sich	sich	PRF	Duden	tu_72_xTok_000178
ernähret	ernähren	VVPP	Duden	tu_72_xTok_000180
<g/>
,
und	und	KON	Duden	tu_72_xTok_000183
in	in	APPR	Duden	tu_72_xTok_000184
ihren	ihr	PPOSAT	Duden	tu_72_xTok_000186
diesfällig=	diesfällig	ADJA	Duden	tu_72_xTok_000188
vielfältigen	vielfältig	ADJA	Duden	tu_72_xTok_000190
Diensten	Dienst	NN	Duden	tu_72_xTok_000192
<g/>
,
bis	bis	APPR	Duden	tu_72_xTok_000195
auf	auf	APPR	Duden	tu_72_xTok_000197
den	d	ART	Duden	tu_72_xTok_000199
letztern	letztere	ADJA	Duden	tu_72_xTok_000200
<g/>
,
durchaus	durchaus	ADV	Duden	tu_72_xTok_000203
ehrlich	ehrlich	ADJD	Duden	tu_72_xTok_000205
und	und	KON	Duden	tu_72_xTok_000207
fleißig	fleißig	ADJD	Duden	tu_72_xTok_000209
sich	sich	PRF	Duden	tu_72_xTok_000211
aufgeführet	aufführen	VVPP	Duden	tu_72_xTok_000213
<g/>
,
in	in	APPR	Duden	tu_72_xTok_000217
dem	d	ART	Duden	tu_72_xTok_000219
letztern	letztere	ADJA	Duden	tu_72_xTok_000221
aber	aber	ADV	Duden	tu_72_xTok_000223
ihrer	ihr	PPOSAT	Duden	tu_72_xTok_000225
eigenen	eigen	ADJA	Duden	tu_72_xTok_000227
Geständnuß	Geständnis	NN	Duden	tu_72_xTok_000229
ge mäß mäß	gemäß	APPO	Duden	tu_72_xTok_000231
<g/>
,
angefangen	anfangen	VVPP	Duden	tu_72_xTok_000235
<g/>
,
sowol	sowohl	KON	Duden	tu_72_xTok_000238
ihrer	ihr	PPOSAT	Duden	tu_72_xTok_000240
Dienst=frauen	Dienstfrau	NN	DWB	tu_72_xTok_000242
<g/>
,
als	als	KON	Duden	tu_72_xTok_000245
auch	auch	ADV	Duden	tu_72_xTok_000247
ihren	ihr	PPOSAT	Duden	tu_72_xTok_000248
Cameradinnen	Kameradin	NN	Duden	tu_72_xTok_000250
nach	nach	APPR	Duden	tu_72_xTok_000252
und	und	KON	Duden	tu_72_xTok_000254
nach	nach	APPR	Duden	tu_72_xTok_000256
nicht	nicht	PTKNEG	Duden	tu_72_xTok_000258
nur	nur	ADV	Duden	tu_72_xTok_000260
Geld	Geld	NN	Duden	tu_72_xTok_000262
<g/>
,
sondern	sondern	KON	Duden	tu_72_xTok_000264
auch	auch	ADV	Duden	tu_72_xTok_000266
unterschiedliche	unterschiedlich	ADJA	Duden	tu_72_xTok_000268
Kleinigkeiten	Kleinigkeit	NN	Duden	tu_72_xTok_000270
von	von	APPR	Duden	tu_72_xTok_000272
Wäsch	Wäsche	NN	Duden	tu_72_xTok_000274
und	und	KON	Duden	tu_72_xTok_000275
dergleichen	dergleichen	PIS	Duden	tu_72_xTok_000277
zu	zu	PTKZU	Duden	tu_72_xTok_000279
entwenden	entwenden	VVINF	Duden	tu_72_xTok_000281
<g/>
,
gleichwie	gleichwie	KON	Duden	tu_72_xTok_000284
