<doc id="fb_17640709_JacobD" delinquent_sexes="male" title="Todesurteil Jacob D." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_86_xTok_000136
seines	sein	PPOSAT	Duden	tu_86_xTok_000138
Verbrechens	Verbrechen	NN	Duden	tu_86_xTok_000140
<g/>
.
</head>
<p id="fb_17640709_JacobD_p_0001">
Es	es	PPER	Duden	tu_86_xTok_000142
ist	sein	VAFIN	Duden	tu_86_xTok_000145
dieser	diese	PDAT	Duden	tu_86_xTok_000147
Delinquent	Delinquent	NN	Duden	tu_86_xTok_000149
schon	schon	ADV	Duden	tu_86_xTok_000151
Anno	annus	FM	G-LDHW	tu_86_xTok_000153
1750.	1750	CARD		tu_86_xTok_000155
und	und	KON	Duden	tu_86_xTok_000157
1751.	1751	CARD		tu_86_xTok_000159
theils	teils	ADV	Duden	tu_86_xTok_000161
wegen	wegen	APPR	Duden	tu_86_xTok_000162
verdächtiger	verdächtig	ADJA	Duden	tu_86_xTok_000164
Betrettung	Betretung	NN	Duden	tu_86_xTok_000166
<g/>
,
theils	teils	ADV	Duden	tu_86_xTok_000169
<g/>
,
wegen	wegen	APPR	Duden	tu_86_xTok_000172
begangener	begehen	ADJA	Duden	tu_86_xTok_000174
Diebs=hellerey	Diebshehlerei	NN	DWB	tu_86_xTok_000175
<g/>
,
dann	dann	ADV	Duden	tu_86_xTok_000178
eines	ein	ART	Duden	tu_86_xTok_000180
pr.	per	APPR	Duden	tu_86_xTok_000182
20.	20	CARD		tu_86_xTok_000185
fl.	Flore	NN	DWB	tu_86_xTok_000187
ausgeübten	ausüben	ADJA	Duden	tu_86_xTok_000190
Diebstahls	Diebstahl	NN	Duden	tu_86_xTok_000192
halber	halber	APPO	Duden	tu_86_xTok_000193
zu	zu	APPR	Duden	tu_86_xTok_000195
3.	3	CARD		tu_86_xTok_000197
zerschiedenen	zerschieden	ADJA	DWB	tu_86_xTok_000199
malen	Mal	NN	Duden	tu_86_xTok_000201
in	in	APPR	Duden	tu_86_xTok_000203
Verhaft	Verhaft	NN	Duden	tu_86_xTok_000205
gezogen	ziehen	VVPP	Duden	tu_86_xTok_000207
<g/>
,
das	d	ART	Duden	tu_86_xTok_000210
erst=	erste	ADJA	Duden	tu_86_xTok_000212
und	und	KON	Duden	tu_86_xTok_000214
