<doc id="fb_17671204_JohannS_LeopoldG" delinquent_sexes="male" title="Todesurteil Johann S., Leopold G." attrs="word lemma pos vocab id">
<p id="fb_17671204_JohannS_LeopoldG_p_0001">
Nachdem	nachdem	KOUS	Duden	tu_90_xTok_000187
von	von	APPR	Duden	tu_90_xTok_000190
diesen	diese	PDAT	Duden	tu_90_xTok_000192
beyden	beide	PIAT	Duden	tu_90_xTok_000194
Delinquenten	Delinquent	NN	Duden	tu_90_xTok_000196
der	d	ART	Duden	tu_90_xTok_000198
Johann	Johann	NE	Duden	tu_90_xTok_000200
S.	S.	NE	oov	tu_90_xTok_000202
ein	ein	ART	Duden	tu_90_xTok_000205
Tagwerker	Tagwerker	NN	Duden	tu_90_xTok_000207
<g/>
,
erstlich	erstlich	ADV	Duden	tu_90_xTok_000211
einmal	einmal	ADV	Duden	tu_90_xTok_000216
An.	annus	FM	G-LDHW	tu_90_xTok_000218
1752.	1752	CARD		tu_90_xTok_000221
wegen	wegen	APPR	Duden	tu_90_xTok_000223
verbottenen	verboten	ADJA	Duden	tu_90_xTok_000225
Tabackschwärzen	Tabakschwärzen	NN	oov	tu_90_xTok_000227
<g/>
,
der	d	ART	Duden	tu_90_xTok_000231
Leopold	Leopold	NE	Duden	tu_90_xTok_000233
G.	G.	NE	oov	tu_90_xTok_000235
ein	ein	ART	Duden	tu_90_xTok_000238
erlernter	erlernen	ADJA	Duden	tu_90_xTok_000240
Maurer	Maurer	NN	Duden	tu_90_xTok_000242
aber	aber	ADV	Duden	tu_90_xTok_000244
An.	annus	FM	G-LDHW	tu_90_xTok_000246
1751.	1751	CARD		tu_90_xTok_000249
und	und	KON	Duden	tu_90_xTok_000252
1752.	1752	CARD		tu_90_xTok_000254
schon	schon	ADV	Duden	tu_90_xTok_000255
zu	zu	APPR	Duden	tu_90_xTok_000257
zwey	zwei	CARD	Duden	tu_90_xTok_000259
verschiedenen	verschieden	ADJA	Duden	tu_90_xTok_000261
malen	Mal	NN	Duden	tu_90_xTok_000263
Diebereyverdachts	Diebereiverdacht	NN	oov	tu_90_xTok_000265
halber	halber	APPO	Duden	tu_90_xTok_000267
allhier	allhier	ADV	Duden	tu_90_xTok_000272
gefänglich	gefänglich	ADJD	Duden	tu_90_xTok_000274
innen	innen	ADJD	Duden	tu_90_xTok_000277
gelegen	liegen	VVPP	Duden	tu_90_xTok_000279
<g/>
,
und	und	KON	Duden	tu_90_xTok_000282
mit	mit	APPR	Duden	tu_90_xTok_000284
