<doc id="fb_17710905_JosephH" delinquent_sexes="male" title="Todesurteil Joseph H." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_95_xTok_000136
seines	sein	PPOSAT	Duden	tu_95_xTok_000138
Verbrechens	Verbrechen	NN	Duden	tu_95_xTok_000140
<g/>
:
</head>
<p id="fb_17710905_JosephH_p_0001">
Dieser	diese	PDAT	Duden	tu_95_xTok_000142
Joseph	Joseph	NE	Duden	tu_95_xTok_000145
H.	H.	NE	oov	tu_95_xTok_000147
hat	haben	VAFIN	Duden	tu_95_xTok_000150
zwar	zwar	ADV	Duden	tu_95_xTok_000152
in	in	APPR	Duden	tu_95_xTok_000154
seiner	sein	PPOSAT	Duden	tu_95_xTok_000156
Jugend	Jugend	NN	Duden	tu_95_xTok_000158
zu	zu	APPR	Duden	tu_95_xTok_000160
Oberalting	Oberalting	NE::top	oov	tu_95_xTok_000162
in	in	APPR	Duden	tu_95_xTok_000164
Bayern	Bayern	NE::top	Duden	tu_95_xTok_000165
<g/>
,
die	d	ART	Duden	tu_95_xTok_000168
Baaderprofeßion	Baderprofession	NN	oov	tu_95_xTok_000170
ordentlich	ordentlich	ADJD	Duden	tu_95_xTok_000172
erlernet	erlernen	VVPP	Duden	tu_95_xTok_000174
<g/>
,
und	und	KON	Duden	tu_95_xTok_000177
sohin	sohin	ADV	Duden	tu_95_xTok_000179
auch	auch	ADV	Duden	tu_95_xTok_000180
<g/>
,
seinem	sein	PPOSAT	Duden	tu_95_xTok_000183
Vorgeben	Vorgeben	NN	Duden	tu_95_xTok_000185
nach	nach	APPO	Duden	tu_95_xTok_000187
<g/>
,
in	in	APPR	Duden	tu_95_xTok_000190
verschiedenen	verschieden	ADJA	Duden	tu_95_xTok_000192
Orten	Ort	NN	Duden	tu_95_xTok_000194
des	d	ART	Duden	tu_95_xTok_000196
römischen	römisch	ADJA	Duden	tu_95_xTok_000198
Reichs	Reich	NN	Duden	tu_95_xTok_000199
in so lange	insolange	ADV		tu_95_xTok_000201
als	als	KOKOM	Duden	tu_95_xTok_000207
Gesell	Geselle	NN	Duden	tu_95_xTok_000209
gedienet	dienen	VVPP	Duden	tu_95_xTok_000211
<g/>
,
bis	bis	KOUS	Duden	tu_95_xTok_000214
er	er	PPER	Duden	tu_95_xTok_000216
im	im	APPRART	Duden	tu_95_xTok_000218
Jahr	Jahr	NN	Duden	tu_95_xTok_000220
1762	1762	CARD		tu_95_xTok_000222
<g/>
,
um	um	KOUI	Duden	tu_95_xTok_000225
sein	sein	PPOSAT	Duden	tu_95_xTok_000226
Glück	Glück	NN	Duden	tu_95_xTok_000228
weiter	weiter	ADV	Duden	tu_95_xTok_000230
in	in	APPR	Duden	tu_95_xTok_000232
der	d	ART	Duden	tu_95_xTok_000234
Fremde	Fremde	NN	Duden	tu_95_xTok_000236
zu	zu	PTKZU	Duden	tu_95_xTok_000238
suchen	suchen	VVINF	Duden	tu_95_xTok_000240
<g/>
,
herab	herab	ADV	Duden	tu_95_xTok_000243
nach	nach	APPR	Duden	tu_95_xTok_000245
Wien	Wien	NE::top	Duden	tu_95_xTok_000247
gekommen	kommen	VVPP	Duden	tu_95_xTok_000249
<g/>
,
wo	wo	PWAV	Duden	tu_95_xTok_000253
er	er	PPER	Duden	tu_95_xTok_000255
den	dann	ADV	Duden	tu_95_xTok_000257
theils	teils	ADV	Duden	tu_95_xTok_000259
alhier	allhier	ADV	Duden	tu_95_xTok_000261
<g/>
,
theils	teils	ADV	Duden	tu_95_xTok_000264
in	in	APPR	Duden	tu_95_xTok_000266
Hungarn	Ungarn	NE::top	Duden	tu_95_xTok_000268
einige	einige	PIAT	Duden	tu_95_xTok_000270
Zeit	Zeit	NN	Duden	tu_95_xTok_000272
dienst=	dienstlos	ADJD	DWB	tu_95_xTok_000273
und	und	KON	Duden	tu_95_xTok_000275
verdienstlos	verdienstlos	ADJD	Duden	tu_95_xTok_000277
herumgewandert	herumwandern	VVPP	Duden	tu_95_xTok_000279
<g/>
,
endlich	endlich	ADV	Duden	tu_95_xTok_000282
aber	aber	ADV	Duden	tu_95_xTok_000284
im	im	APPRART	Duden	tu_95_xTok_000286
Monat	Monat	NN	Duden	tu_95_xTok_000288
October	Oktober	NN	Duden	tu_95_xTok_000289
<g/>
,
dieses	diese	PDAT	Duden	tu_95_xTok_000292
nemlichen	nämlich	ADJA	Duden	tu_95_xTok_000294
Jahrs	Jahr	NN	Duden	tu_95_xTok_000296
<g/>
,
darum	darum	PAV	Duden	tu_95_xTok_000299
das	d	ART	Duden	tu_95_xTok_000301
erste	erste	ADJA	Duden	tu_95_xTok_000303
mal	Mal	NN	Duden	tu_95_xTok_000303b
alhier	allhier	ADV	Duden	tu_95_xTok_000305
<g/>
,
auf	auf	APPR	Duden	tu_95_xTok_000308
der	d	ART	Duden	tu_95_xTok_000309
St. Marxerlinie	St.Marxerlinie	NE::top		tu_95_xTok_000311
<g/>
,
gefänglich	gefänglich	ADJD	Duden	tu_95_xTok_000317
angehalten	anhalten	VVPP	Duden	tu_95_xTok_000319
<g/>
,
und	und	KON	Duden	tu_95_xTok_000322
in	in	APPR	Duden	tu_95_xTok_000324
das	d	ART	Duden	tu_95_xTok_000326
Rumorhaus	Rumorhaus	NN	DWB	tu_95_xTok_000328
eingeliefert	einliefern	VVPP	Duden	tu_95_xTok_000332
worden	werden	VAPP	Duden	tu_95_xTok_000334
ist	sein	VAFIN	Duden	tu_95_xTok_000336
<g/>
;
weil	weil	KOUS	Duden	tu_95_xTok_000339
von	von	APPR	Duden	tu_95_xTok_000341
einer	ein	ART	Duden	tu_95_xTok_000343
Landkutsche	Landkutsche	NN	DWB	tu_95_xTok_000345
<g/>
,
auf	auf	APPR	Duden	tu_95_xTok_000348
welcher	welch	PRELS	Duden	tu_95_xTok_000350
er	er	PPER	Duden	tu_95_xTok_000352
eben	eben	ADV	Duden	tu_95_xTok_000353
damals	damals	ADV	Duden	tu_95_xTok_000355
von	von	APPR	Duden	tu_95_xTok_000357
Riegelsbrunn	Riegelsbrunn	NE::top	oov	tu_95_xTok_000359
bis	bis	APPR	Duden	tu_95_xTok_000361
Schwechat	Schwechat	NE::top	oov	tu_95_xTok_000363
heraufgefahren	herauffahren	VVPP	Duden	tu_95_xTok_000365
<g/>
,
ein	ein	ART	Duden	tu_95_xTok_000368
Mantel	Mantel	NN	Duden	tu_95_xTok_000369
verlohren	verlieren	PTKVZ	Duden	tu_95_xTok_000371
gegangen	verlorengehen	VVPP	Duden	tu_95_xTok_000373
<g/>
,
und	und	KON	Duden	tu_95_xTok_000376
er	er	PPER	Duden	tu_95_xTok_000378
Joseph	Joseph	NE	Duden	tu_95_xTok_000380
H.	H.	NE	oov	tu_95_xTok_000382
der	d	ART	Duden	tu_95_xTok_000385
diesfälligen	diesfällig	ADJA	Duden	tu_95_xTok_000387
Entwendung	Entwendung	NN	Duden	tu_95_xTok_000389
halber	halber	APPO	Duden	tu_95_xTok_000392
sich	sich	PRF	Duden	tu_95_xTok_000395
verdächtig	verdächtig	ADJD	Duden	tu_95_xTok_000397
gemachet	machen	VVPP	Duden	tu_95_xTok_000399
hat	haben	VAFIN	Duden	tu_95_xTok_000401
<g/>
.
Nachdem	nachdem	KOUS	Duden	tu_95_xTok_000404
er	er	PPER	Duden	tu_95_xTok_000406
jedoch	jedoch	ADV	Duden	tu_95_xTok_000408
dessen	d	PDS	Duden	tu_95_xTok_000410
nicht	nicht	PTKNEG	Duden	tu_95_xTok_000413
