<doc id="fb_17720605_EgidiusL" delinquent_sexes="male" title="Todesurteil Egidius L." attrs="word lemma pos vocab id">
<p id="fb_17720605_EgidiusL_p_0001">
Es	es	PPER	Duden	tu_97_xTok_000107
hat	haben	VAFIN	Duden	tu_97_xTok_000110
Egidius	Ägidius	NE	Duden	tu_97_xTok_000112
L.	L.	NE	oov	tu_97_xTok_000114
ein	ein	ART	Duden	tu_97_xTok_000117
aus	aus	APPR	Duden	tu_97_xTok_000119
Brodiß	Brodiß	NE::top	oov	tu_97_xTok_000121
in	in	APPR	Duden	tu_97_xTok_000123
Oesterreich	Österreich	NE::top	Duden	tu_97_xTok_000125
gebürtiger	gebürtig	ADJA	Duden	tu_97_xTok_000128
Schafknecht	Schafknecht	NN	DWB	tu_97_xTok_000130
<g/>
,
seit	seit	APPR	Duden	tu_97_xTok_000133
zwey	zwei	CARD	Duden	tu_97_xTok_000135
einem	ein	ART	Duden	tu_97_xTok_000137
halben	halb	ADJA	Duden	tu_97_xTok_000138
Jahr	Jahr	NN	Duden	tu_97_xTok_000140
aber	aber	ADV	Duden	tu_97_xTok_000142
<g/>
,
hier	hier	ADV	Duden	tu_97_xTok_000145
wohnhafter	wohnhaft	ADJA	Duden	tu_97_xTok_000147
verheyratheter	verheiratet	ADJA	Duden	tu_97_xTok_000149
Taglöhner	Taglöhner	NN	Duden	tu_97_xTok_000152
<g/>
,
27.	27	CARD		tu_97_xTok_000155
Jahr	Jahr	NN	Duden	tu_97_xTok_000157
alt	alt	ADJD	Duden	tu_97_xTok_000159
<g/>
,
katholischer	katholisch	ADJA	Duden	tu_97_xTok_000162
Religion	Religion	NN	Duden	tu_97_xTok_000164
<g/>
,
den	d	ART	Duden	tu_97_xTok_000166
Georg	Georg	NE	Duden	tu_97_xTok_000168
Eckert	Eckert	NE	oov	tu_97_xTok_000170
<g/>
,
behausten	behaust	ADJA	Duden	tu_97_xTok_000173
Unterthan	Untertan	NN	Duden	tu_97_xTok_000175
von	von	APPR	Duden	tu_97_xTok_000177
Oberkreuzstätten	Oberkreuzstetten	NE::top	oov	tu_97_xTok_000179
<g/>
,
in	in	APPR	Duden	tu_97_xTok_000183
gedachtem	gedacht	ADJA	DWB	tu_97_xTok_000185
Oesterreich	Österreich	NE::top	Duden	tu_97_xTok_000187
<g/>
,
welcher	welch	PRELS	Duden	tu_97_xTok_000190
sammt	samt	APPR	Duden	tu_97_xTok_000192
seinen	sein	PPOSAT	Duden	tu_97_xTok_000193
15=jährigen	fünfzehnjährig	ADJA	Duden	tu_97_xTok_000195
Sohn	Sohn	NN	Duden	tu_97_xTok_000198
Georg	Georg	NE	Duden	tu_97_xTok_000200
<g/>
,
Getraid	Getreide	NN	Duden	tu_97_xTok_000203
zu	zu	PTKZU	Duden	tu_97_xTok_000205
kaufen	kaufen	VVINF	Duden	tu_97_xTok_000207
<g/>
,
anhero	anhero	ADV	DWB	tu_97_xTok_000209
<g/>
,
und	und	KON	Duden	tu_97_xTok_000212
hier	hier	ADV	Duden	tu_97_xTok_000214
auf	auf	APPR	Duden	tu_97_xTok_000216
dem	d	ART	Duden	tu_97_xTok_000218
Platz	Platz	NN	Duden	tu_97_xTok_000220
mit	mit	APPR	Duden	tu_97_xTok_000222
Delinquenten	Delinquent	NN	Duden	tu_97_xTok_000224
<g/>
,
den	d	ART	Duden	tu_97_xTok_000226
14.	14	ADJA		tu_97_xTok_000228
Monats	Monat	NN	Duden	tu_97_xTok_000230
May	Mai	NN	Duden	tu_97_xTok_000232
laufenden	laufend	ADJA	Duden	tu_97_xTok_000234
Jahres	Jahr	NN	Duden	tu_97_xTok_000236
zusammen	zusammen	PTKVZ	Duden	tu_97_xTok_000238
kam	zusammenkommen	VVFIN	Duden	tu_97_xTok_000239
<g/>
,
als	als	KOUS	Duden	tu_97_xTok_000242
er	er	PPER	Duden	tu_97_xTok_000244
dessen	d	PDAT	Duden	tu_97_xTok_000246
zum	zum	APPRART	Duden	tu_97_xTok_000248
Getraidkauf	Getreidekauf	NN	DWB	tu_97_xTok_000250
gewidmetes	widmen	ADJA	Duden	tu_97_xTok_000252
Geld	Geld	NN	Duden	tu_97_xTok_000254
zu	zu	PTKZU	Duden	tu_97_xTok_000255
sehen	sehen	VVINF	Duden	tu_97_xTok_000257
bekommen	bekommen	VVPP	Duden	tu_97_xTok_000259
<g/>
,
bey	bei	APPR	Duden	tu_97_xTok_000262
alsogleich	alsogleich	ADV	Duden	tu_97_xTok_000264
gefaßtem	fassen	ADJA	Duden	tu_97_xTok_000266
Entschluß	Entschluss	NN	Duden	tu_97_xTok_000268
<g/>
,
dasselbe	dasselbe	PDS	Duden	tu_97_xTok_000272
auch	auch	ADV	Duden	tu_97_xTok_000274
mit	mit	APPR	Duden	tu_97_xTok_000276
Gewaltsmitteln	Gewaltmittel	NN	DWB	tu_97_xTok_000278
<g/>
,
ihme	er	PPER	Duden	tu_97_xTok_000281
abzunehmen	abnehmen	VVIZU	Duden	tu_97_xTok_000283
<g/>
,
unter	unter	APPR	Duden	tu_97_xTok_000287
dem	d	ART	Duden	tu_97_xTok_000289
arglistigen	arglistig	ADJA	Duden	tu_97_xTok_000291
Vorwand	Vorwand	NN	Duden	tu_97_xTok_000293
<g/>
,
ohnweit	unweit	APPR	Duden	tu_97_xTok_000296
hier	hier	ADV	Duden	tu_97_xTok_000297
wohlfeileres	wohlfeil	ADJA	Duden	tu_97_xTok_000299
Getreid	Getreide	NN	Duden	tu_97_xTok_000301
verschaffen	verschaffen	VVINF	Duden	tu_97_xTok_000303
zu	zu	PTKZU	Duden	tu_97_xTok_000305
wollen	wollen	VMINF	Duden	tu_97_xTok_000307
<g/>
,
mit	mit	APPR	Duden	tu_97_xTok_000310
Anerbietung	Anerbietung	NN	Duden	tu_97_xTok_000311
seines	sein	PPOSAT	Duden	tu_97_xTok_000313
Dienstes	Dienst	NN	Duden	tu_97_xTok_000315
<g/>
,
zur	zur	APPRART	Duden	tu_97_xTok_000318
Dahinreise	Dahinreise	NN	oov	tu_97_xTok_000320
überredet	überreden	VVPP	Duden	tu_97_xTok_000322
<g/>
;
Und	und	KON	Duden	tu_97_xTok_000326
