<doc id="fb_17730507_JosephB" delinquent_sexes="male" title="Todesurteil Joseph B." attrs="word lemma pos vocab id">
<head>
Jnhalt	Inhalt	NN	Duden	tu_102_xTok_000140
seines	sein	PPOSAT	Duden	tu_102_xTok_000142
Verbrechens	Verbrechen	NN	Duden	tu_102_xTok_000144
<g/>
.
</head>
<p id="fb_17730507_JosephB_p_0001">
Dieser	diese	PDAT	Duden	tu_102_xTok_000146
Joseph	Joseph	NE	Duden	tu_102_xTok_000149
B.	B.	NE	oov	tu_102_xTok_000151
hat	haben	VAFIN	Duden	tu_102_xTok_000154
durch	durch	APPR	Duden	tu_102_xTok_000156
9.	9	CARD		tu_102_xTok_000158
Jahre	Jahr	NN	Duden	tu_102_xTok_000160
fast	fast	ADV	Duden	tu_102_xTok_000162
stäts	stets	ADV	Duden	tu_102_xTok_000164
allhier	allhier	ADV	Duden	tu_102_xTok_000166
theils	teils	ADV	Duden	tu_102_xTok_000168
als	als	KOKOM	Duden	tu_102_xTok_000170
Roßwarter	Rosswärter	NN	DWB	tu_102_xTok_000171
<g/>
,
theils	teils	ADV	Duden	tu_102_xTok_000174
als	als	KOKOM	Duden	tu_102_xTok_000176
Herrschaftspostillion	Herrschaftspostillion	NN	oov	tu_102_xTok_000178
gedienet	dienen	VVPP	Duden	tu_102_xTok_000180
<g/>
;
da	da	KOUS	Duden	tu_102_xTok_000183
er	er	PPER	Duden	tu_102_xTok_000185
aber	aber	ADV	Duden	tu_102_xTok_000186
vor	vor	APPR	Duden	tu_102_xTok_000188
einigen	einige	PIAT	Duden	tu_102_xTok_000190
Monaten	Monat	NN	Duden	tu_102_xTok_000192
dienstlos	dienstlos	ADJD	Duden	tu_102_xTok_000194
worden	werden	VAPP	Duden	tu_102_xTok_000196
<g/>
,
und	und	KON	Duden	tu_102_xTok_000199
sonach	sonach	ADV	Duden	tu_102_xTok_000201
der	d	ART	Duden	tu_102_xTok_000203
Tagwerksarbeit	Tagwerksarbeit	NN	oov	tu_102_xTok_000205
sich	sich	PRF	Duden	tu_102_xTok_000208
ergeben	ergeben	VVPP	Duden	tu_102_xTok_000210
<g/>
,
hat	haben	VAFIN	Duden	tu_102_xTok_000213
er	er	PPER	Duden	tu_102_xTok_000215
den	d	ART	Duden	tu_102_xTok_000217
7ten	7	ADJA		tu_102_xTok_000219
Jänner	Jänner	NN	Duden	tu_102_xTok_000222
dieses	diese	PDAT	Duden	tu_102_xTok_000224
Jahrs	Jahr	NN	Duden	tu_102_xTok_000226
einen	ein	ART	Duden	tu_102_xTok_000228
ihme	er	PPER	Duden	tu_102_xTok_000231
zugehörigen	zugehörig	ADJA	Duden	tu_102_xTok_000233
Kaputrock	Kaputrock	NN	DWB	tu_102_xTok_000235
in	in	APPR	Duden	tu_102_xTok_000237
dem	d	ART	Duden	tu_102_xTok_000239
allhiesig=	allhiesig	ADJA	DWB	tu_102_xTok_000241
k.	kaiserlich	ADJA	Duden	tu_102_xTok_000243
k.	königlich	ADJA	Duden	tu_102_xTok_000246
privilegirten	privilegiert	ADJA	Duden	tu_102_xTok_000249
Versatzamte	Versatzamt	NN	Duden	tu_102_xTok_000250
für	für	APPR	Duden	tu_102_xTok_000252
3.	3	CARD		tu_102_xTok_000254
Fl.	Flore	NN	DWB	tu_102_xTok_000256
verpfändet	verpfänden	VVPP	Duden	tu_102_xTok_000259
<g/>
.
</p>
<p id="fb_17730507_JosephB_p_0002">
Zumalen	zumal	KOUS	Duden	tu_102_xTok_000261
nun	nun	ADV	Duden	tu_102_xTok_000263
aber	aber	ADV	Duden	tu_102_xTok_000265
er	er	PPER	Duden	tu_102_xTok_000267
Joseph	Joseph	NE	Duden	tu_102_xTok_000269
B.	B.	NE	oov	tu_102_xTok_000271
mit	mit	APPR	Duden	tu_102_xTok_000274
dieser	diese	PDAT	Duden	tu_102_xTok_000276
Gelegenheit	Gelegenheit	NN	Duden	tu_102_xTok_000278
bey	bei	APPR	Duden	tu_102_xTok_000280
jenem	jene	PDAT	Duden	tu_102_xTok_000281
Kaßier	Kassier	NN	Duden	tu_102_xTok_000283
<g/>
,
welcher	welch	PRELS	Duden	tu_102_xTok_000286
ihme	er	PPER	Duden	tu_102_xTok_000288
sothane	sothan	ADJA	DWB	tu_102_xTok_000290
3.	3	CARD		tu_102_xTok_000292
Fl.	Flore	NN	DWB	tu_102_xTok_000294
ausgezahlet	auszahlen	VVPP	Duden	tu_102_xTok_000297
<g/>
,
vieles	viel	PIAT	Duden	tu_102_xTok_000300
Geld	Geld	NN	Duden	tu_102_xTok_000302
<g/>
,
theils	teils	ADV	Duden	tu_102_xTok_000304
in	in	APPR	Duden	tu_102_xTok_000306
der	d	ART	Duden	tu_102_xTok_000308
Kassatruhe	Kassatruhe	NN	DRW	tu_102_xTok_000310
<g/>
,
theils	teils	ADV	Duden	tu_102_xTok_000313
heraußen	heraußen	ADV	Duden	tu_102_xTok_000315
auf	auf	APPR	Duden	tu_102_xTok_000317
dem	d	ART	Duden	tu_102_xTok_000319
Tische	Tisch	NN	Duden	tu_102_xTok_000321
liegen	liegen	VVINF	Duden	tu_102_xTok_000323
gesehen	sehen	VVPP	Duden	tu_102_xTok_000326
<g/>
,
als	als	KOUS	Duden	tu_102_xTok_000329
ist	sein	VAFIN	Duden	tu_102_xTok_000331
er	er	PPER	Duden	tu_102_xTok_000333
hierüber	hierüber	PAV	Duden	tu_102_xTok_000335
auf	auf	APPR	Duden	tu_102_xTok_000337
den	d	ART	Duden	tu_102_xTok_000339
Gedanken	Gedanke	NN	Duden	tu_102_xTok_000341
<g/>
,
in	in	APPR	Duden	tu_102_xTok_000344
besagtem	besagt	ADJA	Duden	tu_102_xTok_000346
Versatzamte	Versatzamt	NN	Duden	tu_102_xTok_000348
einen	ein	ART	Duden	tu_102_xTok_000351
Diebstahl	Diebstahl	NN	Duden	tu_102_xTok_000353
zu	zu	PTKZU	Duden	tu_102_xTok_000355
unternehmen	unternehmen	VVINF	Duden	tu_102_xTok_000357
<g/>
,
verfallen	verfallen	VVPP	Duden	tu_102_xTok_000360
<g/>
;
zu	zu	APPR	Duden	tu_102_xTok_000363
welchem	welch	PRELAT	Duden	tu_102_xTok_000365
Ende	Ende	NN	Duden	tu_102_xTok_000367
er	er	PPER	Duden	tu_102_xTok_000370
in	in	APPR	Duden	tu_102_xTok_000372
