<doc id="fb_17741215_AntonR" delinquent_sexes="male" title="Todesurteil Anton R." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_109_xTok_000152
seines	sein	PPOSAT	Duden	tu_109_xTok_000154
Verbrechens	Verbrechen	NN	Duden	tu_109_xTok_000156
<g/>
.
</head>
<p id="fb_17741215_AntonR_p_0001">
Es	es	PPER	Duden	tu_109_xTok_000158
hat	haben	VAFIN	Duden	tu_109_xTok_000161
zwar	zwar	ADV	Duden	tu_109_xTok_000163
dieser	diese	PDAT	Duden	tu_109_xTok_000165
Delinquent	Delinquent	NN	Duden	tu_109_xTok_000167
die	d	ART	Duden	tu_109_xTok_000169
Fleischhackerprofeßion	Fleischhackerprofession	NN	oov	tu_109_xTok_000171
ordentlich	ordentlich	ADJD	Duden	tu_109_xTok_000173
erlernet	erlernen	VVPP	Duden	tu_109_xTok_000175
<g/>
,
jedoch	jedoch	KON	Duden	tu_109_xTok_000179
solche	solch	PIS	Duden	tu_109_xTok_000181
bald	bald	ADV	Duden	tu_109_xTok_000183
darauf	darauf	PAV	Duden	tu_109_xTok_000185
wiederum	wiederum	ADV	Duden	tu_109_xTok_000187
verlassen	verlassen	VVPP	Duden	tu_109_xTok_000189
<g/>
,
und	und	KON	Duden	tu_109_xTok_000192
hierüber	hierüber	PAV	Duden	tu_109_xTok_000194
theils	teils	ADV	Duden	tu_109_xTok_000195
zu	zu	APPR	Duden	tu_109_xTok_000197
Seiblingstein	Seiblingstein	NE::top	oov	tu_109_xTok_000199
bey	bei	APPR	Duden	tu_109_xTok_000201
der	d	ART	Duden	tu_109_xTok_000203
Holzschwemme	Holzschwemme	NN	oov	tu_109_xTok_000205
<g/>
,
theils	teils	ADV	Duden	tu_109_xTok_000208
zu	zu	ADJA	Duden	tu_109_xTok_000210
Linz	Linz	NE::top	Duden	tu_109_xTok_000210c
in	in	APPR	Duden	tu_109_xTok_000212
der	d	ART	Duden	tu_109_xTok_000214
Wollzeugfabrike	Wollzeugfabrik	NN	oov	tu_109_xTok_000215
bey	bei	APPR	Duden	tu_109_xTok_000217
der	d	ART	Duden	tu_109_xTok_000219
Kämmerey	Kämmerei	NN	DWB	tu_109_xTok_000221
gearbeitet	arbeiten	VVPP	Duden	tu_109_xTok_000223
<g/>
,
in	in	APPR	Duden	tu_109_xTok_000226
welch	welch	PRELAT	Duden	tu_109_xTok_000228
letzterm	letztere	ADJA	Duden	tu_109_xTok_000230
Orte	Ort	NN	Duden	tu_109_xTok_000232
er	er	PPER	Duden	tu_109_xTok_000234
einem	ein	ART	Duden	tu_109_xTok_000235
andern	andere	ADJA	Duden	tu_109_xTok_000237
Purschen	Bursche	NN	Duden	tu_109_xTok_000239
sich	sich	PRF	Duden	tu_109_xTok_000241
zugesellet	zugesellen	VVPP	Duden	tu_109_xTok_000243
<g/>
,
und	und	KON	Duden	tu_109_xTok_000246
mit	mit	APPR	Duden	tu_109_xTok_000248
selbem	selbe	PDS	Duden	tu_109_xTok_000250
ungefehr	ungefähr	ADV	Duden	tu_109_xTok_000252
14	14	CARD		tu_109_xTok_000254
Tage	Tag	NN	Duden	tu_109_xTok_000256
lang	lang	ADJD	Duden	tu_109_xTok_000257
in	in	APPR	Duden	tu_109_xTok_000259
der	d	ART	Duden	tu_109_xTok_000261
Kirche	Kirche	NN	Duden	tu_109_xTok_000263
der	d	ART	Duden	tu_109_xTok_000265
Tüchelschnipferey	Tüchelschnüpferei	NN	oov	tu_109_xTok_000267
<g/>
,
sohin	sohin	ADV	Duden	tu_109_xTok_000270
aber	aber	ADV	Duden	tu_109_xTok_000272
auf	auf	APPR	Duden	tu_109_xTok_000274
eine	ein	ART	Duden	tu_109_xTok_000276
falsche	falsch	ADJA	Duden	tu_109_xTok_000278
Schneiderkundschaft	Schneiderkundschaft	NN	Duden	tu_109_xTok_000280
in	in	APPR	Duden	tu_109_xTok_000283
verschiedenen	verschieden	ADJA	Duden	tu_109_xTok_000285
Orten	Ort	NN	Duden	tu_109_xTok_000287
dem	d	ART	Duden	tu_109_xTok_000289
Betteln	betteln	VVINF-NN	Duden	tu_109_xTok_000291
nachgegangen	nachgehen	VVPP	Duden	tu_109_xTok_000293
ist	sein	VAFIN	Duden	tu_109_xTok_000295
<g/>
.
</p>
<p id="fb_17741215_AntonR_p_0002">
Jn	in	APPR	Duden	tu_109_xTok_000297
diesem	diese	PDAT	Duden	tu_109_xTok_000299
Herumstreichen	herumstreichen	VVINF-NN	Duden	tu_109_xTok_000301
nun	nun	ADV	Duden	tu_109_xTok_000303
ist	sein	VAFIN	Duden	tu_109_xTok_000305
er	er	PPER	Duden	tu_109_xTok_000307
zu	zu	APPR	Duden	tu_109_xTok_000309
Anfang	Anfang	NN	Duden	tu_109_xTok_000311
des	d	ART	Duden	tu_109_xTok_000313
1772.	1772	CARD		tu_109_xTok_000315
Jahres	Jahr	NN	Duden	tu_109_xTok_000317
nach	nach	APPR	Duden	tu_109_xTok_000318
Steyer	Steyr	NE::top	Duden	tu_109_xTok_000320
gekommen	kommen	VVPP	Duden	tu_109_xTok_000322
<g/>
,
allwo	allwo	PWAV	Duden	tu_109_xTok_000325
er	er	PPER	Duden	tu_109_xTok_000327
bald	bald	ADV	Duden	tu_109_xTok_000329
darauf	darauf	PAV	Duden	tu_109_xTok_000331
nebst	nebst	APPR	Duden	tu_109_xTok_000333
mehreren	mehrere	PIAT	Duden	tu_109_xTok_000335
andern	andere	ADJA	Duden	tu_109_xTok_000337
Bettlern	Bettler	NN	Duden	tu_109_xTok_000339
arrestirlich	arrestierlich	ADJD	oov	tu_109_xTok_000342
eingezogen	einziehen	VVPP	DWB	tu_109_xTok_000344
<g/>
,
und	und	KON	Duden	tu_109_xTok_000347
der	d	ART	Duden	tu_109_xTok_000349
bey	bei	APPR	Duden	tu_109_xTok_000351
ihm	er	PPER	Duden	tu_109_xTok_000353
gefundenen	finden	ADJA	Duden	tu_109_xTok_000355
falschen	falsch	ADJA	Duden	tu_109_xTok_000357
Kundschaft	Kundschaft	NN	Duden	tu_109_xTok_000359
halber	halber	APPO	Duden	tu_109_xTok_000362
mit	mit	APPR	Duden	tu_109_xTok_000364
12	12	CARD		tu_109_xTok_000366
Karbatschstreichen	Karbatschenstreich	NN	DWB	tu_109_xTok_000368
gezüchtiget	züchtigen	VVPP	Duden	tu_109_xTok_000370
<g/>
,
annebens	anneben	ADV	DWB	tu_109_xTok_000373
in	in	APPR	Duden	tu_109_xTok_000375
sein	sein	PPOSAT	Duden	tu_109_xTok_000377
Geburtsort	Geburtsort	NN	Duden	tu_109_xTok_000379
abgeschoben	abschieben	VVPP	Duden	tu_109_xTok_000382
worden	werden	VAPP	Duden	tu_109_xTok_000384
<g/>
,
wessen	wer	PWAT	Duden	tu_109_xTok_000387
unerachtet	unerachtet	APPO	Duden	tu_109_xTok_000389
er	er	PPER	Duden	tu_109_xTok_000391
jedoch	jedoch	ADV	Duden	tu_109_xTok_000393
neuerdings	neuerdings	ADV	Duden	tu_109_xTok_000395
dem	d	ART	Duden	tu_109_xTok_000397
Müßiggange	Müßiggang	NN	Duden	tu_109_xTok_000398
und	und	KON	Duden	tu_109_xTok_000400
Betteln	betteln	VVINF-NN	Duden	tu_109_xTok_000402
nachgehangen	nachhängen	VVPP	Duden	tu_109_xTok_000404
<g/>
,
und	und	KON	Duden	tu_109_xTok_000407
derowegen	derowegen	ADV	DWB	tu_109_xTok_000409
zu	zu	APPR	Duden	tu_109_xTok_000411
Lilienfeld	Lilienfeld	NE::top	oov	tu_109_xTok_000413
<g/>
,
und	und	KON	Duden	tu_109_xTok_000416
Waydhofen an der Ybs	WaidhofenanderYbbs	NE::top		tu_109_xTok_000417
dreymal	dreimal	ADV	Duden	tu_109_xTok_000425
zu	zu	APPR	Duden	tu_109_xTok_000427
Verhaft	Verhaft	NN	Duden	tu_109_xTok_000429
gekommen	kommen	VVPP	Duden	tu_109_xTok_000431
ist	sein	VAFIN	Duden	tu_109_xTok_000433
<g/>
,
endlich	endlich	ADV	Duden	tu_109_xTok_000436
aber	aber	ADV	Duden	tu_109_xTok_000438
gar	gar	ADV	Duden	tu_109_xTok_000439
in	in	APPR	Duden	tu_109_xTok_000441
der	d	ART	Duden	tu_109_xTok_000443
zweyten	zweite	ADJA	Duden	tu_109_xTok_000445
Fastenwoche	Fastenwoche	NN	oov	tu_109_xTok_000447
gemeldten	melden	ADJA	Duden	tu_109_xTok_000449
Jahres	Jahr	NN	Duden	tu_109_xTok_000451
1772.	1772	CARD		tu_109_xTok_000453
außer	außer	APPR	Duden	tu_109_xTok_000455
