<doc id="fb_17800626_JohannGeorgR" delinquent_sexes="male" title="Todesurteil Johann Georg R." attrs="word lemma pos vocab id">
<head>
Jnhalt	Inhalt	NN	Duden	tu_119_xTok_000155
seines	sein	PPOSAT	Duden	tu_119_xTok_000157
Verbrechens	Verbrechen	NN	Duden	tu_119_xTok_000159
<g/>
.
</head>
<p id="fb_17800626_JohannGeorgR_p_0001">
Nachdem	nachdem	KOUS	Duden	tu_119_xTok_000161
dieser	diese	PDAT	Duden	tu_119_xTok_000164
Johann	Johann	NE	Duden	tu_119_xTok_000166
Georg	Georg	NE	Duden	tu_119_xTok_000168
R.	R.	NE	oov	tu_119_xTok_000170
in	in	APPR	Duden	tu_119_xTok_000173
seiner	sein	PPOSAT	Duden	tu_119_xTok_000175
Jugend	Jugend	NN	Duden	tu_119_xTok_000177
an	an	APPR	Duden	tu_119_xTok_000179
verschiedenen	verschieden	ADJA	Duden	tu_119_xTok_000180
Orten	Ort	NN	Duden	tu_119_xTok_000182
als	als	KOKOM	Duden	tu_119_xTok_000184
Schaaf=	Schafknecht	TRUNC	DWB	tu_119_xTok_000186
und	und	KON	Duden	tu_119_xTok_000188
Roßknecht	Rossknecht	NN	DWB	tu_119_xTok_000190
gedient	dienen	VVPP	Duden	tu_119_xTok_000192
hat	haben	VAFIN	Duden	tu_119_xTok_000193
<g/>
,
kam	kommen	VVFIN	Duden	tu_119_xTok_000196
er	er	PPER	Duden	tu_119_xTok_000198
unter	unter	APPR	Duden	tu_119_xTok_000200
die	d	ART	Duden	tu_119_xTok_000202
kaiserl.	kaiserlich	ADJA	Duden	tu_119_xTok_000204
königl.	königlich	ADJA	Duden	tu_119_xTok_000207
Militz	Miliz	NN	Duden	tu_119_xTok_000210
<g/>
,
von	von	APPR	Duden	tu_119_xTok_000213
welcher	welch	PRELS	Duden	tu_119_xTok_000215
er	er	PPER	Duden	tu_119_xTok_000217
jedoch	jedoch	ADV	Duden	tu_119_xTok_000218
nachhin	nachhin	ADV	DWB	tu_119_xTok_000220
zu	zu	APPR	Duden	tu_119_xTok_000222
drey	drei	CARD	Duden	tu_119_xTok_000224
verschiedene	verschieden	ADJA	Duden	tu_119_xTok_000226
mal	Mal	NN	Duden	tu_119_xTok_000226b
ausgerissen	ausreißen	VVPP	Duden	tu_119_xTok_000228
<g/>
,
und	und	KON	Duden	tu_119_xTok_000231
seither	seither	PAV	Duden	tu_119_xTok_000232
meistens	meistens	ADV	Duden	tu_119_xTok_000234
dem	d	ART	Duden	tu_119_xTok_000236
Stehlen	stehlen	VVINF-NN	Duden	tu_119_xTok_000238
nachgezogen	nachziehen	VVPP	Duden	tu_119_xTok_000240
ist	sein	VAFIN	Duden	tu_119_xTok_000242
<g/>
,
wie	wie	KOUS	Duden	tu_119_xTok_000245
er	er	PPER	Duden	tu_119_xTok_000247
dann	dann	ADV	Duden	tu_119_xTok_000249
bereits	bereits	ADV	Duden	tu_119_xTok_000251
im	im	APPRART	Duden	tu_119_xTok_000254
Jahre	Jahr	NN	Duden	tu_119_xTok_000256
1769	1769	CARD		tu_119_xTok_000258
bey	bei	APPR	Duden	tu_119_xTok_000260
dem	d	ART	Duden	tu_119_xTok_000262
kaiserl.	kaiserlich	ADJA	Duden	tu_119_xTok_000264
königl.	königlich	ADJA	Duden	tu_119_xTok_000267
Waldamtsgerichte	Waldamtsgericht	NN	oov	tu_119_xTok_000270
Purkerstorf	Purkersdorf	NE::top	oov	tu_119_xTok_000271
wegen	wegen	APPR	Duden	tu_119_xTok_000273
in	in	APPR	Duden	tu_119_xTok_000275
den	d	ART	Duden	tu_119_xTok_000277
sogenannten	sogenannt	ADJA	Duden	tu_119_xTok_000279
Wolfsgräben	Wolfsgräben	NN	oov	tu_119_xTok_000281
von	von	APPR	Duden	tu_119_xTok_000283
der	d	ART	Duden	tu_119_xTok_000285
Waide	Weide	NN	Duden	tu_119_xTok_000286
hinweggetriebenen	hinwegtreiben	ADJA	oov	tu_119_xTok_000288
31	31	CARD		tu_119_xTok_000290
Stücken	Stück	NN	Duden	tu_119_xTok_000292
Schaafen	Schaf	NN	Duden	tu_119_xTok_000294
<g/>
,
im	im	APPRART	Duden	tu_119_xTok_000297
beschwornen	beschwören	ADJA	Duden	tu_119_xTok_000299
Werthe	Wert	NN	Duden	tu_119_xTok_000302
pr.	per	APPR	Duden	tu_119_xTok_000304
48	48	CARD		tu_119_xTok_000307
fl.	Flore	NN	DWB	tu_119_xTok_000309
<g/>
,
unter	unter	APPR	Duden	tu_119_xTok_000313
einem	ein	ART	Duden	tu_119_xTok_000315
sich	sich	PRF	Duden	tu_119_xTok_000317
beygelegten	beilegen	ADJA	Duden	tu_119_xTok_000319
falschen	falsch	ADJA	Duden	tu_119_xTok_000321
Namen	Name	NN	Duden	tu_119_xTok_000322
<g/>
,
zum	zum	APPRART	Duden	tu_119_xTok_000325
ersten	erste	ADJA	Duden	tu_119_xTok_000327
mal	Mal	NN	Duden	tu_119_xTok_000327b
gefänglich	gefänglich	ADJD	Duden	tu_119_xTok_000329
eingezogen	einziehen	VVPP	DWB	tu_119_xTok_000331
<g/>
,
und	und	KON	Duden	tu_119_xTok_000334
hierüber	hierüber	PAV	Duden	tu_119_xTok_000336
zur	zur	APPRART	Duden	tu_119_xTok_000337
öffentlichen	öffentlich	ADJA	Duden	tu_119_xTok_000339
Herrschaftsarbeit	Herrschaftsarbeit	NN	DRW	tu_119_xTok_000341
in	in	APPR	Duden	tu_119_xTok_000343
Band	Band	NN	Duden	tu_119_xTok_000345
und	und	KON	Duden	tu_119_xTok_000347
Eisen	Eisen	NN	Duden	tu_119_xTok_000349
auf	auf	APPR	Duden	tu_119_xTok_000351
ein	ein	ART	Duden	tu_119_xTok_000353
Jahr	Jahr	NN	Duden	tu_119_xTok_000354
lang	lang	ADJD	Duden	tu_119_xTok_000356
verurtheilt	verurteilen	VVPP	Duden	tu_119_xTok_000358
worden	werden	VAPP	Duden	tu_119_xTok_000360
ist	sein	VAFIN	Duden	tu_119_xTok_000362
<g/>
.
</p>
<p id="fb_17800626_JohannGeorgR_p_0002">
Nach	nach	APPR	Duden	tu_119_xTok_000364
dieser	diese	PDAT	Duden	tu_119_xTok_000366
ausgestandenen	ausstehen	ADJA	Duden	tu_119_xTok_000368
Strafe	Strafe	NN	Duden	tu_119_xTok_000370
wurde	werden	VAFIN	Duden	tu_119_xTok_000372
er	er	PPER	Duden	tu_119_xTok_000374
Johann	Johann	NE	Duden	tu_119_xTok_000376
Georg	Georg	NE	Duden	tu_119_xTok_000377
R.	R.	NE	oov	tu_119_xTok_000379
im	im	APPRART	Duden	tu_119_xTok_000382
Jahre	Jahr	NN	Duden	tu_119_xTok_000384
1771	1771	CARD		tu_119_xTok_000386
allhier	allhier	ADV	Duden	tu_119_xTok_000388
in	in	APPR	Duden	tu_119_xTok_000390
Wien	Wien	NE::top	Duden	tu_119_xTok_000392
wegen	wegen	APPR	Duden	tu_119_xTok_000394
Unternehmung	Unternehmung	NN	Duden	tu_119_xTok_000396
8	8	CARD		tu_119_xTok_000399
anderweitiger	anderweitig	ADJA	Duden	tu_119_xTok_000401
auf	auf	APPR	Duden	tu_119_xTok_000403
63	63	CARD		tu_119_xTok_000405
fl.	Flore	NN	DWB	tu_119_xTok_000407
59	59	CARD		tu_119_xTok_000410
kr.	Kreuzer	NN	Duden	tu_119_xTok_000412
sich	sich	PRF	Duden	tu_119_xTok_000415
beloffener	belaufen	ADJD	Duden	tu_119_xTok_000417
<g/>
,
jedoch	jedoch	KON	Duden	tu_119_xTok_000420
theils	teils	ADV	Duden	tu_119_xTok_000421
durch	durch	APPR	Duden	tu_119_xTok_000423
Zuruckstellung	Zurückstellung	NN	Duden	tu_119_xTok_000425
einiger	einige	PIAT	Duden	tu_119_xTok_000427
entwendeten	entwenden	ADJA	Duden	tu_119_xTok_000429
Sachen	Sache	NN	Duden	tu_119_xTok_000431
<g/>
,
theils	teils	ADV	Duden	tu_119_xTok_000434
durch	durch	APPR	Duden	tu_119_xTok_000435
geschehene	geschehen	ADJA	Duden	tu_119_xTok_000437
Schadensnachsichten	Schadensnachsicht	NN	oov	tu_119_xTok_000439
bis	bis	APPR	Duden	tu_119_xTok_000441
auf	auf	APPR	Duden	tu_119_xTok_000443
9	9	CARD		tu_119_xTok_000445
fl.	Flore	NN	DWB	tu_119_xTok_000447
59	59	CARD		tu_119_xTok_000450
kr.	Kreuzer	NN	Duden	tu_119_xTok_000452
herabgesetzter	herabsetzen	ADJA	Duden	tu_119_xTok_000455
Diebstähle	Diebstahl	NN	Duden	tu_119_xTok_000458
zum	zum	APPRART	Duden	tu_119_xTok_000460
zweyten	zweite	ADJA	Duden	tu_119_xTok_000462
male	Mal	NN	Duden	tu_119_xTok_000462b
zu	zu	APPR	Duden	tu_119_xTok_000464
Verhaft	Verhaft	NN	Duden	tu_119_xTok_000466
gebracht	bringen	VVPP	Duden	tu_119_xTok_000468
<g/>
,
und	und	KON	Duden	tu_119_xTok_000470
sohin	sohin	ADV	Duden	tu_119_xTok_000472
<g/>
,
weil	weil	KOUS	Duden	tu_119_xTok_000475
er	er	PPER	Duden	tu_119_xTok_000477
eben	eben	ADV	Duden	tu_119_xTok_000479
wiederum	wiederum	ADV	Duden	tu_119_xTok_000481
einen	ein	ART	Duden	tu_119_xTok_000483
falschen	falsch	ADJA	Duden	tu_119_xTok_000485
Namen	Name	NN	Duden	tu_119_xTok_000487
und	und	KON	Duden	tu_119_xTok_000489
Geburtsort	Geburtsort	NN	Duden	tu_119_xTok_000490
angegeben	angeben	VVPP	Duden	tu_119_xTok_000492
<g/>
,
bis	bis	KON	Duden	tu_119_xTok_000495
zu	zu	APPR	Duden	tu_119_xTok_000497
den	d	ART	Duden	tu_119_xTok_000499
im	im	APPRART	Duden	tu_119_xTok_000501
Sommer	Sommer	NN	Duden	tu_119_xTok_000503
des	d	ART	Duden	tu_119_xTok_000505
darauf	darauf	PAV	Duden	tu_119_xTok_000507
gefolgten	folgen	ADJA	Duden	tu_119_xTok_000509
1772sten	1772	ADJA		tu_119_xTok_000512
Jahres	Jahr	NN	Duden	tu_119_xTok_000515
abgegangenen	abgehen	ADJA	Duden	tu_119_xTok_000517
hungarischen	ungarisch	ADJA	Duden	tu_119_xTok_000519
Hauptschub	Hauptschub	NN	DRW	tu_119_xTok_000521
in	in	APPR	Duden	tu_119_xTok_000524
das	d	ART	Duden	tu_119_xTok_000526
allhiesige	allhiesig	ADJA	DWB	tu_119_xTok_000528
Zucht=	Zuchthaus	TRUNC	Duden	tu_119_xTok_000530
und	und	KON	Duden	tu_119_xTok_000532
Arbeitshaus	Arbeitshaus	NN	Duden	tu_119_xTok_000534
verschaffet	verschaffen	VVPP	Duden	tu_119_xTok_000536
<g/>
,
allwo	allwo	PWAV	Duden	tu_119_xTok_000538
er	er	PPER	Duden	tu_119_xTok_000540
jedoch	jedoch	ADV	Duden	tu_119_xTok_000542
nach	nach	APPR	Duden	tu_119_xTok_000544
zwey	zwei	CARD	Duden	tu_119_xTok_000546
Monaten	Monat	NN	Duden	tu_119_xTok_000548
entwichen	entweichen	VVPP	Duden	tu_119_xTok_000550
<g/>
,
bald	bald	ADV	Duden	tu_119_xTok_000553
darnach	darnach	PAV	Duden	tu_119_xTok_000555
