<doc id="fb_17850228_Hora_Kloczka" delinquent_sexes="male" title="Todesurteil Hora, Kloczka" attrs="word lemma pos vocab id">
<p id="fb_17850228_Hora_Kloczka_p_0001">
Ewig	ewig	ADJD	Duden	tu_127_xTok_000065
verabscheuende	verabscheuen	ADJA	Duden	tu_127_xTok_000068
Handlung	Handlung	NN	Duden	tu_127_xTok_000070
<g/>
,
wenn	wenn	KOUS	Duden	tu_127_xTok_000073
ein	ein	ART	Duden	tu_127_xTok_000075
Unterthan	Untertan	NN	Duden	tu_127_xTok_000077
<g/>
,
dem	d	ART	Duden	tu_127_xTok_000079
Gesezze	Gesetz	NN	Duden	tu_127_xTok_000081
<g/>
,
und	und	KON	Duden	tu_127_xTok_000086
richterliche	richterlich	ADJA	Duden	tu_127_xTok_000088
Aufsicht	Aufsicht	NN	Duden	tu_127_xTok_000090
zum	zum	APPRART	Duden	tu_127_xTok_000092
Grunde	Grund	NN	Duden	tu_127_xTok_000094
seines	sein	PPOSAT	Duden	tu_127_xTok_000096
eigenen	eigen	ADJA	Duden	tu_127_xTok_000099
Wohls	Wohl	NN	Duden	tu_127_xTok_000101
gegeben	geben	VVPP	Duden	tu_127_xTok_000103
sind	sein	VAFIN	Duden	tu_127_xTok_000105
<g/>
,
die	d	ART	Duden	tu_127_xTok_000108
pünktliche	pünktlich	ADJA	Duden	tu_127_xTok_000110
Ausübung	Ausübung	NN	Duden	tu_127_xTok_000112
verachtet	verachten	VVFIN	Duden	tu_127_xTok_000115
<g/>
,
denenselben	derselbe	PDS	Duden	tu_127_xTok_000118
mit	mit	APPR	Duden	tu_127_xTok_000120
einem	ein	ART	Duden	tu_127_xTok_000122
obwohl	obwohl	KOUS	Duden	tu_127_xTok_000124
allzeit	allzeit	ADV	Duden	tu_127_xTok_000126
Verderben	Verderben	NN	Duden	tu_127_xTok_000127
bringenden	bringen	ADJA	Duden	tu_127_xTok_000129
Unsinne	Unsinn	NN	Duden	tu_127_xTok_000131
widerstrebet	widerstreben	VVFIN	Duden	tu_127_xTok_000133
<g/>
,
und	und	KON	Duden	tu_127_xTok_000136
so	so	ADV	Duden	tu_127_xTok_000138
von	von	APPR	Duden	tu_127_xTok_000139
dem	d	ART	Duden	tu_127_xTok_000141
Taumel	Taumel	NN	Duden	tu_127_xTok_000143
der	d	ART	Duden	tu_127_xTok_000145
Unabhängigkeit	Unabhängigkeit	NN	Duden	tu_127_xTok_000147
blind	blind	ADJD	Duden	tu_127_xTok_000149
dahin	dahin	PAV	Duden	tu_127_xTok_000151
gerissen	reißen	VVPP	Duden	tu_127_xTok_000153
sich	sich	PRF	Duden	tu_127_xTok_000156
in	in	APPR	Duden	tu_127_xTok_000158
die	d	ART	Duden	tu_127_xTok_000160
sträflichsten	sträflich	ADJA	Duden	tu_127_xTok_000162
Ausschweiffungen	Ausschweifung	NN	Duden	tu_127_xTok_000164
stürzet	stürzen	VVFIN	Duden	tu_127_xTok_000166
<g/>
,
durch	durch	APPR	Duden	tu_127_xTok_000170
welche	welch	PRELS	Duden	tu_127_xTok_000172
er	er	PPER	Duden	tu_127_xTok_000174
nicht	nicht	PTKNEG	Duden	tu_127_xTok_000176
allein	allein	ADV	Duden	tu_127_xTok_000178
seinem	sein	PPOSAT	Duden	tu_127_xTok_000180
<g/>
,
und	und	KON	Duden	tu_127_xTok_000183
seiner	sein	PPOSAT	Duden	tu_127_xTok_000185
Anhänger	Anhänger	NN	Duden	tu_127_xTok_000187
Leben	Leben	NN	Duden	tu_127_xTok_000190
ein	ein	ART	Duden	tu_127_xTok_000192
schauderndes	schaudern	ADJA	Duden	tu_127_xTok_000194
Ende	Ende	NN	Duden	tu_127_xTok_000196
zuziehet	zuziehen	VVFIN	Duden	tu_127_xTok_000198
<g/>
,
sondern	sondern	KON	Duden	tu_127_xTok_000201
auch	auch	ADV	Duden	tu_127_xTok_000202
seine	sein	PPOSAT	Duden	tu_127_xTok_000204
Nebenmenschen	Nebenmensch	NN	Duden	tu_127_xTok_000206
mit	mit	APPR	Duden	tu_127_xTok_000208
gewiß	gewiss	ADJD	Duden	tu_127_xTok_000210
nie	nie	ADV	Duden	tu_127_xTok_000212
ersezlichem	ersetzlich	ADJA	DWB	tu_127_xTok_000214
Schaden	Schaden	NN	Duden	tu_127_xTok_000215
kränket	kränken	VVFIN	Duden	tu_127_xTok_000217
<g/>
.
Die	d	ART	Duden	tu_127_xTok_000220
Geschichte	Geschichte	NN	Duden	tu_127_xTok_000222
der	d	ART	Duden	tu_127_xTok_000224
zween	zwei	CARD	Duden	tu_127_xTok_000226
Hauptanführer	Hauptanführer	NN	oov	tu_127_xTok_000228
der	d	ART	Duden	tu_127_xTok_000230
siebenbürgischen	siebenbürgisch	ADJA	Duden	tu_127_xTok_000231
Rebellen	Rebell	NN	Duden	tu_127_xTok_000233
lassen	lassen	VVFIN	Duden	tu_127_xTok_000235
jedem	jede	PIAT	Duden	tu_127_xTok_000237
Unterthann	Untertan	NN	Duden	tu_127_xTok_000239
ein	ein	ART	Duden	tu_127_xTok_000241
wahrnendes	warnend	ADJA	Duden	tu_127_xTok_000242
Beyspiel	Beispiel	NN	Duden	tu_127_xTok_000244
übrig	übrig	ADJD	Duden	tu_127_xTok_000246
<g/>
,
wie	wie	KOUS	Duden	tu_127_xTok_000249
an	an	APPR	Duden	tu_127_xTok_000251
sich	sich	PRF	Duden	tu_127_xTok_000253
dem	d	ART	Duden	tu_127_xTok_000255
oberherrlichen	oberherrlich	ADJA	DWB	tu_127_xTok_000257
Arm	Arm	NN	Duden	tu_127_xTok_000260
der	d	ART	Duden	tu_127_xTok_000262
Gerechtigkeit	Gerechtigkeit	NN	Duden	tu_127_xTok_000264
strafbar	strafbar	ADJD	Duden	tu_127_xTok_000266
unterziehe	unterziehen	VVFIN	Duden	tu_127_xTok_000268
<g/>
,
wenn	wenn	KOUS	Duden	tu_127_xTok_000270
durch	durch	APPR	Duden	tu_127_xTok_000272
unüberlegte	unüberlegt	ADJA	Duden	tu_127_xTok_000274
Verachtung	Verachtung	NN	Duden	tu_127_xTok_000276
der	d	ART	Duden	tu_127_xTok_000278
Gesezze	Gesetz	NN	Duden	tu_127_xTok_000280
<g/>
,
Unruhe	Unruhe	NN	Duden	tu_127_xTok_000283
in	in	APPR	Duden	tu_127_xTok_000286
dem	d	ART	Duden	tu_127_xTok_000288
Vatterlande	Vaterland	NN	Duden	tu_127_xTok_000290
angezettelt	anzetteln	VVPP	Duden	tu_127_xTok_000292
werden	werden	VAINF	Duden	tu_127_xTok_000294
will	wollen	VMFIN	Duden	tu_127_xTok_000296
<g/>
.
</p>
<p id="fb_17850228_Hora_Kloczka_p_0002">
Hora	Hora	NE	oov	tu_127_xTok_000298
und	und	KON	Duden	tu_127_xTok_000300
Kloczka	Kloczka	NE	oov	tu_127_xTok_000302
suchten	suchen	VVFIN	Duden	tu_127_xTok_000304
<g/>
,
wie	wie	KOUS	Duden	tu_127_xTok_000307
schon	schon	ADV	Duden	tu_127_xTok_000309
aus	aus	APPR	Duden	tu_127_xTok_000311
öffentlichen	öffentlich	ADJA	Duden	tu_127_xTok_000313
Blättern	Blatt	NN	Duden	tu_127_xTok_000316
zu	zu	APPR	Duden	tu_127_xTok_000318
jedes	jede	PIAT	Duden	tu_127_xTok_000320
Patrioten	Patriot	NN	Duden	tu_127_xTok_000322
Mißvergnügen	Missvergnügen	NN	Duden	tu_127_xTok_000324
zu	zu	PTKZU	Duden	tu_127_xTok_000326
entnehmen	entnehmen	VVINF	Duden	tu_127_xTok_000327
ware	sein	VAFIN	Duden	tu_127_xTok_000329
<g/>
,
sich	sich	PRF	Duden	tu_127_xTok_000332
denen	d	ART	Duden	tu_127_xTok_000334
weisesten	weise	ADJA	Duden	tu_127_xTok_000336
Anordnungen	Anordnung	NN	Duden	tu_127_xTok_000338
zum	zum	APPRART	Duden	tu_127_xTok_000339
Wohl	Wohl	NN	Duden	tu_127_xTok_000341
des	d	ART	Duden	tu_127_xTok_000343
Unterthanes	Untertan	NN	Duden	tu_127_xTok_000345
entworfen	entwerfen	VVPP	Duden	tu_127_xTok_000347
<g/>
,
als	als	KOKOM	Duden	tu_127_xTok_000350
zween	zwei	CARD	Duden	tu_127_xTok_000352
Haupt=Anführer	Hauptanführer	NN	oov	tu_127_xTok_000353
in	in	APPR	Duden	tu_127_xTok_000355
dem	d	ART	Duden	tu_127_xTok_000357
Grosfürstenthume	Großfürstentum	NN	DRW	tu_127_xTok_000359
Siebenbürgen	Siebenbürgen	NE::top	Duden	tu_127_xTok_000361
