<doc id="fb_17860109_Anonym" delinquent_sexes="male" title="Urteil eines anonymen Korporals" attrs="word lemma pos vocab id">
<p id="fb_17860109_Anonym_p_0001">
Da	da	KOUS	Duden	tu_130_xTok_000061
dem	d	ART	Duden	tu_130_xTok_000064
Publikum	Publikum	NN	Duden	tu_130_xTok_000066
dieses	diese	PDAT	Duden	tu_130_xTok_000068
abscheuliche	abscheulich	ADJA	Duden	tu_130_xTok_000070
Verbrechen	Verbrechen	NN	Duden	tu_130_xTok_000072
noch	noch	ADV	Duden	tu_130_xTok_000074
im	im	APPRART	Duden	tu_130_xTok_000076
frischen	frisch	ADJA	Duden	tu_130_xTok_000077
Angedenken	Angedenken	NN	Duden	tu_130_xTok_000079
<g/>
,
und	und	KON	Duden	tu_130_xTok_000082
bey	bei	APPR	Duden	tu_130_xTok_000084
vielen	viel	PIS	Duden	tu_130_xTok_000086
die	d	ART	Duden	tu_130_xTok_000088
Beschreibung	Beschreibung	NN	Duden	tu_130_xTok_000090
hievon	hievon	PAV	Duden	tu_130_xTok_000092
in	in	APPR	Duden	tu_130_xTok_000095
Händen	Hand	NN	Duden	tu_130_xTok_000097
ist	sein	VAFIN	Duden	tu_130_xTok_000099
<g/>
,
so	so	ADV	Duden	tu_130_xTok_000102
hält	halten	VVFIN	Duden	tu_130_xTok_000104
man	man	PIS	Duden	tu_130_xTok_000106
vor	vor	APPR	Duden	tu_130_xTok_000108
überflüßig	überflüssig	ADJD	Duden	tu_130_xTok_000110
<g/>
,
dieselbe	dieselbe	PDS	Duden	tu_130_xTok_000113
noch	noch	ADV	Duden	tu_130_xTok_000115
einmal	einmal	ADV	Duden	tu_130_xTok_000115b
Wort	Wort	NN	Duden	tu_130_xTok_000118
für	für	APPR	Duden	tu_130_xTok_000120
Wort	Wort	NN	Duden	tu_130_xTok_000122
hierher	hierher	PAV	Duden	tu_130_xTok_000124
zu	zu	PTKZU	Duden	tu_130_xTok_000126
setzen	hierhersetzen	VVINF	Duden	tu_130_xTok_000128
<g/>
;
damit	damit	KOUS	Duden	tu_130_xTok_000131
aber	aber	ADV	Duden	tu_130_xTok_000133
doch	doch	ADV	Duden	tu_130_xTok_000135
denenjenigen	derjenige	PDS	Duden	tu_130_xTok_000137
<g/>
,
welche	welch	PRELS	Duden	tu_130_xTok_000141
diese	diese	PDS	Duden	tu_130_xTok_000143
<g/>
,
<g/>
(
nämlich	nämlich	ADV	Duden	tu_130_xTok_000147
die	d	ART	Duden	tu_130_xTok_000149
Beschreibung	Beschreibung	NN	Duden	tu_130_xTok_000151
<g/>
)
nicht	nicht	PTKNEG	Duden	tu_130_xTok_000154
in	in	APPR	Duden	tu_130_xTok_000156
Händen	Hand	NN	Duden	tu_130_xTok_000158
haben	haben	VAFIN	Duden	tu_130_xTok_000159
<g/>
,
oder	oder	KON	Duden	tu_130_xTok_000162
die	d	ART	Duden	tu_130_xTok_000164
Begebenheit	Begebenheit	NN	Duden	tu_130_xTok_000166
davon	davon	PAV	Duden	tu_130_xTok_000168
entfallen	entfallen	VVPP	Duden	tu_130_xTok_000170
<g/>
,
und	und	KON	Duden	tu_130_xTok_000173
besonders	besonders	ADV	Duden	tu_130_xTok_000175
dem	d	ART	Duden	tu_130_xTok_000177
Landvolke	Landvolk	NN	Duden	tu_130_xTok_000178
<g/>
,
welche	welch	PRELS	Duden	tu_130_xTok_000181
doch	doch	ADV	Duden	tu_130_xTok_000183
