<doc id="fb_17350720_CasparB" delinquent_sexes="male" title="Todesurteil Caspar B." attrs="word lemma pos vocab id">
<p id="fb_17350720_CasparB_p_0001">
Heut	heute	ADV	Duden	tu_6_xTok_000204
dato	dato	ADV	Duden	tu_6_xTok_000207
den	d	ART	Duden	tu_6_xTok_000209
20ten	20	ADJA		tu_6_xTok_000211
Julij	Juli	NN	Duden	tu_6_xTok_000214
1735.	1735	CARD		tu_6_xTok_000217
wird	werden	VAFIN	Duden	tu_6_xTok_000220
eine	ein	ART	Duden	tu_6_xTok_000222
verheyrathete	verheiratet	ADJA	Duden	tu_6_xTok_000223
Manns=Persohn	Mannsperson	NN	Duden	tu_6_xTok_000225
<g/>
/
Nahmens	namens	ADV	Duden	tu_6_xTok_000229
Caspar	Caspar	NE	oov	tu_6_xTok_000231
B.	B.	NE	oov	tu_6_xTok_000232
Catholischer	katholisch	ADJA	Duden	tu_6_xTok_000235
Religion	Religion	NN	Duden	tu_6_xTok_000237
<g/>
,
und	und	KON	Duden	tu_6_xTok_000240
40.	40	CARD		tu_6_xTok_000244
Jahr	Jahr	NN	Duden	tu_6_xTok_000246
alt	alt	ADJD	Duden	tu_6_xTok_000248
<g/>
/
umb	um	APPR	Duden	tu_6_xTok_000252
derentwillen	derentwillen	ADV	Duden	tu_6_xTok_000253
vom	vom	APPRART	Duden	tu_6_xTok_000255
Leben	Leben	NN	Duden	tu_6_xTok_000257
zum	zum	APPRART	Duden	tu_6_xTok_000259
Todt	Tod	NN	Duden	tu_6_xTok_000261
hingerichtet	hinrichten	VVPP	Duden	tu_6_xTok_000263
werden	werden	VAINF	Duden	tu_6_xTok_000265
<g/>
/
alldieweilen	alldieweil	KOUS	Duden	tu_6_xTok_000268
derselbe	derselbe	PDS	Duden	tu_6_xTok_000270
<g/>
:
</p>
<p id="fb_17350720_CasparB_p_0002">
ERstlichen	erstlich	ADV	Duden	tu_6_xTok_000272
Anno	annus	FM	G-LDHW	tu_6_xTok_000275
1723.	1723	CARD		tu_6_xTok_000277
den	d	ART	Duden	tu_6_xTok_000279
7.	7	ADJA		tu_6_xTok_000281
April	April	NN	Duden	tu_6_xTok_000284
in	in	APPR	Duden	tu_6_xTok_000286
der	d	ART	Duden	tu_6_xTok_000288
Grafschafft	Grafschaft	NN	Duden	tu_6_xTok_000290
Glatz	Glatz	NE::top	oov	tu_6_xTok_000293
zu	zu	APPR	Duden	tu_6_xTok_000295
Winckeldorff	Winkeldorf	NE::top	oov	tu_6_xTok_000297
einen	ein	ART	Duden	tu_6_xTok_000299
sogenannten	sogenannt	ADJA	Duden	tu_6_xTok_000301
Garn=Mann	Garnmann	NN	oov	tu_6_xTok_000302
<g/>
/
mittels	mittels	APPR	Duden	tu_6_xTok_000306
vorsetzlich=	vorsätzlich	ADJA	Duden	tu_6_xTok_000308
gewaltthätiger	gewalttätig	ADJA	Duden	tu_6_xTok_000308b
Einbrechung	Einbrechung	NN	DRW	tu_6_xTok_000310
100.	100	CARD		tu_6_xTok_000313
Gulden	Gulden	NN	Duden	tu_6_xTok_000315
paares	bar	ADJA	Duden	tu_6_xTok_000317
Geld	Geld	NN	Duden	tu_6_xTok_000319
<g/>
/
wie	wie	KOKOM	Duden	tu_6_xTok_000323
auch	auch	ADV	Duden	tu_6_xTok_000325
verschiedenes	verschieden	ADJA	Duden	tu_6_xTok_000327
Garn	Garn	NN	Duden	tu_6_xTok_000330
<g/>
/
Leinen=Gewand	Leinengewand	NN	oov	tu_6_xTok_000334
<g/>
/
und	und	KON	Duden	tu_6_xTok_000338
andere	andere	ADJA	Duden	tu_6_xTok_000340
Kleyder=Effecten	Kleidereffekten	NN	oov	tu_6_xTok_000342
entfrembdet	entfremden	VVPP	Duden	tu_6_xTok_000347
<g/>
.
Dann	dann	ADV	Duden	tu_6_xTok_000350
mehrmahlen	mehrmalen	ADV	DWB	tu_6_xTok_000352
nachdeme	nachdem	KOUS	Duden	tu_6_xTok_000354
er	er	PPER	Duden	tu_6_xTok_000357
Caspar	Caspar	NE	oov	tu_6_xTok_000359
B.	B.	NE	oov	tu_6_xTok_000361
hierüber	hierüber	PAV	Duden	tu_6_xTok_000364
Anno	annus	FM	G-LDHW	tu_6_xTok_000366
1724.	1724	CARD		tu_6_xTok_000368
den	d	ART	Duden	tu_6_xTok_000370
8ten	8	ADJA		tu_6_xTok_000372
Decembris	Dezember	NN	Duden	tu_6_xTok_000375
aus	aus	APPR	Duden	tu_6_xTok_000377
seinem	sein	PPOSAT	Duden	tu_6_xTok_000379
damahligen	damalig	ADJA	Duden	tu_6_xTok_000381
Arrest	Arrest	NN	Duden	tu_6_xTok_000383
zu	zu	APPR	Duden	tu_6_xTok_000385
Reyß	Reyß	NE::top	oov	tu_6_xTok_000387
<g/>
/
nebst	nebst	APPR	Duden	tu_6_xTok_000390
mehr	mehr	PIAT	Duden	tu_6_xTok_000392
anderen	andere	ADJA	Duden	tu_6_xTok_000394
Diebs=	Diebskamerad	TRUNC	oov	tu_6_xTok_000396
und	und	KON	Duden	tu_6_xTok_000398
Raubs=Cameraden	Raubkamerad	NN	oov	tu_6_xTok_000400
gewaltthätig	gewalttätig	ADJD	Duden	tu_6_xTok_000401
durchgegange̅	durchgehen	VVPP	Duden	tu_6_xTok_000403
<g/>
/
er	er	PPER	Duden	tu_6_xTok_000407
Delinquent	Delinquent	NN	Duden	tu_6_xTok_000409
gleich	gleich	ADV	Duden	tu_6_xTok_000411
darauf	darauf	PAV	Duden	tu_6_xTok_000413
den	d	ART	Duden	tu_6_xTok_000416
18.	18	ADJA		tu_6_xTok_000418
April	April	NN	Duden	tu_6_xTok_000421
1725.	1725	CARD		tu_6_xTok_000423
in	in	APPR	Duden	tu_6_xTok_000426
vorgesagter	vorsagen	ADJA	Duden	tu_6_xTok_000428
Grafschafft	Grafschaft	NN	Duden	tu_6_xTok_000430
zu	zu	APPR	Duden	tu_6_xTok_000432
Eysenstorff	Eisendorf	NE::top	oov	tu_6_xTok_000433
eine	ein	ART	Duden	tu_6_xTok_000435
Kirchen	Kirche	NN	Duden	tu_6_xTok_000437
beraubet	berauben	VVPP	Duden	tu_6_xTok_000439
<g/>
.
Und	und	KON	Duden	tu_6_xTok_000442
darauf	darauf	PAV	Duden	tu_6_xTok_000444
</p>
<p id="fb_17350720_CasparB_p_0003">
Jn	in	APPR	Duden	tu_6_xTok_000445
eben	eben	ADV	Duden	tu_6_xTok_000447
solchem	solch	PIAT	Duden	tu_6_xTok_000449
Jahr	Jahr	NN	Duden	tu_6_xTok_000451
zu	zu	APPR	Duden	tu_6_xTok_000453
Schina	Schina	NE::top	oov	tu_6_xTok_000455
oder	oder	KON	Duden	tu_6_xTok_000457
Schönau	Schönau	NE::top	oov	tu_6_xTok_000459
<g/>
/
im	im	APPRART	Duden	tu_6_xTok_000462
Kuheländl	Kuhland	NE::top	DWB	tu_6_xTok_000464
einem	ein	ART	Duden	tu_6_xTok_000466
alldasigen	alldasig	ADJA	oov	tu_6_xTok_000468
Schaffer	Schaffer	NN	Duden	tu_6_xTok_000470
nebst	nebst	APPR	Duden	tu_6_xTok_000472
verschiedenen	verschieden	ADJA	Duden	tu_6_xTok_000474
Kleyder=Effecten	Kleidereffekten	NN	oov	tu_6_xTok_000477
auch	auch	ADV	Duden	tu_6_xTok_000480
paarem	bar	ADJA	Duden	tu_6_xTok_000482
Geld	Geld	NN	Duden	tu_6_xTok_000484
206.	206	CARD		tu_6_xTok_000486
Gulden	Gulden	NN	Duden	tu_6_xTok_000488
30.	30	CARD		tu_6_xTok_000490
Kreutzer	Kreuzer	NN	Duden	tu_6_xTok_000493
abgestohlen	abstehlen	VVPP	Duden	tu_6_xTok_000495
<g/>
.
Ferners	ferner	ADV	Duden	tu_6_xTok_000498
<g/>
:
</p>
<p id="fb_17350720_CasparB_p_0004">
Den	d	ART	Duden	tu_6_xTok_000500
24.	24	ADJA		tu_6_xTok_000502
Jenner	Jänner	NN	Duden	tu_6_xTok_000504
des	d	ART	Duden	tu_6_xTok_000506
1726ten	1726	ADJA		tu_6_xTok_000508
Jahrs	Jahr	NN	Duden	tu_6_xTok_000511
hat	haben	VAFIN	Duden	tu_6_xTok_000513
er	er	PPER	Duden	tu_6_xTok_000515
Delinquent	Delinquent	NN	Duden	tu_6_xTok_000517
zu	zu	APPR	Duden	tu_6_xTok_000520
Breßlau	Breslau	NE::top	Duden	tu_6_xTok_000522
vor	vor	APPR	Duden	tu_6_xTok_000524
dem	d	ART	Duden	tu_6_xTok_000526
Sandthor	Sandtor	NN	oov	tu_6_xTok_000528
eine	ein	ART	Duden	tu_6_xTok_000530
Kram̅ersHütten	Krämerhütte	NN	oov	tu_6_xTok_000532
außgeraubet	ausrauben	VVPP	Duden	tu_6_xTok_000535
<g/>
.
Wie	wie	KON	Duden	tu_6_xTok_000538
nicht	nicht	PTKNEG	Duden	tu_6_xTok_000540
weniger	wenig	ADV	Duden	tu_6_xTok_000542
</p>
<p id="fb_17350720_CasparB_p_0005">
Den	d	ART	Duden	tu_6_xTok_000543
30ten	30	ADJA		tu_6_xTok_000545
besagten	besagt	ADJA	Duden	tu_6_xTok_000548
Monaths	Monat	NN	Duden	tu_6_xTok_000550
und	und	KON	Duden	tu_6_xTok_000552
Jahrs	Jahr	NN	Duden	tu_6_xTok_000554
in	in	APPR	Duden	tu_6_xTok_000556
dem	d	ART	Duden	tu_6_xTok_000558
Fürstenthumb	Fürstentum	NN	Duden	tu_6_xTok_000559
Lignitz	Lignitz	NE::top	oov	tu_6_xTok_000561
zu	zu	APPR	Duden	tu_6_xTok_000563
Hochkirchen	Hochkirchen	NE::top	oov	tu_6_xTok_000565
im	im	APPRART	Duden	tu_6_xTok_000567
Schul=Hauß	Schulhaus	NN	Duden	tu_6_xTok_000569
den	d	ART	Duden	tu_6_xTok_000570
alldasigen	alldasig	ADJA	oov	tu_6_xTok_000572
Organisten	Organist	NN	Duden	tu_6_xTok_000574
nicht	nicht	PTKNEG	Duden	tu_6_xTok_000577
allein	allein	ADV	Duden	tu_6_xTok_000579
an	an	APPR	Duden	tu_6_xTok_000581
Geld=	Geldmünze	TRUNC	oov	tu_6_xTok_000583
und	und	KON	Duden	tu_6_xTok_000585
Silber=Müntzen	Silbermünze	NN	Duden	tu_6_xTok_000587
<g/>
/
tabachiren	Tabakiere	NN	oov	tu_6_xTok_000591
<g/>
/
silberne	silbern	ADJA	Duden	tu_6_xTok_000596
Uhren	Uhr	NN	Duden	tu_6_xTok_000598
<g/>
/
Per len len	Perle	NN	Duden	tu_6_xTok_000602
<g/>
/
Ringen	Ring	NN	Duden	tu_6_xTok_000607
<g/>
/
und	und	KON	Duden	tu_6_xTok_000611
Zeug	Zeug	NN	Duden	tu_6_xTok_000615
ein	ein	ART	Duden	tu_6_xTok_000617
namhafftes	namhaft	ADJ-NN	Duden	tu_6_xTok_000619
beraubet	berauben	VVPP	Duden	tu_6_xTok_000621
<g/>
/
sondern	sondern	KON	Duden	tu_6_xTok_000626
auch	auch	ADV	Duden	tu_6_xTok_000628
sogar	sogar	ADV	Duden	tu_6_xTok_000630
dessen	d	PDAT	Duden	tu_6_xTok_000632
Ehe=Consortin	Ehekonsortin	NN	oov	tu_6_xTok_000634
gleich	gleich	ADV	Duden	tu_6_xTok_000637
an	an	APPR	Duden	tu_6_xTok_000638
der	d	ART	Duden	tu_6_xTok_000640
Stelle	Stelle	NN	Duden	tu_6_xTok_000642
jäm̅erlich	jämmerlich	ADJD	Duden	tu_6_xTok_000644
ermordet	ermorden	VVPP	Duden	tu_6_xTok_000646
<g/>
.
Uber	über	APPR	Duden	tu_6_xTok_000649
dieses	diese	PDS	Duden	tu_6_xTok_000651
aber	aber	ADV	Duden	tu_6_xTok_000653
</p>
<p id="fb_17350720_CasparB_p_0006">
Den	d	ART	Duden	tu_6_xTok_000654
9ten	9	ADJA		tu_6_xTok_000656
Junij	Juni	NN	Duden	tu_6_xTok_000659
des	d	ART	Duden	tu_6_xTok_000661
1726.	1726	ADJA		tu_6_xTok_000663
Jahrs	Jahr	NN	Duden	tu_6_xTok_000666
am	am	APPRART	Duden	tu_6_xTok_000668
