<doc id="fb_17420605_CarlJosephHillebra" delinquent_sexes="male" title="Todesurteil Carl Joseph Hillebrand" attrs="word lemma pos vocab id">
<head>
End=Urtheil	Endurteil	NN	Duden	tu_19_xTok_000273
<g/>
.
</head>
<p id="fb_17420605_CarlJosephHillebra_p_0001">
GEgenwärtig	gegenwärtig	ADJD	Duden	tu_19_xTok_000278
vor=	vorführen	TRUNC	Duden	tu_19_xTok_000281
und	und	KON	Duden	tu_19_xTok_000283
aufgeführte	aufführen	ADJA	Duden	tu_19_xTok_000285
Manns=Persohn	Mannsperson	NN	Duden	tu_19_xTok_000287
<g/>
/
Carl	Carl	NE	oov	tu_19_xTok_000291
Joseph	Joseph	NE	Duden	tu_19_xTok_000293
Hillebrand	Hillebrand	NE	oov	tu_19_xTok_000295
<g/>
/
fünff und dreyßig	fünfunddreißig	CARD		tu_19_xTok_000299
Jahr	Jahr	NN	Duden	tu_19_xTok_000305
alt	alt	ADJD	Duden	tu_19_xTok_000307
<g/>
/
von	von	APPR	Duden	tu_19_xTok_000311
<placeName id="pn19">
Znaim	Znaim	NE::top	oov	tu_19_xTok_000313
in	in	APPR	Duden	tu_19_xTok_000315
Mähren	Mähren	NE::top	Duden	tu_19_xTok_000317
</placeName>
gebührtig	gebürtig	ADJD	Duden	tu_19_xTok_000319
<g/>
/
Catholischer	katholisch	ADJA	Duden	tu_19_xTok_000323
Religion	Religion	NN	Duden	tu_19_xTok_000325
<g/>
/
ledigen	ledig	ADJA	Duden	tu_19_xTok_000329
Stands	Stand	NN	Duden	tu_19_xTok_000331
<g/>
/
hat	haben	VAFIN	Duden	tu_19_xTok_000335
in	in	APPR	Duden	tu_19_xTok_000337
dem	d	ART	Duden	tu_19_xTok_000339
<g/>
:
mit	mit	APPR	Duden	tu_19_xTok_000342
ihme	er	PPER	Duden	tu_19_xTok_000344
bey	bei	APPR	Duden	tu_19_xTok_000346
dem	d	ART	Duden	tu_19_xTok_000348
hiesigen	hiesig	ADJA	Duden	tu_19_xTok_000350
hinterlassenen	hinterlassen	ADJA	Duden	tu_19_xTok_000352
Kayserl.	kaiserlich	ADJA	Duden	tu_19_xTok_000355
Kriegs=Gericht	Kriegsgericht	NN	Duden	tu_19_xTok_000358
vorgenom̅enen	vornehmen	ADJA	Duden	tu_19_xTok_000360
Summarischen	summarisch	ADJA	Duden	tu_19_xTok_000362
und	und	KON	Duden	tu_19_xTok_000365
articulirten	artikulieren	ADJA	Duden	tu_19_xTok_000367
Examine	examen	FM	G-LDHW	tu_19_xTok_000370
theils	teils	ADV	Duden	tu_19_xTok_000372
