<doc id="fb_17420918_PhilippN" delinquent_sexes="male" title="Todesurteil Philipp N." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_22_xTok_000135
dieses	diese	PDAT	Duden	tu_22_xTok_000138
Delinquentens	Delinquent	NN	Duden	tu_22_xTok_000140
</head>
ERstlich	erstlich	ADV	Duden	tu_22_xTok_000142
schon	schon	ADV	Duden	tu_22_xTok_000145
allbereits	allbereits	ADV	Duden	tu_22_xTok_000147
im	im	APPRART	Duden	tu_22_xTok_000149
Monath	Monat	NN	Duden	tu_22_xTok_000151
Sept.	September	NN	Duden	tu_22_xTok_000153
1740.	1740	CARD		tu_22_xTok_000156
bey	bei	APPR	Duden	tu_22_xTok_000158
einem	ein	ART	Duden	tu_22_xTok_000160
sicheren	sicher	ADJA	DWB	tu_22_xTok_000162
auf	auf	APPR	Duden	tu_22_xTok_000164
dem	d	ART	Duden	tu_22_xTok_000166
Schottenfeld	Schottenfeld	NE::top	oov	tu_22_xTok_000168
wohnhafften	wohnhaft	ADJA	Duden	tu_22_xTok_000170
Fleischhacker=Meister	Fleischhackermeister	NN	oov	tu_22_xTok_000173
stellens=halber	stehlenshalber	ADJA	oov	tu_22_xTok_000175
über	über	APPR	Duden	tu_22_xTok_000177
die	d	ART	Duden	tu_22_xTok_000178
Garten=Plancken	Gartenplanke	NN	DWB	tu_22_xTok_000180
eingestiegen	einsteigen	VVPP	Duden	tu_22_xTok_000182
<g/>
/
aber	aber	KON	Duden	tu_22_xTok_000186
auf	auf	APPR	Duden	tu_22_xTok_000188
frischer	frisch	ADJA	Duden	tu_22_xTok_000190
That	Tat	NN	Duden	tu_22_xTok_000192
erdappet	ertappen	VVPP	Duden	tu_22_xTok_000194
worden	werden	VAPP	Duden	tu_22_xTok_000196
<g/>
;
dann	dann	ADV	Duden	tu_22_xTok_000199
2.	2	ADV		tu_22_xTok_000201
<g/>
)
Jm	im	APPRART	Duden	tu_22_xTok_000204
Monath	Monat	NN	Duden	tu_22_xTok_000206
Jenner	Jänner	NN	Duden	tu_22_xTok_000208
vorigen	vorige	ADJA	Duden	tu_22_xTok_000210
Jahrs	Jahr	NN	Duden	tu_22_xTok_000212
mit	mit	APPR	Duden	tu_22_xTok_000214
einem	ein	ART	Duden	tu_22_xTok_000216
