<doc id="fb_17460607_MathiasP_AntonH" delinquent_sexes="male" title="Todesurteil Mathias P., Anton H." attrs="word lemma pos vocab id">
<p id="fb_17460607_MathiasP_AntonH_p_0001">
Jnnhalt	Inhalt	NN	Duden	tu_33_xTok_000245
des	d	ART	Duden	tu_33_xTok_000247
Verbrechens	Verbrechen	NN	Duden	tu_33_xTok_000249
dieser	diese	PDAT	Duden	tu_33_xTok_000251
Delinquenten	Delinquent	NN	Duden	tu_33_xTok_000252
<g/>
.
</p>
<p id="fb_17460607_MathiasP_AntonH_p_0002">
UM	um	APPR	Duden	tu_33_xTok_000269
willen	willen	APZR	Duden	tu_33_xTok_000272
nicht	nicht	PTKNEG	Duden	tu_33_xTok_000274
allein	allein	ADV	Duden	tu_33_xTok_000276
er	er	PPER	Duden	tu_33_xTok_000278
H.	H.	NE	oov	tu_33_xTok_000280
besonders	besonders	ADV	Duden	tu_33_xTok_000283
<g/>
,
den	d	ART	Duden	tu_33_xTok_000286
1.	1	ADJA		tu_33_xTok_000288
Jenner	Jänner	NN	Duden	tu_33_xTok_000290
diß	diese	PDAT	Duden	tu_33_xTok_000291
Jahrs	Jahr	NN	Duden	tu_33_xTok_000293
fruhe	früh	ADV	Duden	tu_33_xTok_000295
um	um	APPR	Duden	tu_33_xTok_000297
8.	8	CARD		tu_33_xTok_000299
Uhr	Uhr	NN	Duden	tu_33_xTok_000301
einem	ein	ART	Duden	tu_33_xTok_000303
sicheren	sicher	ADJA	DWB	tu_33_xTok_000305
BauernKnecht	Bauernknecht	NN	Duden	tu_33_xTok_000307
einen	ein	ART	Duden	tu_33_xTok_000310
einem	ein	ART	Duden	tu_33_xTok_000312
Bauern	Bauer	NN	Duden	tu_33_xTok_000314
zu	zu	APPR	Duden	tu_33_xTok_000316
Goldgeben	Goldgeben	NE::top	oov	tu_33_xTok_000318
zugehörig=	zugehörig	ADJD	Duden	tu_33_xTok_000320
mit	mit	APPR	Duden	tu_33_xTok_000322
2.	2	CARD		tu_33_xTok_000323
Pferden	Pferd	NN	Duden	tu_33_xTok_000324
bespannten	bespannen	ADJA	Duden	tu_33_xTok_000326
Laiter=Wagen	Leiterwagen	NN	Duden	tu_33_xTok_000328
<g/>
,
so	so	PRELS	Duden	tu_33_xTok_000331
zusammen	zusammen	ADV	Duden	tu_33_xTok_000333
in	in	APPR	Duden	tu_33_xTok_000335
dem	d	ART	Duden	tu_33_xTok_000337
Werth	Wert	NN	Duden	tu_33_xTok_000339
auf	auf	APPR	Duden	tu_33_xTok_000341
109.	109	CARD		tu_33_xTok_000343
Fl.	Flore	NN	DWB	tu_33_xTok_000345
eydlich	eidlich	ADJD	Duden	tu_33_xTok_000348
angeschlagen	anschlagen	VVPP	Duden	tu_33_xTok_000350
worden	werden	VAPP	Duden	tu_33_xTok_000352
<g/>
,
von	von	APPR	Duden	tu_33_xTok_000355
hier	hier	ADV	Duden	tu_33_xTok_000357
diebischer	diebisch	ADJA	Duden	tu_33_xTok_000358
Weis	Weise	NN	Duden	tu_33_xTok_000361
auf=	auf	ADV	Duden	tu_33_xTok_000363
und	und	KON	Duden	tu_33_xTok_000365
davon	davon	PAV	Duden	tu_33_xTok_000367
geführet	führen	VVPP	Duden	tu_33_xTok_000369
<g/>
;
</p>
<p id="fb_17460607_MathiasP_AntonH_p_0003">
Folgends	folgends	ADV	DWB	tu_33_xTok_000371
in	in	APPR	Duden	tu_33_xTok_000373
Strassen=rauberischer	straßenräuberisch	ADJA	oov	tu_33_xTok_000375
Vergesellschaftung	Vergesellschaftung	NN	Duden	tu_33_xTok_000377
<g/>
,
und	und	KON	Duden	tu_33_xTok_000379
mit	mit	APPR	Duden	tu_33_xTok_000381
Beyhülff	Beihilfe	NN	Duden	tu_33_xTok_000383
des	d	ART	Duden	tu_33_xTok_000385
Mathias	Matthias	NE	Duden	tu_33_xTok_000387
P.	P.	NE	oov	tu_33_xTok_000389
am	am	APPRART	Duden	tu_33_xTok_000392
Mariæ=Verkündigungs=Tag	Mariäverkündigungstag	NN	oov	tu_33_xTok_000394
darauf	darauf	PAV	Duden	tu_33_xTok_000398
einen	ein	ART	Duden	tu_33_xTok_000400
anderen	andere	ADJA	Duden	tu_33_xTok_000402
Bauern	Bauer	NN	Duden	tu_33_xTok_000404
<g/>
,
und	und	KON	Duden	tu_33_xTok_000407
zugleich	zugleich	ADV	Duden	tu_33_xTok_000409
Haaber=Handlern	Haberhändler	NN	DWB	tu_33_xTok_000410
von	von	APPR	Duden	tu_33_xTok_000412
Gösting	Gösting	NE::top	oov	tu_33_xTok_000414
<g/>
(
gegen	gegen	APPR	Duden	tu_33_xTok_000417
welchen	welch	PRELS	Duden	tu_33_xTok_000419
sie	sie	PPER	Duden	tu_33_xTok_000421
sich	sich	PRF	Duden	tu_33_xTok_000423
für	für	APPR	Duden	tu_33_xTok_000425
Haaber=Handler	Haberhändler	NN	DWB	tu_33_xTok_000426
ausgegeben	ausgeben	VVPP	Duden	tu_33_xTok_000428
<g/>
,
sohin	sohin	ADV	Duden	tu_33_xTok_000431
dieselbe	dieselbe	PDS	Duden	tu_33_xTok_000433
nacher	nacher	APPR	DWB	tu_33_xTok_000435
Hitzerstorff	Hitzendorf	NE::top	oov	tu_33_xTok_000437
gegen	gegen	APPR	Duden	tu_33_xTok_000440
ordentlichen	ordentlich	ADJA	Duden	tu_33_xTok_000442
bedungenen	bedingen	ADJA	Duden	tu_33_xTok_000444
Fuhr=Geld	Fuhrgeld	NN	DWB	tu_33_xTok_000446
mitzuführen	mitführen	VVIZU	Duden	tu_33_xTok_000448
beredet	bereden	VVPP	Duden	tu_33_xTok_000451
<g/>
)
6.	6	CARD		tu_33_xTok_000454
Stunden	Stunde	NN	Duden	tu_33_xTok_000456
von	von	APPR	Duden	tu_33_xTok_000458
hier	hier	ADV	Duden	tu_33_xTok_000460
auf	auf	APPR	Duden	tu_33_xTok_000462
einer	ein	ART	Duden	tu_33_xTok_000464
alldasigen	alldasig	ADJA	oov	tu_33_xTok_000466
Anhöhe	Anhöhe	NN	Duden	tu_33_xTok_000468
vorsetzlicher	vorsätzlich	ADJA	Duden	tu_33_xTok_000471
Weis	Weise	NN	Duden	tu_33_xTok_000473
ohnversehens	unversehens	ADV	Duden	tu_33_xTok_000475
angebacket	anpacken	VVPP	Duden	tu_33_xTok_000477
<g/>
,
denselben	derselbe	PDS	Duden	tu_33_xTok_000480
mit	mit	APPR	Duden	tu_33_xTok_000482
einer	ein	ART	Duden	tu_33_xTok_000484
Hand	Hand	NN	Duden	tu_33_xTok_000486
bey	bei	APPR	Duden	tu_33_xTok_000488
der	d	ART	Duden	tu_33_xTok_000490
Gurgel	Gurgel	NN	Duden	tu_33_xTok_000492
<g/>
,
mit	mit	APPR	Duden	tu_33_xTok_000495
der	d	ART	Duden	tu_33_xTok_000497
anderen	ander	PIS	Duden	tu_33_xTok_000499
aber	aber	ADV	Duden	tu_33_xTok_000501
bey	bei	APPR	Duden	tu_33_xTok_000503
dem	d	ART	Duden	tu_33_xTok_000504
Genick	Genick	NN	Duden	tu_33_xTok_000506
<g/>
,
wie	wie	KOKOM	Duden	tu_33_xTok_000509
auch	auch	ADV	Duden	tu_33_xTok_000511
bey	bei	APPR	Duden	tu_33_xTok_000513
denen	d	ART	Duden	tu_33_xTok_000515
Füssen	Fuß	NN	Duden	tu_33_xTok_000517
ergriffen	ergreifen	VVPP	Duden	tu_33_xTok_000519
<g/>
,
und	und	KON	Duden	tu_33_xTok_000522
zu	zu	APPR	Duden	tu_33_xTok_000524
Boden	Boden	NN	Duden	tu_33_xTok_000525
geworffen	werfen	VVPP	Duden	tu_33_xTok_000527
<g/>
,
folgends	folgends	ADV	DWB	tu_33_xTok_000530
also	also	ADV	Duden	tu_33_xTok_000532
ligender	liegen	ADJD	Duden	tu_33_xTok_000534
mit	mit	APPR	Duden	tu_33_xTok_000536
einem	ein	ART	Duden	tu_33_xTok_000538
Fuß	Fuß	NN	Duden	tu_33_xTok_000540
auf	auf	APPR	Duden	tu_33_xTok_000542
den	d	ART	Duden	tu_33_xTok_000544
Bauch	Bauch	NN	Duden	tu_33_xTok_000546
geknyet	knien	VVPP	Duden	tu_33_xTok_000548
<g/>
,
auch	auch	ADV	Duden	tu_33_xTok_000551
in so lang	insolang	ADV		tu_33_xTok_000553
bey	bei	APPR	Duden	tu_33_xTok_000559
den	d	ART	Duden	tu_33_xTok_000561
Halß	Hals	NN	Duden	tu_33_xTok_000563
gehalten	halten	VVPP	Duden	tu_33_xTok_000565
<g/>
,
bis	bis	KOUS	Duden	tu_33_xTok_000569
sie	sie	PPER	Duden	tu_33_xTok_000571
