<doc id="fb_17460628_FrantzSebastianO" delinquent_sexes="male" title="Todesurteil Frantz Sebastian O." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_34_xTok_000243
des	d	ART	Duden	tu_34_xTok_000246
Verbrechens	Verbrechen	NN	Duden	tu_34_xTok_000248
dises	diese	PDAT	Duden	tu_34_xTok_000251
Delinquenten	Delinquent	NN	Duden	tu_34_xTok_000252
<g/>
.
</head>
<p id="fb_17460628_FrantzSebastianO_p_0001">
HEut	heute	ADV	Duden	tu_34_xTok_000255
Dato	dato	ADV	Duden	tu_34_xTok_000258
den	d	ART	Duden	tu_34_xTok_000260
28.	28	CARD		tu_34_xTok_000262
Junii	Juni	NN	Duden	tu_34_xTok_000264
1746.	1746	CARD		tu_34_xTok_000266
würdet	werden	VAFIN	Duden	tu_34_xTok_000268
eine	ein	ART	Duden	tu_34_xTok_000270
ledige	ledig	ADJA	Duden	tu_34_xTok_000273
Manns=Persohn	Mannsperson	NN	Duden	tu_34_xTok_000275
Nahmens	namens	ADV	Duden	tu_34_xTok_000277
Frantz	Franz	NE	Duden	tu_34_xTok_000278
Sebastian	Sebastian	NE	Duden	tu_34_xTok_000280
O.	O.	NE	oov	tu_34_xTok_000282
<g/>
/
sich	sich	PRF	Duden	tu_34_xTok_000287
dermahlen	dermalen	ADV	Duden	tu_34_xTok_000289
angebender	angeben	ADJA	Duden	tu_34_xTok_000291
Anton	Anton	NE	Duden	tu_34_xTok_000294
Ferdinand	Ferdinand	NE	Duden	tu_34_xTok_000296
P.	P.	NE	oov	tu_34_xTok_000298
bey	bei	APPR	Duden	tu_34_xTok_000301
28.	28	CARD		tu_34_xTok_000303
Jahr	Jahr	NN	Duden	tu_34_xTok_000305
alt	alt	ADJD	Duden	tu_34_xTok_000307
<g/>
/
seinen	sein	PPOSAT	Duden	tu_34_xTok_000310
Vorgeben	Vorgeben	NN	Duden	tu_34_xTok_000313
nach	nach	APPO	Duden	tu_34_xTok_000315
von	von	APPR	Duden	tu_34_xTok_000317
Breßlau	Breslau	NE::top	Duden	tu_34_xTok_000319
aus	aus	APPR	Duden	tu_34_xTok_000321
Schlesien	Schlesien	NE::top	Duden	tu_34_xTok_000323
gebürtig	gebürtig	ADJD	Duden	tu_34_xTok_000326
<g/>
/
Catholischer	katholisch	ADJA	Duden	tu_34_xTok_000330
Religion	Religion	NN	Duden	tu_34_xTok_000332
<g/>
/
wegen	wegen	APPR	Duden	tu_34_xTok_000336
falschen	falsch	ADJA	Duden	tu_34_xTok_000337
Geld=Müntzen	geldmünzen	VVINF-NN	oov	tu_34_xTok_000339
<g/>
/
sohin	sohin	ADV	Duden	tu_34_xTok_000343
begangenen	begehen	ADJA	Duden	tu_34_xTok_000345
Lasters	Laster	NN	Duden	tu_34_xTok_000347
der	d	ART	Duden	tu_34_xTok_000350
beleydigten	beleidigt	ADJA	Duden	tu_34_xTok_000352
Majestät	Majestät	NN	Duden	tu_34_xTok_000354
auf	auf	APPR	Duden	tu_34_xTok_000356
den	d	ART	Duden	tu_34_xTok_000358
hohen	hoch	ADJA	Duden	tu_34_xTok_000360
Wagen	Wagen	NN	Duden	tu_34_xTok_000361
gesetzt	setzen	VVPP	Duden	tu_34_xTok_000363
<g/>
/
nach	nach	APPR	Duden	tu_34_xTok_000367
der	d	ART	Duden	tu_34_xTok_000369
Gänß=Weyd	Gänseweide	NE::top	oov	tu_34_xTok_000371
zur	zur	APPRART	Duden	tu_34_xTok_000373
gewöhnlichen	gewöhnlich	ADJA	Duden	tu_34_xTok_000375
Richtstatt	Richtstatt	NN	DWB	tu_34_xTok_000378
geführt	führen	VVPP	Duden	tu_34_xTok_000380
<g/>
/
daselbst	daselbst	ADV	Duden	tu_34_xTok_000384
mit	mit	APPR	Duden	tu_34_xTok_000386
dem	d	ART	Duden	tu_34_xTok_000387
Schwerdt	Schwert	NN	Duden	tu_34_xTok_000389
von	von	APPR	Duden	tu_34_xTok_000391
Leben	Leben	NN	Duden	tu_34_xTok_000393
zum	zum	APPRART	Duden	tu_34_xTok_000395
Todt	Tod	NN	Duden	tu_34_xTok_000397
hingerichtet	hinrichten	VVPP	Duden	tu_34_xTok_000399
<g/>
/
sodann	sodann	ADV	Duden	tu_34_xTok_000404
der	d	ART	Duden	tu_34_xTok_000406
Cörper	Körper	NN	Duden	tu_34_xTok_000408
auf	auf	APPR	Duden	tu_34_xTok_000410
einen	ein	ART	Duden	tu_34_xTok_000412
SchaitterHauffen	Scheiterhaufen	NN	Duden	tu_34_xTok_000414
zu	zu	APPR	Duden	tu_34_xTok_000417
Staub	Staub	NN	Duden	tu_34_xTok_000419
und	und	KON	Duden	tu_34_xTok_000421
Aschen	Asche	NN	Duden	tu_34_xTok_000423
verbrennet	verbrennen	VVPP	Duden	tu_34_xTok_000425
<g/>
/
folgends	folgends	ADV	DWB	tu_34_xTok_000429
der	d	ART	Duden	tu_34_xTok_000432
Aschen	Asche	NN	Duden	tu_34_xTok_000434
in	in	APPR	Duden	tu_34_xTok_000436
den	d	ART	Duden	tu_34_xTok_000438
vorbey flüssenden	vorbeifließen	ADJA		tu_34_xTok_000440
Donau=Strohm	Donaustrom	NE::top	oov	tu_34_xTok_000444
geworffen	werfen	VVPP	Duden	tu_34_xTok_000447
<g/>
/
und	und	KON	Duden	tu_34_xTok_000451
vertilget	vertilgen	VVPP	Duden	tu_34_xTok_000453
werden	werden	VAINF	Duden	tu_34_xTok_000455
<g/>
.
</p>
