<doc id="fb_17470207_AntonP" delinquent_sexes="male" title="Todesurteil Anton P." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_36_xTok_000185
des	d	ART	Duden	tu_36_xTok_000188
Verbrechens	Verbrechen	NN	Duden	tu_36_xTok_000190
dises	diese	PDAT	Duden	tu_36_xTok_000193
Delinquenten	Delinquent	NN	Duden	tu_36_xTok_000194
<g/>
.
</head>
<p id="fb_17470207_AntonP_p_0001">
HEunt	heute	ADV	Duden	tu_36_xTok_000197
Dato	dato	ADV	Duden	tu_36_xTok_000200
den	d	ART	Duden	tu_36_xTok_000202
7.	7	ADJA		tu_36_xTok_000204
Februarii	Februar	NN	Duden	tu_36_xTok_000206
1747.	1747	CARD		tu_36_xTok_000208
würdet	werden	VAFIN	Duden	tu_36_xTok_000211
eine	ein	ART	Duden	tu_36_xTok_000214
verheyrathe	verheiratet	ADJA	Duden	tu_36_xTok_000216
Manns=Persohn	Mannsperson	NN	Duden	tu_36_xTok_000218
<g/>
/
Nahmens	namens	ADV	Duden	tu_36_xTok_000223
Anton	Anton	NE	Duden	tu_36_xTok_000225
P.	P.	NE	oov	tu_36_xTok_000227
32.	32	CARD		tu_36_xTok_000230
Jahr	Jahr	NN	Duden	tu_36_xTok_000232
alt	alt	ADJD	Duden	tu_36_xTok_000234
<g/>
/
von	von	APPR	Duden	tu_36_xTok_000238
Braittenfurth	Breitenfurt	NE::top	oov	tu_36_xTok_000240
unweit	unweit	APPR	Duden	tu_36_xTok_000243
Laab aus dem Wald	LaabausdemWald	NE::top		tu_36_xTok_000245
gebürtig	gebürtig	ADJD	Duden	tu_36_xTok_000253
<g/>
/
Catholischer	katholisch	ADJA	Duden	tu_36_xTok_000258
Religion	Religion	NN	Duden	tu_36_xTok_000260
<g/>
(
Um	um	APPR	Duden	tu_36_xTok_000263
willen	willen	APZR	Duden	tu_36_xTok_000265
derselbe	derselbe	PDS	Duden	tu_36_xTok_000267
in	in	APPR	Duden	tu_36_xTok_000271
Vergesellschafftung	Vergesellschaftung	NN	Duden	tu_36_xTok_000273
5.	5	CARD		tu_36_xTok_000275
anderer	andere	ADJA	Duden	tu_36_xTok_000278
bereits	bereits	ADV	Duden	tu_36_xTok_000280
vor	vor	APPR	Duden	tu_36_xTok_000282
mehr	mehr	ADV	Duden	tu_36_xTok_000284
dann	dann	ADV	Duden	tu_36_xTok_000286
4.	4	CARD		tu_36_xTok_000288
Jahren	Jahr	NN	Duden	tu_36_xTok_000290
meistens	meistens	ADV	Duden	tu_36_xTok_000292
hingerichten	hinrichten	ADJA	Duden	tu_36_xTok_000294
Raubs=Cameraden	Raubkamerad	NN	oov	tu_36_xTok_000297
<g/>
/
unter	unter	APPR	Duden	tu_36_xTok_000301
sich	sich	PRF	Duden	tu_36_xTok_000303
verabgeredter massen	verabredetermaßen	ADV		tu_36_xTok_000305
zwischen	zwischen	APPR	Duden	tu_36_xTok_000310
den	d	ART	Duden	tu_36_xTok_000312
16.	16	ADJA		tu_36_xTok_000314
und	und	KON	Duden	tu_36_xTok_000316
17.	17	ADJA		tu_36_xTok_000318
Novembris	November	NN	Duden	tu_36_xTok_000320
1741.	1741	CARD		tu_36_xTok_000324
gegen	gegen	APPR	Duden	tu_36_xTok_000326
Mitternacht	Mitternacht	NN	Duden	tu_36_xTok_000328
mit	mit	APPR	Duden	tu_36_xTok_000330
einer	ein	ART	Duden	tu_36_xTok_000332
Flinthen	Flinte	NN	Duden	tu_36_xTok_000334
oder	oder	KON	Duden	tu_36_xTok_000336
Pürst=Stutzen	Bürststutzen	NN	oov	tu_36_xTok_000338
<g/>
/
einer	ein	ART	Duden	tu_36_xTok_000342
Pistollen	Pistole	NN	Duden	tu_36_xTok_000344
<g/>
/
wie	wie	KOKOM	Duden	tu_36_xTok_000349
auch	auch	ADV	Duden	tu_36_xTok_000351
einem	ein	ART	Duden	tu_36_xTok_000353
Krampen	Krampe	NN	Duden	tu_36_xTok_000355
und	und	KON	Duden	tu_36_xTok_000357
Häckel	Häckel	NN	DWB	tu_36_xTok_000359
<g/>
/
er	er	PPER	Duden	tu_36_xTok_000363
Delinquent	Delinquent	NN	Duden	tu_36_xTok_000365
aber	aber	ADV	Duden	tu_36_xTok_000367
mit	mit	APPR	Duden	tu_36_xTok_000369
einem	ein	ART	Duden	tu_36_xTok_000371
Hirschfänger	Hirschfänger	NN	Duden	tu_36_xTok_000373
bewaffnet	bewaffnet	ADJD	Duden	tu_36_xTok_000375
<g/>
/
und	und	KON	Duden	tu_36_xTok_000379
gleich	gleich	ADJD	Duden	tu_36_xTok_000381
einem	ein	ART	Duden	tu_36_xTok_000383
Jäger	Jäger	NN	Duden	tu_36_xTok_000385
verkleydet	verkleiden	ADJD	Duden	tu_36_xTok_000387
unweit	unweit	APPR	Duden	tu_36_xTok_000390
Purckerstorff	Purkersdorf	NE::top	oov	tu_36_xTok_000392
auf	auf	APPR	Duden	tu_36_xTok_000394
der	d	ART	Duden	tu_36_xTok_000396
sogenannt	sogenannt	ADJD	Duden	tu_36_xTok_000398
offenen Meydling	OffeneMeidling	NE::top		tu_36_xTok_000399
<g/>
/
nach	nach	APPR	Duden	tu_36_xTok_000405
vorläuffig	vorläufig	ADJD	Duden	tu_36_xTok_000407
von	von	APPR	Duden	tu_36_xTok_000409
einem	ein	ART	Duden	tu_36_xTok_000411
aus	aus	APPR	Duden	tu_36_xTok_000414
ihnen	sie	PPER	Duden	tu_36_xTok_000416
überstigen=	übersteigen	ADJA	Duden	tu_36_xTok_000418
sodann	sodann	ADV	Duden	tu_36_xTok_000420
denen	d	ART	Duden	tu_36_xTok_000422
übrigen	übrig	ADJA	Duden	tu_36_xTok_000424
Raubs=Gespännen	Raubgespan	NN	oov	tu_36_xTok_000428
eröffneten	eröffnen	ADJA	Duden	tu_36_xTok_000430
Thor	Tor	NN	Duden	tu_36_xTok_000432
2.	2	CARD		tu_36_xTok_000435
sichere	sicher	ADJA	DWB	tu_36_xTok_000440
alt=	alt	ADJA	Duden	tu_36_xTok_000442
erlebte	erleben	ADJA	Duden	tu_36_xTok_000442b
Hüttlers=Leuthe	Hüttlersleute	NN	oov	tu_36_xTok_000444
in	in	APPR	Duden	tu_36_xTok_000446
dererselben	derselbe	PDAT	Duden	tu_36_xTok_000448
Wohn=	Wohnzimmer	TRUNC	Duden	tu_36_xTok_000451
und	und	KON	Duden	tu_36_xTok_000453
Schlaff=Zimmern	Schlafzimmer	NN	Duden	tu_36_xTok_000455
überfallen	überfallen	VVPP	Duden	tu_36_xTok_000457
<g/>
/
folgends	folgends	ADV	DWB	tu_36_xTok_000462
nebst	nebst	APPR	Duden	tu_36_xTok_000464
zerschiedenen	zerschieden	ADJA	DWB	tu_36_xTok_000466
gegen	gegen	APPR	Duden	tu_36_xTok_000468
