<doc id="fb_17470321_JohannW" delinquent_sexes="male" title="Todesurteil Johann W." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_38_xTok_000170
des	d	ART	Duden	tu_38_xTok_000173
Verbrechens	Verbrechen	NN	Duden	tu_38_xTok_000175
dises	diese	PDAT	Duden	tu_38_xTok_000178
Delinquenten	Delinquent	NN	Duden	tu_38_xTok_000179
<g/>
.
</head>
<p id="fb_17470321_JohannW_p_0001">
UM	um	APPR	Duden	tu_38_xTok_000182
willen	willen	APZR	Duden	tu_38_xTok_000185
derselbe	derselbe	PDS	Duden	tu_38_xTok_000187
<g/>
(
ungeachtet	ungeachtet	APPR	Duden	tu_38_xTok_000190
er	er	PPER	Duden	tu_38_xTok_000192
Delinquent	Delinquent	NN	Duden	tu_38_xTok_000194
wegen	wegen	APPR	Duden	tu_38_xTok_000197
eines	ein	ART	Duden	tu_38_xTok_000199
im	im	APPRART	Duden	tu_38_xTok_000201
Monath	Monat	NN	Duden	tu_38_xTok_000203
Martii	März	NN	Duden	tu_38_xTok_000204
vorigen	vorige	ADJA	Duden	tu_38_xTok_000206
Jahrs	Jahr	NN	Duden	tu_38_xTok_000208
in	in	APPR	Duden	tu_38_xTok_000210
einem	ein	ART	Duden	tu_38_xTok_000212
sicheren	sicher	ADJA	DWB	tu_38_xTok_000214
Würths=Hauß	Wirtshaus	NN	Duden	tu_38_xTok_000217
in	in	APPR	Duden	tu_38_xTok_000219
der	d	ART	Duden	tu_38_xTok_000221
Leopoldstadt	Leopoldstadt	NE::top	oov	tu_38_xTok_000223
allhier	allhier	ADV	Duden	tu_38_xTok_000225
begangenen	begehen	ADJA	Duden	tu_38_xTok_000228
obschon	obschon	KOUS	Duden	tu_38_xTok_000230
geringen	gering	ADJA	Duden	tu_38_xTok_000232
Diebstahls	Diebstahl	NN	Duden	tu_38_xTok_000234
<g/>
/
auch	auch	ADV	Duden	tu_38_xTok_000238
müssig=	müßig	ADJA	Duden	tu_38_xTok_000240
und	und	KON	Duden	tu_38_xTok_000242
Landstreicherischen	landstreicherisch	ADJA	oov	tu_38_xTok_000244
herumziehens	herumziehen	VVINF-NN	Duden	tu_38_xTok_000246
der	d	ART	Duden	tu_38_xTok_000249
Kayserl.	kaiserlich	ADJA	Duden	tu_38_xTok_000251
Königl.	königlich	ADJA	Duden	tu_38_xTok_000254
Militz	Miliz	NN	Duden	tu_38_xTok_000257
für	für	APPR	Duden	tu_38_xTok_000259
einen	ein	ART	Duden	tu_38_xTok_000261
Recrouten	Rekrut	NN	Duden	tu_38_xTok_000264
übergeben	übergeben	VVPP	Duden	tu_38_xTok_000267
<g/>
/
und	und	KON	Duden	tu_38_xTok_000271
ordentlich	ordentlich	ADJD	Duden	tu_38_xTok_000273
assentiret	assentieren	VVPP	Duden	tu_38_xTok_000274
worden	werden	VAPP	Duden	tu_38_xTok_000277
<g/>
)
nach	nach	APPR	Duden	tu_38_xTok_000280
seiner	sein	PPOSAT	Duden	tu_38_xTok_000282
so gleich	sogleich	ADV		tu_38_xTok_000284
im	im	APPRART	Duden	tu_38_xTok_000288
Monath	Monat	NN	Duden	tu_38_xTok_000289
