<doc id="fb_17480704_JohannAdamJ" delinquent_sexes="male" title="Todesurteil Johann Adam J." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_41_xTok_000128
des	d	ART	Duden	tu_41_xTok_000131
Verbrechens	Verbrechen	NN	Duden	tu_41_xTok_000133
dieses	diese	PDAT	Duden	tu_41_xTok_000136
Delinquenten	Delinquent	NN	Duden	tu_41_xTok_000137
<g/>
.
</head>
<p id="fb_17480704_JohannAdamJ_p_0001">
UM	um	APPR	Duden	tu_41_xTok_000140
Willen	willen	APZR	Duden	tu_41_xTok_000143
selber	selbe	PDS	Duden	tu_41_xTok_000145
schon	schon	ADV	Duden	tu_41_xTok_000147
ehehin	ehehin	ADV	DWB	tu_41_xTok_000149
Anno	annus	FM	G-LDHW	tu_41_xTok_000151
1742.	1742	CARD		tu_41_xTok_000153
wegen	wegen	APPR	Duden	tu_41_xTok_000154
eines	ein	ART	Duden	tu_41_xTok_000156
in	in	APPR	Duden	tu_41_xTok_000158
der	d	ART	Duden	tu_41_xTok_000160
Schuller=Strassen	Schulerstraße	NE::top	oov	tu_41_xTok_000162
ausgeübt	ausüben	ADJA	Duden	tu_41_xTok_000164
auf	auf	APPR	Duden	tu_41_xTok_000167
194.	194	CARD		tu_41_xTok_000169
fl.	Flore	NN	DWB	tu_41_xTok_000171
12.	12	CARD		tu_41_xTok_000174
kr.	Kreuzer	NN	Duden	tu_41_xTok_000176
3.	3	CARD		tu_41_xTok_000179
pf.	Pfennig	NN	Duden	tu_41_xTok_000181
Eydlich	eidlich	ADJD	Duden	tu_41_xTok_000184
angeschlagenen	anschlagen	ADJA	Duden	tu_41_xTok_000186
Diebstahls	Diebstahl	NN	Duden	tu_41_xTok_000189
auf	auf	APPR	Duden	tu_41_xTok_000191
frischer	frisch	ADJA	Duden	tu_41_xTok_000193
That	Tat	NN	Duden	tu_41_xTok_000195
ergriffen	ergreifen	VVPP	Duden	tu_41_xTok_000197
<g/>
;
Dann	dann	ADV	Duden	tu_41_xTok_000202
Anno	annus	FM	G-LDHW	tu_41_xTok_000205
1743.	1743	CARD		tu_41_xTok_000207
wegen	wegen	APPR	Duden	tu_41_xTok_000209
dreyen	drei	CARD	Duden	tu_41_xTok_000211
unterschiedlichen	unterschiedlich	ADJA	Duden	tu_41_xTok_000213
sich	sich	PRF	Duden	tu_41_xTok_000216
auf	auf	APPR	Duden	tu_41_xTok_000218
einmahl	einmal	ADV	Duden	tu_41_xTok_000220
wider	wider	APPR	Duden	tu_41_xTok_000222
ihme	er	PPER	Duden	tu_41_xTok_000224
Delinquenten	Delinquent	NN	Duden	tu_41_xTok_000225
geäusserten	äußern	ADJA	Duden	tu_41_xTok_000228
Diebstählen	Diebstahl	NN	Duden	tu_41_xTok_000230
<g/>
(
so	so	PRELS	Duden	tu_41_xTok_000233
in	in	APPR	Duden	tu_41_xTok_000235
Geld=	Geld	NN	Duden	tu_41_xTok_000236
und	und	KON	Duden	tu_41_xTok_000238
Geldes=werth	Geldeswert	NN	Duden	tu_41_xTok_000240
zusammen	zusammen	ADV	Duden	tu_41_xTok_000242
2171.	2171	CARD		tu_41_xTok_000244
fl.	Flore	NN	DWB	tu_41_xTok_000246
52.	52	CARD		tu_41_xTok_000248
kr.	Kreuzer	NN	Duden	tu_41_xTok_000250
betragen	betragen	VVPP	Duden	tu_41_xTok_000253
<g/>
)
