<doc id="fb_17500818_AnnaMariaE" delinquent_sexes="female" title="Todesurteil Anna Maria E." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_50_xTok_000138
des	d	ART	Duden	tu_50_xTok_000140
Verbrechens	Verbrechen	NN	Duden	tu_50_xTok_000142
diser	diese	PDAT	Duden	tu_50_xTok_000144
Delinquentin	Delinquentin	NN	Duden	tu_50_xTok_000145
<g/>
.
</head>
<p id="fb_17500818_AnnaMariaE_p_0001">
DJenstag	Dienstag	NN	Duden	tu_50_xTok_000148
den	d	ART	Duden	tu_50_xTok_000150
18.	18	ADJA		tu_50_xTok_000152
Augusti	August	NN	Duden	tu_50_xTok_000154
1750.	1750	CARD		tu_50_xTok_000156
wurde	werden	VAFIN	Duden	tu_50_xTok_000158
eine	ein	ART	Duden	tu_50_xTok_000160
verwittibte	verwitwet	ADJA	Duden	tu_50_xTok_000163
Weibs=Persohn	Weibsperson	NN	Duden	tu_50_xTok_000165
<g/>
,
Nahmens	namens	ADV	Duden	tu_50_xTok_000168
Anna	Anna	NE	Duden	tu_50_xTok_000171
Maria	Maria	NE	Duden	tu_50_xTok_000173
E.	E.	NE	oov	tu_50_xTok_000175
<g/>
,
31.	31	CARD		tu_50_xTok_000179
Jahr	Jahr	NN	Duden	tu_50_xTok_000181
alt	alt	ADJD	Duden	tu_50_xTok_000183
<g/>
,
von	von	APPR	Duden	tu_50_xTok_000186
Vösendorff	Vösendorf	NE::top	oov	tu_50_xTok_000187
in	in	APPR	Duden	tu_50_xTok_000189
Unter=Oesterreich	Unterösterreich	NE::top	oov	tu_50_xTok_000191
gebürtig	gebürtig	ADJD	Duden	tu_50_xTok_000193
<g/>
,
Catholischer	katholisch	ADJA	Duden	tu_50_xTok_000195
Religion	Religion	NN	Duden	tu_50_xTok_000197
<g/>
,
auf	auf	APPR	Duden	tu_50_xTok_000200
dem	d	ART	Duden	tu_50_xTok_000202
hochen	hoch	ADJA	Duden	tu_50_xTok_000204
Wagen	Wagen	NN	Duden	tu_50_xTok_000206
gesetzt=	setzen	VVPP	Duden	tu_50_xTok_000209
vor	vor	APPR	Duden	tu_50_xTok_000211
das	d	ART	Duden	tu_50_xTok_000213
Schotten=Thor	Schottentor	NE::top	oov	tu_50_xTok_000215
zur	zur	APPRART	Duden	tu_50_xTok_000217
gewöhnlichen	gewöhnlich	ADJA	Duden	tu_50_xTok_000219
Richtstadt	Richtstatt	NN	DWB	tu_50_xTok_000222
geführet	führen	VVPP	Duden	tu_50_xTok_000224
<g/>
,
und	und	KON	Duden	tu_50_xTok_000227
daselbst	daselbst	ADV	Duden	tu_50_xTok_000229
mit	mit	APPR	Duden	tu_50_xTok_000230
dem	d	ART	Duden	tu_50_xTok_000232
Schwerdt	Schwert	NN	Duden	tu_50_xTok_000234
vom	vom	APPRART	Duden	tu_50_xTok_000236
Leben	Leben	NN	Duden	tu_50_xTok_000238
zum	zum	APPRART	Duden	tu_50_xTok_000240
Todt	Tod	NN	Duden	tu_50_xTok_000242
hingerichtet	hinrichten	VVPP	Duden	tu_50_xTok_000244
<g/>
;
Um	um	APPR	Duden	tu_50_xTok_000248
willen	willen	APZR	Duden	tu_50_xTok_000250
sie	sie	PPER	Duden	tu_50_xTok_000252
Delinquentin	Delinquentin	NN	Duden	tu_50_xTok_000254
nicht	nicht	PTKNEG	Duden	tu_50_xTok_000257
allein	allein	ADV	Duden	tu_50_xTok_000258
vermög	vermöge	APPR	Duden	tu_50_xTok_000260
deren	d	PDAT	Duden	tu_50_xTok_000262
wider	wider	APPR	Duden	tu_50_xTok_000264
selbe	selbe	PDS	Duden	tu_50_xTok_000266
vorgekommenen	vorkommen	ADJA	Duden	tu_50_xTok_000268
Beschwer=Umständen	Beschwerumstand	NN	oov	tu_50_xTok_000271
<g/>
,
sondern	sondern	KON	Duden	tu_50_xTok_000274
auch	auch	ADV	Duden	tu_50_xTok_000276
ihrer	ihr	PPOSAT	Duden	tu_50_xTok_000278
in	in	APPR	Duden	tu_50_xTok_000281
der	d	ART	Duden	tu_50_xTok_000283
Tortur	Tortur	NN	Duden	tu_50_xTok_000285
abgelegt=	ablegen	ADJA	Duden	tu_50_xTok_000287
eigenen	eigen	ADJA	Duden	tu_50_xTok_000289
Geständnuß	Geständnis	NN	Duden	tu_50_xTok_000291
gemäß	gemäß	APPO	Duden	tu_50_xTok_000294
dero	dero	PDS	Duden	tu_50_xTok_000296
zwischen	zwischen	APPR	Duden	tu_50_xTok_000298
den	d	ART	Duden	tu_50_xTok_000300
24.	24	ADJA		tu_50_xTok_000302
und	und	KON	Duden	tu_50_xTok_000304
25ten	25	ADJA		tu_50_xTok_000306
Jenner	Jänner	NN	Duden	tu_50_xTok_000308
diß	diese	PDAT	Duden	tu_50_xTok_000310
Jahrs	Jahr	NN	Duden	tu_50_xTok_000312
nach	nach	APPR	Duden	tu_50_xTok_000314
12.	12	CARD		tu_50_xTok_000316
Uhr	Uhr	NN	Duden	tu_50_xTok_000318
in	in	APPR	Duden	tu_50_xTok_000320
der	d	ART	Duden	tu_50_xTok_000322
Nacht	Nacht	NN	Duden	tu_50_xTok_000324
heimlich	heimlich	ADJD	Duden	tu_50_xTok_000325
erzeügt=	erzeugen	ADJA	Duden	tu_50_xTok_000327
vollkommenes	vollkommen	ADJA	Duden	tu_50_xTok_000329
Zeit=Kind	Zeitkind	NN	oov	tu_50_xTok_000331
<g/>
,
so	so	PRELS	Duden	tu_50_xTok_000333
ein	ein	ART	Duden	tu_50_xTok_000335
Knäblein	Knäblein	NN	Duden	tu_50_xTok_000337
gewesen	sein	VAPP	Duden	tu_50_xTok_000339
<g/>
,
aus	aus	APPR	Duden	tu_50_xTok_000342
Forcht	Furcht	NN	Duden	tu_50_xTok_000344
und	und	KON	Duden	tu_50_xTok_000346
Beysorg	Beisorge	NN	DWB	tu_50_xTok_000347
eines	ein	ART	Duden	tu_50_xTok_000349
von	von	APPR	Duden	tu_50_xTok_000351
der	d	ART	Duden	tu_50_xTok_000353
Nachbarschafft	Nachbarschaft	NN	Duden	tu_50_xTok_000355
derentwillen	derentwillen	ADV	Duden	tu_50_xTok_000357
zu	zu	PTKZU	Duden	tu_50_xTok_000360
gewarten	gewarten	VVINF	DWB	tu_50_xTok_000362
habenden	haben	ADJA	Duden	tu_50_xTok_000364
schimpflichen	schimpflich	ADJA	Duden	tu_50_xTok_000366
Vorstosses	Vorstoß	NN	Duden	tu_50_xTok_000367
<g/>
,
mittels	mittels	APPR	Duden	tu_50_xTok_000370
geflissentlich	geflissentlich	ADJD	Duden	tu_50_xTok_000372
