<doc id="fb_17510525_GregoriS" delinquent_sexes="male" title="Todesurteil Gregori S." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_54_xTok_000123
des	d	ART	Duden	tu_54_xTok_000125
Verbrechens	Verbrechen	NN	Duden	tu_54_xTok_000127
dieses	diese	PDAT	Duden	tu_54_xTok_000129
Delinquenten	Delinquent	NN	Duden	tu_54_xTok_000130
<g/>
.
</head>
<p id="fb_17510525_GregoriS_p_0001">
NAchdeme	nachdem	KOUS	Duden	tu_54_xTok_000133
dieser	diese	PDAT	Duden	tu_54_xTok_000136
Delinquent	Delinquent	NN	Duden	tu_54_xTok_000138
über	über	APPR	Duden	tu_54_xTok_000140
den	d	ART	Duden	tu_54_xTok_000142
bereits	bereits	ADV	Duden	tu_54_xTok_000144
Anno	annus	FM	G-LDHW	tu_54_xTok_000146
1727.	1727	CARD		tu_54_xTok_000148
Dieberey	Dieberei	NN	Duden	tu_54_xTok_000149
halber	halber	APPO	Duden	tu_54_xTok_000151
durch	durch	APPR	Duden	tu_54_xTok_000153
6.	6	CARD		tu_54_xTok_000155
Wochen	Woche	NN	Duden	tu_54_xTok_000157
in	in	APPR	Duden	tu_54_xTok_000159
dem	d	ART	Duden	tu_54_xTok_000161
alhiesigen	allhiesig	ADJA	DWB	tu_54_xTok_000163
Zucht=Haus	Zuchthaus	NN	Duden	tu_54_xTok_000165
ausgestandenen	ausstehen	ADJA	Duden	tu_54_xTok_000167
Arrest	Arrest	NN	Duden	tu_54_xTok_000169
<g/>
/
und	und	KON	Duden	tu_54_xTok_000173
darauf	darauf	PAV	Duden	tu_54_xTok_000175
Anno	annus	FM	G-LDHW	tu_54_xTok_000177
1733.	1733	CARD		tu_54_xTok_000179
mehrmalen	mehrmalen	ADV	DWB	tu_54_xTok_000181
wegen	wegen	APPR	Duden	tu_54_xTok_000183
zweyer	zwei	CARD	Duden	tu_54_xTok_000185
<g/>
/
benanntlichen	benanntlich	ADV	DWB	tu_54_xTok_000189
in	in	APPR	Duden	tu_54_xTok_000191
dem	d	ART	Duden	tu_54_xTok_000193
Fürstl.	fürstlich	ADJA	Duden	tu_54_xTok_000195
Schwarzenbergischen	schwarzenbergisch	ADJA	oov	tu_54_xTok_000197
Haus	Haus	NN	Duden	tu_54_xTok_000199
zu	zu	APPR	Duden	tu_54_xTok_000201
Laxenburg	Laxenburg	NE::top	oov	tu_54_xTok_000203
<g/>
/
dann	dann	ADV	Duden	tu_54_xTok_000207
in	in	APPR	Duden	tu_54_xTok_000209
dem	d	ART	Duden	tu_54_xTok_000211
Schweitzhartischen	schweizhartisch	ADJA	oov	tu_54_xTok_000213
Garten	Garten	NN	Duden	tu_54_xTok_000216
auf	auf	APPR	Duden	tu_54_xTok_000218
der	d	ART	Duden	tu_54_xTok_000220
Wieden	Wieden	NE::top	oov	tu_54_xTok_000222
jeden	jede	PIAT	Duden	tu_54_xTok_000224
Orts	Ort	NN	Duden	tu_54_xTok_000226
mit	mit	APPR	Duden	tu_54_xTok_000228
Einbruch	Einbruch	NN	Duden	tu_54_xTok_000230
begangener	begehen	ADJA	Duden	tu_54_xTok_000232
Diebstählen	Diebstahl	NN	Duden	tu_54_xTok_000234
ihme	er	PPER	Duden	tu_54_xTok_000236
verfast	verfasst	ADJA	Duden	tu_54_xTok_000238
ordentlichen	ordentlich	ADJA	Duden	tu_54_xTok_000240
Criminal-Process	Kriminalprozess	NN	Duden	tu_54_xTok_000242
<g/>
(
deme	d	PDS	Duden	tu_54_xTok_000246
zufolge	zufolge	APPO	Duden	tu_54_xTok_000248
man	man	PIS	Duden	tu_54_xTok_000250
ihn	er	PPER	Duden	tu_54_xTok_000252
auf	auf	APPR	Duden	tu_54_xTok_000254
ein	ein	ART	Duden	tu_54_xTok_000256
Jahr	Jahr	NN	Duden	tu_54_xTok_000258
in	in	APPR	Duden	tu_54_xTok_000260
das	d	ART	Duden	tu_54_xTok_000262
Stock=Haus	Stockhaus	NN	DWB	tu_54_xTok_000264
alhier	allhier	ADV	Duden	tu_54_xTok_000265
zur	zur	APPRART	Duden	tu_54_xTok_000267
Straffe	Strafe	NN	Duden	tu_54_xTok_000269
eingelegt	einlegen	VVPP	Duden	tu_54_xTok_000271
<g/>
/
und	und	KON	Duden	tu_54_xTok_000275
alsdann	alsdann	ADV	Duden	tu_54_xTok_000277
aus	aus	APPR	Duden	tu_54_xTok_000279
dem	d	ART	Duden	tu_54_xTok_000281
hiesigen	hiesig	ADJA	Duden	tu_54_xTok_000283
ganzen	ganz	ADJA	Duden	tu_54_xTok_000285
Land=Gericht	Landgericht	NN	Duden	tu_54_xTok_000287
abgeschaffet	abschaffen	VVPP	DWB	tu_54_xTok_000289
<g/>
)
Anno	annus	FM	G-LDHW	tu_54_xTok_000292
1737.	1737	CARD		tu_54_xTok_000294
wiederum	wiederum	ADV	Duden	tu_54_xTok_000296
zu	zu	APPR	Duden	tu_54_xTok_000298
Nachts	Nacht	ADV	Duden	tu_54_xTok_000299
mit	mit	APPR	Duden	tu_54_xTok_000301
einem	ein	ART	Duden	tu_54_xTok_000303
bey	bei	APPR	Duden	tu_54_xTok_000305
sich	sich	PRF	Duden	tu_54_xTok_000307
gehabten	haben	ADJA	Duden	tu_54_xTok_000309
Brech=eisen	Brecheisen	NN	Duden	tu_54_xTok_000311
alhier	allhier	ADV	Duden	tu_54_xTok_000313
in	in	APPR	Duden	tu_54_xTok_000315
allerdings	allerdings	ADV	Duden	tu_54_xTok_000317
gefährlichen	gefährlich	ADJA	Duden	tu_54_xTok_000320
Absichten	Absicht	NN	Duden	tu_54_xTok_000322
herum gehend	herumgehen	ADJD		tu_54_xTok_000324
betretten	betreten	VVPP	Duden	tu_54_xTok_000328
worden	werden	VAPP	Duden	tu_54_xTok_000330
<g/>
/
