<doc id="fb_17560408_CarlLudwigM" delinquent_sexes="male" title="Todesurteil Carl Ludwig M." attrs="word lemma pos vocab id">
<p id="fb_17560408_CarlLudwigM_p_0001">
Zumalen	zumal	KOUS	Duden	tu_61_xTok_000154
dieser	diese	PDAT	Duden	tu_61_xTok_000156
Delinquent	Delinquent	NN	Duden	tu_61_xTok_000158
vermög	vermöge	APPR	Duden	tu_61_xTok_000160
seiner	sein	PPOSAT	Duden	tu_61_xTok_000162
eigenen	eigen	ADJA	Duden	tu_61_xTok_000164
Geständnuß	Geständnis	NN	Duden	tu_61_xTok_000166
aus	aus	APPR	Duden	tu_61_xTok_000168
der	d	ART	Duden	tu_61_xTok_000170
ihme	er	PPER	Duden	tu_61_xTok_000172
anvertrauten	anvertrauen	ADJA	Duden	tu_61_xTok_000174
Cassa	Kassa	NN	Duden	tu_61_xTok_000178
63128.	63128	CARD		tu_61_xTok_000180
fl.	Flore	NN	DWB	tu_61_xTok_000182
49.	49	CARD		tu_61_xTok_000185
½	½	CARD		tu_61_xTok_000187
kr.	Kreuzer	NN	Duden	tu_61_xTok_000189
Landesfürstl.	landesfürstlich	ADJA	DWB	tu_61_xTok_000192
Gelder	Geld	NN	Duden	tu_61_xTok_000197
nach	nach	ADV	Duden	tu_61_xTok_000199
und	und	KON	Duden	tu_61_xTok_000201
nach	nach	ADV	Duden	tu_61_xTok_000203
eid=brüchig	eidbrüchig	ADJD	Duden	tu_61_xTok_000205
herausgenommen	herausnehmen	VVPP	Duden	tu_61_xTok_000207
<g/>
,
und	und	KON	Duden	tu_61_xTok_000213
theils	teils	ADV	Duden	tu_61_xTok_000215
zu	zu	APPR	Duden	tu_61_xTok_000217
allerhand	allerhand	ADJD	Duden	tu_61_xTok_000219
Particular-negotien	Partikularnegotium	NN	oov	tu_61_xTok_000221
gebraucht	brauchen	VVPP	Duden	tu_61_xTok_000225
<g/>
,
theils	teils	ADV	Duden	tu_61_xTok_000228
verschiedenen	verschieden	ADJA	Duden	tu_61_xTok_000230
Partheyen	Partei	NN	Duden	tu_61_xTok_000234
