<doc id="fb_17560901_JohannM" delinquent_sexes="male" title="Todesurteil Johann M." attrs="word lemma pos vocab id">
<p id="fb_17560901_JohannM_p_0001">
Zumalen	zumal	KOUS	Duden	tu_64_xTok_000156
wider	wider	APPR	Duden	tu_64_xTok_000158
diesen	diese	PDAT	Duden	tu_64_xTok_000160
Delinquenten	Delinquent	NN	Duden	tu_64_xTok_000162
theils	teils	ADV	Duden	tu_64_xTok_000165
Gerichtlich	gerichtlich	ADJD	Duden	tu_64_xTok_000167
vorgekommen	vorkommen	VVPP	Duden	tu_64_xTok_000170
<g/>
,
theils	teils	ADV	Duden	tu_64_xTok_000173
aber	aber	ADV	Duden	tu_64_xTok_000175
er	er	PPER	Duden	tu_64_xTok_000176
selbst	selbst	ADV	Duden	tu_64_xTok_000178
in	in	APPR	Duden	tu_64_xTok_000180
denen	d	ART	Duden	tu_64_xTok_000182
mit	mit	APPR	Duden	tu_64_xTok_000184
ihm	er	PPER	Duden	tu_64_xTok_000186
vorgenommenen	vornehmen	ADJA	Duden	tu_64_xTok_000189
Verhören	Verhör	NN	Duden	tu_64_xTok_000191
freymütig	freimütig	ADJD	Duden	tu_64_xTok_000193
einbekennet	einbekennen	VVPP	Duden	tu_64_xTok_000195
hat	haben	VAFIN	Duden	tu_64_xTok_000198
<g/>
,
daß	dass	KOUS	Duden	tu_64_xTok_000201
er	er	PPER	Duden	tu_64_xTok_000203
den	d	ART	Duden	tu_64_xTok_000205
21.	21	ADJA		tu_64_xTok_000207
Februarii	Februar	NN	Duden	tu_64_xTok_000209
lauffenden	laufend	ADJA	Duden	tu_64_xTok_000211
Jahrs	Jahr	NN	Duden	tu_64_xTok_000213
Nachmittags	nachmittags	ADV	Duden	tu_64_xTok_000215
gegen	gegen	APPR	Duden	tu_64_xTok_000218
3.	3	CARD		tu_64_xTok_000220
Uhr	Uhr	NN	Duden	tu_64_xTok_000222
auf	auf	APPR	Duden	tu_64_xTok_000224
offener	offen	ADJA	Duden	tu_64_xTok_000226
Land=strasse	Landstraße	NN	Duden	tu_64_xTok_000228
zwischen	zwischen	APPR	Duden	tu_64_xTok_000229
Weissenbach	Weißenbach	NE::top	oov	tu_64_xTok_000231
und	und	KON	Duden	tu_64_xTok_000233
Neuhauß	Neuhaus	NE::top	oov	tu_64_xTok_000235
nächst	nächst	APPR	Duden	tu_64_xTok_000237
Fahrenfeld	Fahrafeld	NE::top	oov	tu_64_xTok_000239
einem	ein	ART	Duden	tu_64_xTok_000242
von	von	APPR	Duden	tu_64_xTok_000244
ihme	er	PPER	Duden	tu_64_xTok_000246
ungefähr	ungefähr	ADV	Duden	tu_64_xTok_000248
