<doc id="fb_17571022_NiclasSt" delinquent_sexes="male" title="Todesurteil Niclas St." attrs="word lemma pos vocab id">
<p id="fb_17571022_NiclasSt_p_0001">
Zumalen	zumal	KOUS	Duden	tu_66_xTok_000153
dieser	diese	PDAT	Duden	tu_66_xTok_000155
Delinquent	Delinquent	NN	Duden	tu_66_xTok_000157
alschon	allschon	ADV	oov	tu_66_xTok_000159
von	von	APPR	Duden	tu_66_xTok_000161
Jugend	Jugend	NN	Duden	tu_66_xTok_000163
auf	auf	APPR	Duden	tu_66_xTok_000165
dem	d	ART	Duden	tu_66_xTok_000166
Säckl=raumen	Säckelräumen	NN	oov	tu_66_xTok_000168
und	und	KON	Duden	tu_66_xTok_000170
Stehlen	stehlen	VVINF-NN	Duden	tu_66_xTok_000172
beständig	beständig	ADJD	Duden	tu_66_xTok_000174
nachgegangen	nachgehen	VVPP	Duden	tu_66_xTok_000176
<g/>
;
dahero	dahero	PAV	DWB	tu_66_xTok_000180
albereits	allbereits	ADV	Duden	tu_66_xTok_000182
in	in	APPR	Duden	tu_66_xTok_000184
denen	d	ART	Duden	tu_66_xTok_000186
Jahren	Jahr	NN	Duden	tu_66_xTok_000188
1745.	1745	CARD		tu_66_xTok_000190
und	und	KON	Duden	tu_66_xTok_000193
1746.	1746	CARD		tu_66_xTok_000195
wegen	wegen	APPR	Duden	tu_66_xTok_000196
Schnipferey	Schnüpferei	NN	oov	tu_66_xTok_000198
zu	zu	APPR	Duden	tu_66_xTok_000200
Preßburg	Pressburg	NE::top	Duden	tu_66_xTok_000202
wiederholter=massen	wiederholtermaßen	ADV	oov	tu_66_xTok_000204
gefänglich	gefänglich	ADJD	Duden	tu_66_xTok_000206
eingezogen	einziehen	VVPP	DWB	tu_66_xTok_000208
<g/>
,
und	und	KON	Duden	tu_66_xTok_000211
sowol	sowohl	KON	Duden	tu_66_xTok_000213
mit	mit	APPR	Duden	tu_66_xTok_000215
Ruhten=	Rutenstreich	TRUNC	DWB	tu_66_xTok_000217
als	als	KON	Duden	tu_66_xTok_000219
Karbatsch=streichen	Karbatschenstreich	NN	DWB	tu_66_xTok_000221
<g/>
,
auch	auch	ADV	Duden	tu_66_xTok_000224
Ausstellung	Ausstellung	NN	Duden	tu_66_xTok_000226
an	an	APPR	Duden	tu_66_xTok_000228
den	d	ART	Duden	tu_66_xTok_000230
Pranger	Pranger	NN	Duden	tu_66_xTok_000232
<g/>
,
und	und	KON	Duden	tu_66_xTok_000235
Abschaffung	Abschaffung	NN	Duden	tu_66_xTok_000237
aus	aus	APPR	Duden	tu_66_xTok_000239
dasigen	dasig	ADJA	Duden	tu_66_xTok_000241
Burgfrieden	Burgfriede	NN	Duden	tu_66_xTok_000243
<g/>
,
jedoch	jedoch	KON	Duden	tu_66_xTok_000246
fruchtloß	fruchtlos	ADJD	Duden	tu_66_xTok_000248
<g/>
,
abgestraft	abstrafen	VVPP	Duden	tu_66_xTok_000251
worden	werden	VAPP	Duden	tu_66_xTok_000253
ist	sein	VAFIN	Duden	tu_66_xTok_000255
<g/>
,
worauf	worauf	PWAV	Duden	tu_66_xTok_000258
er	er	PPER	Duden	tu_66_xTok_000260
anderen	andere	ADJA	Duden	tu_66_xTok_000262
liederlichen	liederlich	ADJA	Duden	tu_66_xTok_000264
Purschen	Bursche	NN	Duden	tu_66_xTok_000266
und	und	KON	Duden	tu_66_xTok_000268
Diebs=gesinde	Diebsgesinde	NN	DWB	tu_66_xTok_000270
sich	sich	PRF	Duden	tu_66_xTok_000272
beygesellet	beigesellen	VVPP	Duden	tu_66_xTok_000274
<g/>
,
auch	auch	ADV	Duden	tu_66_xTok_000278
mit	mit	APPR	Duden	tu_66_xTok_000280
solchen	solch	PIS	Duden	tu_66_xTok_000282
hieher	hieher	PAV	Duden	tu_66_xTok_000284
