<doc id="fb_17571217_JohannAdamS" delinquent_sexes="male" title="Todesurteil Johann Adam S." attrs="word lemma pos vocab id">
<p id="fb_17571217_JohannAdamS_p_0001">
Es	es	PPER	Duden	tu_67_xTok_000173
hat	haben	VAFIN	Duden	tu_67_xTok_000175
dieser	diese	PDAT	Duden	tu_67_xTok_000177
Delinquent	Delinquent	NN	Duden	tu_67_xTok_000179
allschon	allschon	ADV	oov	tu_67_xTok_000181
im	im	APPRART	Duden	tu_67_xTok_000183
Jahr	Jahr	NN	Duden	tu_67_xTok_000185
1751.	1751	CARD		tu_67_xTok_000187
zu	zu	APPR	Duden	tu_67_xTok_000190
Rigelsbrunn	Riegelsbrunn	NE::top	oov	tu_67_xTok_000192
den	d	ART	Duden	tu_67_xTok_000195
5.	5	ADJA		tu_67_xTok_000197
Junii	Juni	NN	Duden	tu_67_xTok_000200
in	in	APPR	Duden	tu_67_xTok_000202
der	d	ART	Duden	tu_67_xTok_000204
Nacht	Nacht	NN	Duden	tu_67_xTok_000206
in	in	APPR	Duden	tu_67_xTok_000208
einem	ein	ART	Duden	tu_67_xTok_000210
dasigen	dasig	ADJA	Duden	tu_67_xTok_000212
Wirts=haus	Wirtshaus	NN	Duden	tu_67_xTok_000214
einen	ein	ART	Duden	tu_67_xTok_000216
auf	auf	APPR	Duden	tu_67_xTok_000219
55.	55	CARD		tu_67_xTok_000221
fl.	Flore	NN	DWB	tu_67_xTok_000224
19.	19	CARD		tu_67_xTok_000227
Kr.	Kreuzer	NN	Duden	tu_67_xTok_000230
an	an	APPR	Duden	tu_67_xTok_000233
Geld	Geld	NN	Duden	tu_67_xTok_000235
und	und	KON	Duden	tu_67_xTok_000237
Geldes=wert	Geldeswert	NN	Duden	tu_67_xTok_000239
beschwornen	beschwören	ADJA	Duden	tu_67_xTok_000241
Haus=diebstahl	Hausdiebstahl	NN	DWB	tu_67_xTok_000242
<g/>
,
wie	wie	KON	Duden	tu_67_xTok_000245
nicht	nicht	PTKNEG	Duden	tu_67_xTok_000247
minder	minder	ADV	Duden	tu_67_xTok_000249
den	d	ART	Duden	tu_67_xTok_000251
7.	7	ADJA		tu_67_xTok_000253
Augusti	August	NN	Duden	tu_67_xTok_000256
eben	eben	ADV	Duden	tu_67_xTok_000258
selbigen	selbige	PDAT	Duden	tu_67_xTok_000260
Jahrs	Jahr	NN	Duden	tu_67_xTok_000262
allhier	allhier	ADV	Duden	tu_67_xTok_000263
in	in	APPR	Duden	tu_67_xTok_000265
der	d	ART	Duden	tu_67_xTok_000267
Leopold=stadt	Leopoldstadt	NE::top	oov	tu_67_xTok_000269
in	in	APPR	Duden	tu_67_xTok_000271
einem	ein	ART	Duden	tu_67_xTok_000273
gleich=mäßigen	gleichmäßig	ADJA	Duden	tu_67_xTok_000275
Wirts=haus	Wirtshaus	NN	Duden	tu_67_xTok_000277
einen	ein	ART	Duden	tu_67_xTok_000279
ebenfalls	ebenfalls	ADV	Duden	tu_67_xTok_000282
nächtlichen	nächtlich	ADJA	Duden	tu_67_xTok_000284
auf	auf	APPR	Duden	tu_67_xTok_000286
98.	98	CARD		tu_67_xTok_000288
fl.	Flore	NN	DWB	tu_67_xTok_000291
18.	18	CARD		tu_67_xTok_000294
Kr.	Kreuzer	NN	Duden	tu_67_xTok_000297
beeidigten	beeidigen	ADJA	Duden	tu_67_xTok_000300
Diebstahl	Diebstahl	NN	Duden	tu_67_xTok_000302
ausgeübet	ausüben	VVPP	Duden	tu_67_xTok_000303
<g/>
;
darauf	darauf	PAV	Duden	tu_67_xTok_000306
ist	sein	VAFIN	Duden	tu_67_xTok_000308
derselbe	derselbe	PDS	Duden	tu_67_xTok_000310
in	in	APPR	Duden	tu_67_xTok_000312
einem	ein	ART	Duden	tu_67_xTok_000314
