<doc id="fb_17601024_ReginaG" delinquent_sexes="female" title="Todesurteil Regina G." attrs="word lemma pos vocab id">
<p id="fb_17601024_ReginaG_p_0001">
ES	es	PPER	Duden	tu_74_xTok_000148
hat	haben	VAFIN	Duden	tu_74_xTok_000151
die	d	ART	Duden	tu_74_xTok_000153
Delinquentin	Delinquentin	NN	Duden	tu_74_xTok_000155
von	von	APPR	Duden	tu_74_xTok_000157
Jugend	Jugend	NN	Duden	tu_74_xTok_000159
auf	auf	APPR	Duden	tu_74_xTok_000161
an	an	APPR	Duden	tu_74_xTok_000163
verschiedenen	verschieden	ADJA	Duden	tu_74_xTok_000164
Orten	Ort	NN	Duden	tu_74_xTok_000166
auf	auf	APPR	Duden	tu_74_xTok_000168
dem	d	ART	Duden	tu_74_xTok_000170
Land	Land	NN	Duden	tu_74_xTok_000172
<g/>
,
und	und	KON	Duden	tu_74_xTok_000175
zwar	zwar	ADV	Duden	tu_74_xTok_000177
anfänglich	anfänglich	ADJD	Duden	tu_74_xTok_000178
als	als	KOKOM	Duden	tu_74_xTok_000180
Kinds=	Kindermensch	TRUNC	DWB	tu_74_xTok_000182
sohin	sohin	ADV	Duden	tu_74_xTok_000184
aber	aber	ADV	Duden	tu_74_xTok_000186
als	als	KOKOM	Duden	tu_74_xTok_000188
ViehMensch	Viehmensch	NN	DWB	tu_74_xTok_000190
in so lange	insolange	ADV		tu_74_xTok_000193
gedienet	dienen	VVPP	Duden	tu_74_xTok_000199
<g/>
,
bis	bis	KOUS	Duden	tu_74_xTok_000202
selbe	selbe	PDS	Duden	tu_74_xTok_000204
von	von	APPR	Duden	tu_74_xTok_000206
einem	ein	ART	Duden	tu_74_xTok_000208
Bauren=purschen	Bauernbursche	NN	Duden	tu_74_xTok_000209
geschwängeret	schwängern	VVPP	Duden	tu_74_xTok_000211
worden	werden	VAPP	Duden	tu_74_xTok_000213
<g/>
,
und	und	KON	Duden	tu_74_xTok_000216
hierauf	hierauf	PAV	Duden	tu_74_xTok_000218
3.	3	CARD		tu_74_xTok_000219
Wochen	Woche	NN	Duden	tu_74_xTok_000221
vor	vor	APPR	Duden	tu_74_xTok_000223
Ostern	Ostern	NN	Duden	tu_74_xTok_000225
dies	diese	PDAT	Duden	tu_74_xTok_000227
Jahrs	Jahr	NN	Duden	tu_74_xTok_000229
anhero	anhero	ADV	DWB	tu_74_xTok_000231
nacher	nacher	APPR	DWB	tu_74_xTok_000233
Wien	Wien	NE::top	Duden	tu_74_xTok_000234
gekommen	kommen	VVPP	Duden	tu_74_xTok_000236
<g/>
,
auch	auch	ADV	Duden	tu_74_xTok_000239
alda	allda	ADV	Duden	tu_74_xTok_000241
bey	bei	APPR	Duden	tu_74_xTok_000243
sicheren	sicher	ADJA	DWB	tu_74_xTok_000245
Haus=meisters=leuten	Hausmeisterleute	NN	oov	tu_74_xTok_000247
in	in	APPR	Duden	tu_74_xTok_000250
der	d	ART	Duden	tu_74_xTok_000252
Leopoldstadt	Leopoldstadt	NE::top	oov	tu_74_xTok_000254
gleichfalls	gleichfalls	ADV	Duden	tu_74_xTok_000256
als	als	KOKOM	Duden	tu_74_xTok_000258
Kindsmagd	Kindermagd	NN	DWB	tu_74_xTok_000260
in	in	APPR	Duden	tu_74_xTok_000263
die	d	ART	Duden	tu_74_xTok_000265
Dienste	Dienst	NN	Duden	tu_74_xTok_000267
eingestanden	einstehen	VVPP	Duden	tu_74_xTok_000269
ist	sein	VAFIN	Duden	tu_74_xTok_000271
<g/>
.
Zumalen	zumal	KOUS	Duden	tu_74_xTok_000274
nun	nun	ADV	Duden	tu_74_xTok_000276
aber	aber	ADV	Duden	tu_74_xTok_000277
solch=	solch	PIAT	Duden	tu_74_xTok_000279
ihr	ihr	PPOSAT	Duden	tu_74_xTok_000281
Dienst=herr	Dienstherr	NN	Duden	tu_74_xTok_000283
bald	bald	ADV	Duden	tu_74_xTok_000285
hernach	hernach	ADV	Duden	tu_74_xTok_000287
sie	sie	PPER	Duden	tu_74_xTok_000289
Regina	Regina	NE	Duden	tu_74_xTok_000291
G.	G.	NE	oov	tu_74_xTok_000292
schwangeren	schwanger	ADJA	Duden	tu_74_xTok_000295
Leibs	Leib	NN	Duden	tu_74_xTok_000297
zu	zu	PTKZU	Duden	tu_74_xTok_000299
seyn	sein	VAINF	Duden	tu_74_xTok_000301
wahrgenommen	wahrnehmen	VVPP	Duden	tu_74_xTok_000303
<g/>
,
hat	haben	VAFIN	Duden	tu_74_xTok_000306
er	er	PPER	Duden	tu_74_xTok_000307
derselben	dieselbe	PDS	Duden	tu_74_xTok_000309
den	d	ART	Duden	tu_74_xTok_000311
Dienst	Dienst	NN	Duden	tu_74_xTok_000313
zu	zu	APPR	Duden	tu_74_xTok_000315
wiederholten	wiederholt	ADJA	Duden	tu_74_xTok_000317
malen	Mal	NN	Duden	tu_74_xTok_000319
aufgesaget	aufsagen	VVPP	Duden	tu_74_xTok_000321
<g/>
;
dannenhero	dannenhero	ADV	DWB	tu_74_xTok_000325
sie	sie	PPER	Duden	tu_74_xTok_000327
Regina	Regina	NE	Duden	tu_74_xTok_000329
G.	G.	NE	oov	tu_74_xTok_000331
aus	aus	APPR	Duden	tu_74_xTok_000334
hierüber	hierüber	PAV	Duden	tu_74_xTok_000336
gehegten	hegen	ADJA	Duden	tu_74_xTok_000338
Widerwillen	Widerwille	NN	Duden	tu_74_xTok_000341
allschon	allschon	ADV	oov	tu_74_xTok_000343
vierzehen	vierzehn	CARD	Duden	tu_74_xTok_000345
Täge	Tag	NN	Duden	tu_74_xTok_000347
vor	vor	APPR	Duden	tu_74_xTok_000349
der	d	ART	Duden	tu_74_xTok_000351
verübten	verüben	ADJA	Duden	tu_74_xTok_000353
Mordthat	Mordtat	NN	Duden	tu_74_xTok_000356
auf	auf	APPR	Duden	tu_74_xTok_000358
den	d	ART	Duden	tu_74_xTok_000360
verzweifleten	verzweifelt	ADJA	Duden	tu_74_xTok_000362
Gedanken	Gedanke	NN	Duden	tu_74_xTok_000364
verfallen	verfallen	VVPP	Duden	tu_74_xTok_000366
<g/>
,
daß	dass	KOUS	Duden	tu_74_xTok_000370
sie	sie	PPER	Duden	tu_74_xTok_000372
ihres	ihr	PPOSAT	Duden	tu_74_xTok_000374
Dienst=herrns	Dienstherr	NN	Duden	tu_74_xTok_000376
jüngstes	jung	ADJA	Duden	tu_74_xTok_000378
halbjähriges	halbjährig	ADJA	Duden	tu_74_xTok_000380
Mägdel	Mägdlein	NN	Duden	tu_74_xTok_000383
bey	bei	APPR	Duden	tu_74_xTok_000385
sich	sich	PRF	Duden	tu_74_xTok_000387
ereignender	ereignen	ADJA	Duden	tu_74_xTok_000389
Gelegenheit	Gelegenheit	NN	Duden	tu_74_xTok_000391
mörderischer	mörderisch	ADJA	Duden	tu_74_xTok_000393
Weise	Weise	NN	Duden	tu_74_xTok_000396
um	um	APPR	Duden	tu_74_xTok_000398
das	d	ART	Duden	tu_74_xTok_000400
Leben	Leben	NN	Duden	tu_74_xTok_000402
bringen	bringen	VVINF	Duden	tu_74_xTok_000404
wolle	wollen	VMFIN	Duden	tu_74_xTok_000406
<g/>
,
welches	welch	PRELS	Duden	tu_74_xTok_000409
sie	sie	PPER	Duden	tu_74_xTok_000412
sich	sich	PRF	Duden	tu_74_xTok_000414
um so	umso	KON		tu_74_xTok_000416
mehr	mehr	ADV	Duden	tu_74_xTok_000420
vorgenommen	vornehmen	VVPP	Duden	tu_74_xTok_000422
<g/>
,
als	als	KOUS	Duden	tu_74_xTok_000425
sie	sie	PPER	Duden	tu_74_xTok_000427
ohnedeme	ohnedem	ADV	Duden	tu_74_xTok_000429
ihrer	ihr	PPOSAT	Duden	tu_74_xTok_000430
frey	frei	ADJD	Duden	tu_74_xTok_000432
gemachten	machen	ADJA	Duden	tu_74_xTok_000434
Bekanntnuß	Bekenntnis	NN	Duden	tu_74_xTok_000436
nach	nach	APPO	Duden	tu_74_xTok_000438
allschon	allschon	ADV	oov	tu_74_xTok_000440
vorläuffig	vorläufig	ADJD	Duden	tu_74_xTok_000442
den	d	ART	Duden	tu_74_xTok_000445
boßhaften	boshaft	ADJA	Duden	tu_74_xTok_000447
Sinn	Sinn	NN	Duden	tu_74_xTok_000449
gehabt	haben	VAPP	Duden	tu_74_xTok_000451
<g/>
,
