<doc id="fb_17601031_AnnaMariaB" delinquent_sexes="female" title="Todesurteil Anna Maria B." attrs="word lemma pos vocab id">
<p id="fb_17601031_AnnaMariaB_p_0001">
ES	es	PPER	Duden	tu_75_xTok_000152
ist	sein	VAFIN	Duden	tu_75_xTok_000155
diese	diese	PDAT	Duden	tu_75_xTok_000157
Delinquentin	Delinquentin	NN	Duden	tu_75_xTok_000159
<g/>
(
nachdeme	nachdem	KOUS	Duden	tu_75_xTok_000162
sie	sie	PPER	Duden	tu_75_xTok_000164
von	von	APPR	Duden	tu_75_xTok_000166
dem	d	ART	Duden	tu_75_xTok_000168
15ten	15	ADJA		tu_75_xTok_000170
Jahr	Jahr	NN	Duden	tu_75_xTok_000173
ihres	ihr	PPOSAT	Duden	tu_75_xTok_000174
Alters	Alter	NN	Duden	tu_75_xTok_000176
2.	2	CARD		tu_75_xTok_000178
Jahr	Jahr	NN	Duden	tu_75_xTok_000180
lang	lang	ADJD	Duden	tu_75_xTok_000182
in	in	APPR	Duden	tu_75_xTok_000184
4.	4	CARD		tu_75_xTok_000186
unterschiedlichen	unterschiedlich	ADJA	Duden	tu_75_xTok_000188
Orten	Ort	NN	Duden	tu_75_xTok_000190
gedienet	dienen	VVPP	Duden	tu_75_xTok_000192
<g/>
,
in	in	APPR	Duden	tu_75_xTok_000196
ihrem	ihr	PPOSAT	Duden	tu_75_xTok_000198
letzteren	letztere	ADJA	Duden	tu_75_xTok_000200
Dienst	Dienst	NN	Duden	tu_75_xTok_000202
aber	aber	ADV	Duden	tu_75_xTok_000204
von	von	APPR	Duden	tu_75_xTok_000206
einem	ein	ART	Duden	tu_75_xTok_000208
gemeinen	gemein	ADJA	Duden	tu_75_xTok_000210
Dragoner	Dragoner	NN	Duden	tu_75_xTok_000211
geschwängeret	schwängern	VVPP	Duden	tu_75_xTok_000213
worden	werden	VAPP	Duden	tu_75_xTok_000215
<g/>
,
und	und	KON	Duden	tu_75_xTok_000218
solch=	solch	PIAT	Duden	tu_75_xTok_000220
ihre	ihr	PPOSAT	Duden	tu_75_xTok_000222
Leibes=frucht	Leibesfrucht	NN	Duden	tu_75_xTok_000224
in	in	APPR	Duden	tu_75_xTok_000226
dem	d	ART	Duden	tu_75_xTok_000228
vierten	vierte	ADJA	Duden	tu_75_xTok_000229
Monat	Monat	NN	Duden	tu_75_xTok_000231
boshaft	boshaft	ADJD	Duden	tu_75_xTok_000233
abgetrieben	abtreiben	VVPP	Duden	tu_75_xTok_000235
<g/>
)
ihrem	ihr	PPOSAT	Duden	tu_75_xTok_000238
vorhinnig=	vorhinnig	ADJA	DWB	tu_75_xTok_000240
unkeuschen	unkeusch	ADJA	Duden	tu_75_xTok_000242
Leben	Leben	NN	Duden	tu_75_xTok_000243
nach	nach	APPO	Duden	tu_75_xTok_000245
<g/>
,
und	und	KON	Duden	tu_75_xTok_000248
mit	mit	APPR	Duden	tu_75_xTok_000250
denen	d	ART	Duden	tu_75_xTok_000252
Soldaten	Soldat	NN	Duden	tu_75_xTok_000254
in	in	APPR	Duden	tu_75_xTok_000256
Hungarn	Ungarn	NE::top	Duden	tu_75_xTok_000258
dergestalten	dergestalt	ADV	Duden	tu_75_xTok_000260
lasterhaft	lasterhaft	ADJD	Duden	tu_75_xTok_000262
herumgezogen	herumziehen	VVPP	Duden	tu_75_xTok_000265
<g/>
,
daß	dass	KOUS	Duden	tu_75_xTok_000268
selbe	selbe	PDS	Duden	tu_75_xTok_000270
mit	mit	APPR	Duden	tu_75_xTok_000272
der	d	ART	Duden	tu_75_xTok_000274
hierdurch	hierdurch	PAV	Duden	tu_75_xTok_000276
an	an	APPR	Duden	tu_75_xTok_000278
sich	sich	PRF	Duden	tu_75_xTok_000280
gezogenen	ziehen	ADJA	Duden	tu_75_xTok_000282
üblen	übel	ADJA	Duden	tu_75_xTok_000284
Krankheit	Krankheit	NN	Duden	tu_75_xTok_000285
äusserst	äußerst	ADV	Duden	tu_75_xTok_000287
behaftet	behaften	VVPP	Duden	tu_75_xTok_000289
<g/>
,
und	und	KON	Duden	tu_75_xTok_000292
die	d	ART	Duden	tu_75_xTok_000294
übrige	übrig	ADJA	Duden	tu_75_xTok_000296
Zeit	Zeit	NN	Duden	tu_75_xTok_000298
hindurch	hindurch	ADV	Duden	tu_75_xTok_000300
wenig	wenig	ADV	Duden	tu_75_xTok_000302
mehr	mehr	PIS	Duden	tu_75_xTok_000304
gedienet	dienen	VVPP	Duden	tu_75_xTok_000306
<g/>
,
sondern	sondern	KON	Duden	tu_75_xTok_000310
theils	teils	ADV	Duden	tu_75_xTok_000312
in	in	APPR	Duden	tu_75_xTok_000314
Hungarn	Ungarn	NE::top	Duden	tu_75_xTok_000316
<g/>
,
theils	teils	ADV	Duden	tu_75_xTok_000319
in	in	APPR	Duden	tu_75_xTok_000321
Steyermarkt	Steiermark	NE::top	Duden	tu_75_xTok_000323
auf	auf	APPR	Duden	tu_75_xTok_000325
das	d	ART	Duden	tu_75_xTok_000327
Bettlen	betteln	VVINF-NN	Duden	tu_75_xTok_000328
<g/>
,
und	und	KON	Duden	tu_75_xTok_000331
sonst	sonst	ADV	Duden	tu_75_xTok_000333
liederliche	liederlich	ADJA	Duden	tu_75_xTok_000335
Herum=vagieren	herumvagieren	VVINF-NN	Duden	tu_75_xTok_000337
in so lang	insolang	ADV		tu_75_xTok_000339
sich	sich	PRF	Duden	tu_75_xTok_000345
verleget	verlegen	VVPP	DWB	tu_75_xTok_000347
<g/>
,
bis	bis	KOUS	Duden	tu_75_xTok_000351
sie	sie	PPER	Duden	tu_75_xTok_000353
zu	zu	APPR	Duden	tu_75_xTok_000355
Neukirchen	Neukirchen	NE::top	oov	tu_75_xTok_000357
unweit	unweit	APPR	Duden	tu_75_xTok_000359
Neustadt	Neustadt	NE::top	oov	tu_75_xTok_000361
als	als	KOKOM	Duden	tu_75_xTok_000363
eine	ein	ART	Duden	tu_75_xTok_000365
Bettlerin	Bettlerin	NN	Duden	tu_75_xTok_000367
und	und	KON	Duden	tu_75_xTok_000369
Mißiggeherin	Müßiggeherin	NN	oov	tu_75_xTok_000370
aufgehoben	aufheben	VVPP	Duden	tu_75_xTok_000372
<g/>
,
nacher	nacher	APPR	DWB	tu_75_xTok_000375
Neustadt	Neustadt	NE::top	oov	tu_75_xTok_000377
eingelieferet	einliefern	VVPP	Duden	tu_75_xTok_000379
<g/>
,
und	und	KON	Duden	tu_75_xTok_000382
daselbst	daselbst	ADV	Duden	tu_75_xTok_000384
über	über	APPR	Duden	tu_75_xTok_000385
den	d	ART	Duden	tu_75_xTok_000387
mit	mit	APPR	Duden	tu_75_xTok_000389
ihr	sie	PPER	Duden	tu_75_xTok_000391
der	d	ART	Duden	tu_75_xTok_000393
eingestandenen	eingestehen	ADJA	Duden	tu_75_xTok_000395
Kindes Abtreibung	Kindesabtreibung	NN		tu_75_xTok_000397
<g/>
,
und	und	KON	Duden	tu_75_xTok_000402
