<doc id="fb_17610409_JohannGeorgR" delinquent_sexes="male" title="Todesurteil Johann Georg R." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_77_xTok_000140
seines	sein	PPOSAT	Duden	tu_77_xTok_000142
Verbrechens	Verbrechen	NN	Duden	tu_77_xTok_000144
<g/>
.
</head>
<p id="fb_17610409_JohannGeorgR_p_0001">
ES	es	PPER	Duden	tu_77_xTok_000146
ist	sein	VAFIN	Duden	tu_77_xTok_000149
dieser	diese	PDAT	Duden	tu_77_xTok_000151
Delinquent	Delinquent	NN	Duden	tu_77_xTok_000153
in	in	APPR	Duden	tu_77_xTok_000155
dem	d	ART	Duden	tu_77_xTok_000157
14.	14	CARD		tu_77_xTok_000159
Jahr	Jahr	NN	Duden	tu_77_xTok_000161
seines	sein	PPOSAT	Duden	tu_77_xTok_000163
Alters	Alter	NN	Duden	tu_77_xTok_000164
aus	aus	APPR	Duden	tu_77_xTok_000166
dem	d	ART	Duden	tu_77_xTok_000168
Spital	Spital	NN	Duden	tu_77_xTok_000170
zu	zu	APPR	Duden	tu_77_xTok_000172
Thuln	Tulln	NE::top	Duden	tu_77_xTok_000174
zu	zu	APPR	Duden	tu_77_xTok_000176
einem	ein	ART	Duden	tu_77_xTok_000178
dasigen	dasig	ADJA	Duden	tu_77_xTok_000179
Tuchmacher	Tuchmacher	NN	Duden	tu_77_xTok_000181
zu	zu	APPR	Duden	tu_77_xTok_000183
Erlernung	Erlernung	NN	Duden	tu_77_xTok_000185
sothaner	sothan	ADJA	DWB	tu_77_xTok_000187
Profeßion	Profession	NN	Duden	tu_77_xTok_000189
<g/>
,
folgends	folgends	ADV	DWB	tu_77_xTok_000193
in	in	APPR	Duden	tu_77_xTok_000195
ein	ein	ART	Duden	tu_77_xTok_000197
sicheres	sicher	ADJA	DWB	tu_77_xTok_000199
Kloster	Kloster	NN	Duden	tu_77_xTok_000201
zu	zu	APPR	Duden	tu_77_xTok_000203
Ofen	Ofen	NE::top	oov	tu_77_xTok_000205
in	in	APPR	Duden	tu_77_xTok_000207
die	d	ART	Duden	tu_77_xTok_000209
Arbeit	Arbeit	NN	Duden	tu_77_xTok_000210
gekommen	kommen	VVPP	Duden	tu_77_xTok_000212
<g/>
,
sohin	sohin	ADV	Duden	tu_77_xTok_000215
nach	nach	APPR	Duden	tu_77_xTok_000217
allda	allda	ADV	Duden	tu_77_xTok_000219
erhaltener	erhalten	ADJA	Duden	tu_77_xTok_000221
Kundschaft	Kundschaft	NN	Duden	tu_77_xTok_000223
auf	auf	APPR	Duden	tu_77_xTok_000226
dieses	diese	PDAT	Duden	tu_77_xTok_000228
sein	sein	PPOSAT	Duden	tu_77_xTok_000230
Handwerk	Handwerk	NN	Duden	tu_77_xTok_000232
sowol	sowohl	KON	Duden	tu_77_xTok_000234
hier	hier	ADV	Duden	tu_77_xTok_000236
zu	zu	APPR	Duden	tu_77_xTok_000238
Land	Land	NN	Duden	tu_77_xTok_000240
<g/>
,
als	als	KON	Duden	tu_77_xTok_000243
auch	auch	ADV	Duden	tu_77_xTok_000244
in	in	APPR	Duden	tu_77_xTok_000246
Steyermarkt	Steiermark	NE::top	Duden	tu_77_xTok_000248
drey	drei	CARD	Duden	tu_77_xTok_000250
Jahr	Jahr	NN	Duden	tu_77_xTok_000252
lang	lang	ADJD	Duden	tu_77_xTok_000254
herum	herum	PTKVZ	Duden	tu_77_xTok_000256
gewandert	herumwandern	VVPP	Duden	tu_77_xTok_000258
<g/>
,
und	und	KON	Duden	tu_77_xTok_000260
in so lang	insolang	ADV		tu_77_xTok_000262
seiner	sein	PPOSAT	Duden	tu_77_xTok_000268
Profeßion	Profession	NN	Duden	tu_77_xTok_000270
nachgegangen	nachgehen	VVPP	Duden	tu_77_xTok_000272
<g/>
,
bis	bis	KOUS	Duden	tu_77_xTok_000275
selber	selbe	PDS	Duden	tu_77_xTok_000277
Anno	annus	FM	G-LDHW	tu_77_xTok_000280
1758.	1758	CARD		tu_77_xTok_000282
im	im	APPRART	Duden	tu_77_xTok_000284
Fasching	Fasching	NN	Duden	tu_77_xTok_000286
zur	zur	APPRART	Duden	tu_77_xTok_000288
spaten	spät	ADJA	Duden	tu_77_xTok_000290
Nachts=zeit	Nachtzeit	NN	Duden	tu_77_xTok_000292
in	in	APPR	Duden	tu_77_xTok_000294
einem	ein	ART	Duden	tu_77_xTok_000295
Wirts=haus	Wirtshaus	NN	Duden	tu_77_xTok_000297
am	am	APPRART	Duden	tu_77_xTok_000299
alten Lerchen=feld	AltesLerchenfeld	NE::top		tu_77_xTok_000301
aufgehoben	aufheben	VVPP	Duden	tu_77_xTok_000305
<g/>
,
des	d	ART	Duden	tu_77_xTok_000307
anderen	andere	ADJA	Duden	tu_77_xTok_000309
Tags	Tag	NN	Duden	tu_77_xTok_000311
gegen	gegen	APPR	Duden	tu_77_xTok_000314
empfangenen	empfangen	ADJA	Duden	tu_77_xTok_000316
50.	50	CARD		tu_77_xTok_000318
Fl.	Flore	NN	DWB	tu_77_xTok_000320
Handgeld	Handgeld	NN	Duden	tu_77_xTok_000323
in	in	APPR	Duden	tu_77_xTok_000326
dem	d	ART	Duden	tu_77_xTok_000328
allhiesigen	allhiesig	ADJA	DWB	tu_77_xTok_000330
Landhaus	Landhaus	NN	Duden	tu_77_xTok_000332
freywillig	freiwillig	ADJD	Duden	tu_77_xTok_000334
assentiret	assentieren	VVPP	Duden	tu_77_xTok_000336
<g/>
,
und	und	KON	Duden	tu_77_xTok_000338
dem	d	ART	Duden	tu_77_xTok_000340
Löbl.	löblich	ADJA	Duden	tu_77_xTok_000342
Kaiserl.	kaiserlich	ADJA	Duden	tu_77_xTok_000345
Königl.	königlich	ADJA	Duden	tu_77_xTok_000348
Waldeggischen	Waldeggisch	ADJA	oov	tu_77_xTok_000351
Jnfanterie=regiment	Infanterieregiment	NN	Duden	tu_77_xTok_000353
zugetheilet	zuteilen	VVPP	Duden	tu_77_xTok_000356
worden	werden	VAPP	Duden	tu_77_xTok_000358
<g/>
;
sintemalen	sintemalen	KOUS	Duden	tu_77_xTok_000361
aber	aber	ADV	Duden	tu_77_xTok_000363
er	er	PPER	Duden	tu_77_xTok_000365
Delinquent	Delinquent	NN	Duden	tu_77_xTok_000366
in	in	APPR	Duden	tu_77_xTok_000368
6.	6	CARD		tu_77_xTok_000370
Wochen	Woche	NN	Duden	tu_77_xTok_000372
darauf	darauf	PAV	Duden	tu_77_xTok_000374
<g/>
,
nämlich	nämlich	ADV	Duden	tu_77_xTok_000377
am	am	APPRART	Duden	tu_77_xTok_000379
Palmsamstag	Palmsamstag	NN	oov	tu_77_xTok_000381
erst=bemeldten	erstbemeldet	ADJA	oov	tu_77_xTok_000384
Jahrs	Jahr	NN	Duden	tu_77_xTok_000386
mit	mit	APPR	Duden	tu_77_xTok_000388
Beyhülf	Beihilfe	NN	Duden	tu_77_xTok_000390
einer	ein	ART	Duden	tu_77_xTok_000392
sicheren	sicher	ADJA	DWB	tu_77_xTok_000394
nunmehro	nunmehro	ADV	oov	tu_77_xTok_000397
auf	auf	APPR	Duden	tu_77_xTok_000399
10.	10	CARD		tu_77_xTok_000401
Jahr	Jahr	NN	Duden	tu_77_xTok_000403
zu	zu	APPR	Duden	tu_77_xTok_000405
einer	ein	ART	Duden	tu_77_xTok_000407
innländischen	inländisch	ADJA	Duden	tu_77_xTok_000409
Schanz=arbeit	Schanzarbeit	NN	Duden	tu_77_xTok_000410
in	in	APPR	Duden	tu_77_xTok_000412
Eisen	Eisen	NN	Duden	tu_77_xTok_000414
<g/>
,
und	und	KON	Duden	tu_77_xTok_000417
Banden	Band	NN	Duden	tu_77_xTok_000419
verurtheilten	verurteilen	ADJA	Duden	tu_77_xTok_000421
Manns=person	Mannsperson	NN	Duden	tu_77_xTok_000422
boßhaft	boshaft	ADJD	Duden	tu_77_xTok_000424
entwichen	entweichen	VVPP	Duden	tu_77_xTok_000426
<g/>
,
und	und	KON	Duden	tu_77_xTok_000429
desertiret	desertieren	VVPP	Duden	tu_77_xTok_000431
<g/>
,
endlichen	endlich	ADV	Duden	tu_77_xTok_000434
aber	aber	ADV	Duden	tu_77_xTok_000437
den	d	ART	Duden	tu_77_xTok_000439
11.	11	ADJA		tu_77_xTok_000441
Februarii	Februar	NN	Duden	tu_77_xTok_000443
dieses	diese	PDAT	Duden	tu_77_xTok_000445
Jahrs	Jahr	NN	Duden	tu_77_xTok_000447
bey	bei	APPR	Duden	tu_77_xTok_000449
einem	ein	ART	Duden	tu_77_xTok_000451
Tuchmacher	Tuchmacher	NN	Duden	tu_77_xTok_000452
zu	zu	APPR	Duden	tu_77_xTok_000454
Schwechat	Schwechat	NE::top	oov	tu_77_xTok_000456
in	in	APPR	Duden	tu_77_xTok_000458
der	d	ART	Duden	tu_77_xTok_000460
Arbeit	Arbeit	NN	Duden	tu_77_xTok_000462
betretten	betreten	VVPP	Duden	tu_77_xTok_000464
worden	werden	VAPP	Duden	tu_77_xTok_000466
<g/>
;
so	so	ADV	Duden	tu_77_xTok_000470
hat	haben	VAFIN	Duden	tu_77_xTok_000472
er	er	PPER	Duden	tu_77_xTok_000474
Delinquent	Delinquent	NN	Duden	tu_77_xTok_000476
bey	bei	APPR	Duden	tu_77_xTok_000478
solch	solch	PIAT	Duden	tu_77_xTok_000480
an	an	APPR	Duden	tu_77_xTok_000482
ihme	er	PPER	Duden	tu_77_xTok_000484
unternom mener mener	unternehmen	ADJA	Duden	tu_77_xTok_000486
Handfestmachung	Handfestmachung	NN	DRW	tu_77_xTok_000489
der	d	ART	Duden	tu_77_xTok_000491
Wache	Wache	NN	Duden	tu_77_xTok_000493
sich	sich	PRF	Duden	tu_77_xTok_000495
dergestalten	dergestalt	ADV	Duden	tu_77_xTok_000497
gewaltthätig	gewalttätig	ADJD	Duden	tu_77_xTok_000498
widersetzet	widersetzen	VVPP	Duden	tu_77_xTok_000500
<g/>
,
daß	dass	KOUS	Duden	tu_77_xTok_000503
er	er	PPER	Duden	tu_77_xTok_000505
<g/>
,
sowol	sowohl	KON	Duden	tu_77_xTok_000508
eidlich	eidlich	ADJD	Duden	tu_77_xTok_000510
bestättigt=	bestätigtermaßen	ADV	oov	tu_77_xTok_000512
als	als	KON	Duden	tu_77_xTok_000513
selbst	selbst	ADV	Duden	tu_77_xTok_000515
geständiger=massen	geständigermaßen	ADV	oov	tu_77_xTok_000517
<g/>
,
mit	mit	APPR	Duden	tu_77_xTok_000520
einem	ein	ART	Duden	tu_77_xTok_000522
in	in	APPR	Duden	tu_77_xTok_000524
sein	sein	PPOSAT	Duden	tu_77_xTok_000526
des	d	ART	Duden	tu_77_xTok_000528
Delinquentens	Delinquent	NN	Duden	tu_77_xTok_000529
Leibel=taschen	Leiberltasche	NN	oov	tu_77_xTok_000531
unter	unter	APPR	Duden	tu_77_xTok_000533
dem	d	ART	Duden	tu_77_xTok_000535
Rockelor	Rockelor	NN	Duden	tu_77_xTok_000537
verborgen	verborgen	ADJD	Duden	tu_77_xTok_000539
gehabt=	haben	ADJA	Duden	tu_77_xTok_000542
mit	mit	APPR	Duden	tu_77_xTok_000544
einer	ein	ART	Duden	tu_77_xTok_000546
eisernen	eisern	ADJA	Duden	tu_77_xTok_000548
Schale	Schale	NN	Duden	tu_77_xTok_000550
<g/>
,
dann	dann	ADV	Duden	tu_77_xTok_000553
einer	ein	ART	Duden	tu_77_xTok_000555
langen	lang	ADJA	Duden	tu_77_xTok_000557
eisernen	eisern	ADJA	Duden	tu_77_xTok_000558
Klinge	Klinge	NN	Duden	tu_77_xTok_000560
<g/>
,
und	und	KON	Duden	tu_77_xTok_000563
2.	2	CARD		tu_77_xTok_000565
ungeladenen	ungeladen	ADJA	Duden	tu_77_xTok_000567
Schuß=lauffen	Schusslauf	NN	oov	tu_77_xTok_000569
versehen=	versehen	ADJD	Duden	tu_77_xTok_000571
gewesten	sein	ADJA	Duden	tu_77_xTok_000574
Messer	Messer	NN	Duden	tu_77_xTok_000576
nicht	nicht	PTKNEG	Duden	tu_77_xTok_000578
nur	nur	ADV	Duden	tu_77_xTok_000580
allein	allein	ADV	Duden	tu_77_xTok_000582
dem	d	ART	Duden	tu_77_xTok_000584
alldasigen	alldasig	ADJA	oov	tu_77_xTok_000586
Marktdiener	Marktdiener	NN	DRW	tu_77_xTok_000589
<g/>
,
welcher	welch	PRELS	Duden	tu_77_xTok_000593
ihne	er	PPER	Duden	tu_77_xTok_000595
linker Seits	linkerseits	ADV		tu_77_xTok_000597
am	am	PTKA	Duden	tu_77_xTok_000601
stärkesten	stark	ADJD	Duden	tu_77_xTok_000603
gehalten	halten	VVPP	Duden	tu_77_xTok_000605
<g/>
,
vorsetzlicher	vorsätzlich	ADJA	Duden	tu_77_xTok_000607
Weise	Weise	NN	Duden	tu_77_xTok_000609
gerad aus	geradeaus	ADV		tu_77_xTok_000611
vorwerts	vorwärts	ADV	Duden	tu_77_xTok_000615
an	an	APPR	Duden	tu_77_xTok_000618
dem	d	ART	Duden	tu_77_xTok_000620
Leibe	Leib	NN	Duden	tu_77_xTok_000622
einen	ein	ART	Duden	tu_77_xTok_000624
tödtlichen	tödlich	ADJA	Duden	tu_77_xTok_000625
Stich	Stich	NN	Duden	tu_77_xTok_000628
beygebracht	beibringen	VVPP	Duden	tu_77_xTok_000630
<g/>
,
sondern	sondern	KON	Duden	tu_77_xTok_000633
auch	auch	ADV	Duden	tu_77_xTok_000635
zu	zu	APPR	Duden	tu_77_xTok_000637
gleicher	gleich	ADJA	Duden	tu_77_xTok_000639
Zeit	Zeit	NN	Duden	tu_77_xTok_000640
den	d	ART	Duden	tu_77_xTok_000642
ihme	er	PPER	Duden	tu_77_xTok_000644
an	an	APPR	Duden	tu_77_xTok_000646
der	d	ART	Duden	tu_77_xTok_000648
rechten	rechte	ADJA	Duden	tu_77_xTok_000650
Seite	Seite	NN	Duden	tu_77_xTok_000652
gestandenen	stehen	ADJA	Duden	tu_77_xTok_000654
Gefreyten	Gefreiter	NN	Duden	tu_77_xTok_000656
der	d	ART	Duden	tu_77_xTok_000659
alhiesigen	allhiesig	ADJA	DWB	tu_77_xTok_000661
Rumor=wache	Rumorwache	NN	DWB	tu_77_xTok_000663
ebenfals	ebenfalls	ADV	Duden	tu_77_xTok_000665
vorwerts	vorwärts	ADV	Duden	tu_77_xTok_000667
am	am	APPRART	Duden	tu_77_xTok_000670
Leibe	Leib	NN	Duden	tu_77_xTok_000671
tods=gefährlich	todesgefährlich	ADJD	Duden	tu_77_xTok_000673
verwundet	verwunden	VVPP	Duden	tu_77_xTok_000675
<g/>
,
also	also	ADV	Duden	tu_77_xTok_000678
zwar	zwar	ADV	Duden	tu_77_xTok_000680
<g/>
,
daß	dass	KOUS	Duden	tu_77_xTok_000683
solch	solch	PIAT	Duden	tu_77_xTok_000685
von	von	APPR	Duden	tu_77_xTok_000686
ihme	er	PPER	Duden	tu_77_xTok_000688
Delinquenten	Delinquent	NN	Duden	tu_77_xTok_000690
auf	auf	APPR	Duden	tu_77_xTok_000692
dem	d	ART	Duden	tu_77_xTok_000694
Markt=diener	Marktdiener	NN	DRW	tu_77_xTok_000696
zu erst	zuerst	ADV		tu_77_xTok_000698
geführter	führen	ADJA	Duden	tu_77_xTok_000702
Stich	Stich	NN	Duden	tu_77_xTok_000705
durch	durch	APPR	Duden	tu_77_xTok_000707
die	d	ART	Duden	tu_77_xTok_000709
Rippen	Rippe	NN	Duden	tu_77_xTok_000711
bis	bis	APPR	Duden	tu_77_xTok_000713
in	in	APPR	Duden	tu_77_xTok_000715
den	d	ART	Duden	tu_77_xTok_000717
Magen	Magen	NN	Duden	tu_77_xTok_000719
gedrungen	dringen	VVPP	Duden	tu_77_xTok_000721
<g/>
,
und	und	KON	Duden	tu_77_xTok_000725
wegen	wegen	APPR	Duden	tu_77_xTok_000727
des	d	ART	Duden	tu_77_xTok_000729
hiebey	hiebei	PAV	Duden	tu_77_xTok_000731
von	von	APPR	Duden	tu_77_xTok_000733
ihme	er	PPER	Duden	tu_77_xTok_000735
Thäter	Täter	NN	Duden	tu_77_xTok_000737
geflissentlich	geflissentlich	ADJD	Duden	tu_77_xTok_000739
gebraucht=	gebrauchen	ADJA	Duden	tu_77_xTok_000742
ausserordentlichen	außerordentlich	ADJA	Duden	tu_77_xTok_000744
Gewalts	Gewalt	NN	Duden	tu_77_xTok_000746
die	d	ART	Duden	tu_77_xTok_000748
grosse	groß	ADJA	Duden	tu_77_xTok_000750
Kranz=	Kranzader	TRUNC	Duden	tu_77_xTok_000751
und	und	KON	Duden	tu_77_xTok_000753
Blut=ader	Blutader	NN	Duden	tu_77_xTok_000755
des	d	ART	Duden	tu_77_xTok_000757
Magens	Magen	NN	Duden	tu_77_xTok_000759
zerschnitten	zerschneiden	VVPP	Duden	tu_77_xTok_000761
<g/>
,
mithin	mithin	ADV	Duden	tu_77_xTok_000764
der	d	ART	Duden	tu_77_xTok_000767
so	so	ADV	Duden	tu_77_xTok_000769
grausam	grausam	ADJD	Duden	tu_77_xTok_000771
verwundete	verwundet	ADJA	Duden	tu_77_xTok_000773
Markt=diener	Marktdiener	NN	DRW	tu_77_xTok_000775
in	in	APPR	Duden	tu_77_xTok_000777
drey	drei	CARD	Duden	tu_77_xTok_000779
Stunden	Stunde	NN	Duden	tu_77_xTok_000780
darauf	darauf	PAV	Duden	tu_77_xTok_000782
Todes	Tod	NN	Duden	tu_77_xTok_000784
verfahren	verfahren	VVPP	DWB	tu_77_xTok_000786
müssen	müssen	VMINF	Duden	tu_77_xTok_000788
<g/>
,
der	d	ART	Duden	tu_77_xTok_000791
Rumorgefreyte	Rumorgefreiter	NN	oov	tu_77_xTok_000793
hingegen	hingegen	ADV	Duden	tu_77_xTok_000796
<g/>
,
durch	durch	APPR	Duden	tu_77_xTok_000799
eine	ein	ART	Duden	tu_77_xTok_000801
an	an	APPR	Duden	tu_77_xTok_000803
ihme	er	PPER	Duden	tu_77_xTok_000805
besonders	besonders	ADV	Duden	tu_77_xTok_000807
glücklich	glücklich	ADJD	Duden	tu_77_xTok_000809
vorgenommene	vornehmen	ADJA	Duden	tu_77_xTok_000812
Cur	Kur	NN	Duden	tu_77_xTok_000814
<g/>
,
an	an	APPR	Duden	tu_77_xTok_000817
dieser	diese	PDAT	Duden	tu_77_xTok_000819
seiner	sein	PPOSAT	Duden	tu_77_xTok_000821
Verwundung	Verwundung	NN	Duden	tu_77_xTok_000823
schon	schon	ADV	Duden	tu_77_xTok_000824
zimlich	ziemlich	ADV	Duden	tu_77_xTok_000826
wiederum	wiederum	ADV	Duden	tu_77_xTok_000829
hergestellt	herstellen	VVPP	Duden	tu_77_xTok_000831
sich	sich	PRF	Duden	tu_77_xTok_000833
