<doc id="fb_17610814_LeonhardM_Christia" delinquent_sexes="male" title="Todesurteil Leonhard M., Christian S." attrs="word lemma pos vocab id">
<p id="fb_17610814_LeonhardM_Christia_p_0001">
Demnach	demnach	PAV	Duden	tu_80_xTok_000112
Leonhard	Leonhard	NE	Duden	tu_80_xTok_000115
M.	M.	NE	oov	tu_80_xTok_000117
von	von	APPR	Duden	tu_80_xTok_000120
<placeName id="pn80">
Schorgost	Schorgost	NE::top	oov	tu_80_xTok_000122
aus	aus	APPR	Duden	tu_80_xTok_000124
dem	d	ART	Duden	tu_80_xTok_000126
Bambergischen	bambergisch	ADJ-NN	Duden	tu_80_xTok_000127
in	in	APPR	Duden	tu_80_xTok_000129
Franken	Franken	NE::top	Duden	tu_80_xTok_000131
</placeName>
gebürtig	gebürtig	ADJD	Duden	tu_80_xTok_000133
<g/>
/
41.	41	CARD		tu_80_xTok_000137
Jahr	Jahr	NN	Duden	tu_80_xTok_000139
alt	alt	ADJD	Duden	tu_80_xTok_000140
<g/>
/
catholischer	katholisch	ADJA	Duden	tu_80_xTok_000144
Religion	Religion	NN	Duden	tu_80_xTok_000146
<g/>
/
verheyrathet	verheiratet	ADJD	Duden	tu_80_xTok_000150
<g/>
/
wegen	wegen	APPR	Duden	tu_80_xTok_000154
verschiedentlichen	verschiedentlich	ADV	Duden	tu_80_xTok_000155
hier	hier	ADV	Duden	tu_80_xTok_000157
<g/>
/
und	und	KON	Duden	tu_80_xTok_000161
in	in	APPR	Duden	tu_80_xTok_000163
Wien	Wien	NE::top	Duden	tu_80_xTok_000165
verübten	verüben	ADJA	Duden	tu_80_xTok_000167
Diebstählen	Diebstahl	NN	Duden	tu_80_xTok_000169
<g/>
/
an	an	APPR	Duden	tu_80_xTok_000174
beyden	beide	PIAT	Duden	tu_80_xTok_000176
Orten	Ort	NN	Duden	tu_80_xTok_000178
zu	zu	APPR	Duden	tu_80_xTok_000180
drey	drei	CARD	Duden	tu_80_xTok_000182
unterschiedenen	unterschieden	ADJA	Duden	tu_80_xTok_000184
malen	Mal	NN	Duden	tu_80_xTok_000185
<g/>
/
mittels	mittels	APPR	Duden	tu_80_xTok_000189
eines	ein	ART	Duden	tu_80_xTok_000191
ganzen	ganz	ADJA	Duden	tu_80_xTok_000193
Schillings	Schilling	NN	Duden	tu_80_xTok_000195
<g/>
/
am	am	APPRART	Duden	tu_80_xTok_000199
leztern	letztere	ADJ-NN	Duden	tu_80_xTok_000201
