<doc id="fb_17611024_GregoriusBacza_Mat" delinquent_sexes="misc" title="Todesurteile Gregorius Bacza, Mathias Kovács, Georgius Pávelka, Anna Sávolyi,Eva Kiss" attrs="word lemma pos vocab id">
<head>
Das	d	ART	Duden	tu_83_xTok_000217
Urtheil	Urteil	NN	Duden	tu_83_xTok_000219
Gregorii	Gregorius	NE	oov	tu_83_xTok_000221
Bacza	Bacza	NE	oov	tu_83_xTok_000223
<g/>
,
welcher	welch	PRELS	Duden	tu_83_xTok_000226
wegen	wegen	APPR	Duden	tu_83_xTok_000228
seinem	sein	PPOSAT	Duden	tu_83_xTok_000229
Diebstahl	Diebstahl	NN	Duden	tu_83_xTok_000231
zum	zum	APPRART	Duden	tu_83_xTok_000233
Strang	Strang	NN	Duden	tu_83_xTok_000235
verurtheilet	verurteilen	VVPP	Duden	tu_83_xTok_000237
ist	sein	VAFIN	Duden	tu_83_xTok_000239
<g/>
.
</head>
<p id="fb_17611024_GregoriusBacza_Mat_p_0001">
NAchdeme	nachdem	KOUS	Duden	tu_83_xTok_000241
die	d	ART	Duden	tu_83_xTok_000244
Malefiz Person	Malefizperson	NN		tu_83_xTok_000246
Gregorius	Gregorius	NE	Duden	tu_83_xTok_000250
Bacza	Bacza	NE	oov	tu_83_xTok_000252
<g/>
,
wohnhaft	wohnhaft	ADJD	Duden	tu_83_xTok_000255
zu	zu	APPR	Duden	tu_83_xTok_000258
Toszegh	Toszegh	NE::top	oov	tu_83_xTok_000260
das	d	ART	Duden	tu_83_xTok_000262
Göttliche	göttlich	ADJA	Duden	tu_83_xTok_000264
Gebott	Gebot	NN	Duden	tu_83_xTok_000266
auf	auf	APPR	Duden	tu_83_xTok_000268
die	d	ART	Duden	tu_83_xTok_000270
Seit	Seite	NN	Duden	tu_83_xTok_000272
gesetzet	setzen	VVPP	Duden	tu_83_xTok_000273
<g/>
/
in	in	APPR	Duden	tu_83_xTok_000277
welchen	welch	PRELAT	Duden	tu_83_xTok_000279
Gebotten	gebieten	VVPP	Duden	tu_83_xTok_000281
wird	werden	VAFIN	Duden	tu_83_xTok_000283
<g/>
/
daß	dass	KOUS	Duden	tu_83_xTok_000287
wir	wir	PPER	Duden	tu_83_xTok_000289
unserers	unser	PPOSAT	Duden	tu_83_xTok_000291
Nächsten	Nächste	NN	Duden	tu_83_xTok_000292
Gut	Gut	NN	Duden	tu_83_xTok_000294
nicht	nicht	PTKNEG	Duden	tu_83_xTok_000296
solten	sollen	VMFIN	Duden	tu_83_xTok_000298
begehren	begehren	VVINF	Duden	tu_83_xTok_000300
<g/>
/
wie	wie	KOUS	Duden	tu_83_xTok_000304
auch	auch	ADV	Duden	tu_83_xTok_000306
