<doc id="fb_17690216_CatharinaJ_Moralre" delinquent_sexes="male" title="Moral Catharina J." attrs="word lemma pos vocab id">
<cit>
<quote>
Credemus	credo	FM	G-LDHW	tu_91_xTok_000103
Tragicis	tragicus	FM	G-LDHW	tu_91_xTok_000105
<g/>
,
quidquid	quisquis	FM	G-LDHW	tu_91_xTok_000108
de	de	FM	G-LDHW	tu_91_xTok_000110
Colchide	Colchis	FM	G-LDHW	tu_91_xTok_000112
torva	torvus	FM	G-LDHW	tu_91_xTok_000114
Dicitur	dico	FM	G-LDHW	tu_91_xTok_000115
<g/>
,
auf	auf	APPR	Duden	tu_91_xTok_000118
Progne	Procne	NE	G-LDHW	tu_91_xTok_000120
<g/>
:
nil	nihil	FM	G-LDHW	tu_91_xTok_000123
contra	contra	FM	G-LDHW	tu_91_xTok_000125
conor	conor	FM	G-LDHW	tu_91_xTok_000127
<g/>
.
</quote>
<bibl>
Juv.	Iuvenalis	NE	G-LDHW	tu_91_xTok_000129
Satyr.	Satira	FM	G-LDHW	tu_91_xTok_000132
VI.	VI	FM	oov	tu_91_xTok_000135
</bibl>
</cit>
<lg type="stanza">
<l id="fb_17690216_CatharinaJ_Moralre_l_0001">
Es	es	PPER	Duden	tu_91_xTok_000137
ist	sein	VAFIN	Duden	tu_91_xTok_000140
nun	nun	ADV	Duden	tu_91_xTok_000142
kein	kein	PIAT	Duden	tu_91_xTok_000144
Gedicht	Gedicht	NN	Duden	tu_91_xTok_000146
<g/>
,
was	was	PRELS	Duden	tu_91_xTok_000149
man	man	PIS	Duden	tu_91_xTok_000151
von	von	APPR	Duden	tu_91_xTok_000153
Progne	Procne	NE	G-LDHW	tu_91_xTok_000155
schreibt	schreiben	VVFIN	Duden	tu_91_xTok_000157
<g/>
,
</l>
<l id="fb_17690216_CatharinaJ_Moralre_l_0002">
Daß	dass	KOUS	Duden	tu_91_xTok_000159
sie	sie	PPER	Duden	tu_91_xTok_000161
mit	mit	APPR	Duden	tu_91_xTok_000163
eigner	eigen	ADJA	Duden	tu_91_xTok_000165
Hand	Hand	NN	Duden	tu_91_xTok_000167
ihr	ihr	PPOSAT	Duden	tu_91_xTok_000169
eignes	eigen	ADJA	Duden	tu_91_xTok_000171
Kind	Kind	NN	Duden	tu_91_xTok_000173
entleibt	entleiben	VVFIN	Duden	tu_91_xTok_000175
<g/>
,
</l>
<l id="fb_17690216_CatharinaJ_Moralre_l_0003">
