<doc id="fb_17720612_JosephZ" delinquent_sexes="male" title="Todesurteil Joseph Z." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_98_xTok_000137
seines	sein	PPOSAT	Duden	tu_98_xTok_000139
Verbrechens	Verbrechen	NN	Duden	tu_98_xTok_000141
<g/>
.
</head>
<p id="fb_17720612_JosephZ_p_0001">
Dieser	diese	PDAT	Duden	tu_98_xTok_000143
Joseph	Joseph	NE	Duden	tu_98_xTok_000146
Z.	Z.	NE	oov	tu_98_xTok_000148
hat	haben	VAFIN	Duden	tu_98_xTok_000151
in	in	APPR	Duden	tu_98_xTok_000153
seiner	sein	PPOSAT	Duden	tu_98_xTok_000155
Jugend	Jugend	NN	Duden	tu_98_xTok_000157
das	d	ART	Duden	tu_98_xTok_000159
Peruquenmacherhandwerk	Perückenmacherhandwerk	NN	oov	tu_98_xTok_000161
erlehrnet	erlernen	VVPP	Duden	tu_98_xTok_000164
<g/>
,
wodurch	wodurch	PWAV	Duden	tu_98_xTok_000167
er	er	PPER	Duden	tu_98_xTok_000169
dann	dann	ADV	Duden	tu_98_xTok_000171
einige	einige	PIAT	Duden	tu_98_xTok_000173
Zeit	Zeit	NN	Duden	tu_98_xTok_000175
<g/>
,
seit	seit	APPR	Duden	tu_98_xTok_000178
einigen	einige	PIAT	Duden	tu_98_xTok_000180
Jahren	Jahr	NN	Duden	tu_98_xTok_000183
aber	aber	ADV	Duden	tu_98_xTok_000185
durch	durch	APPR	Duden	tu_98_xTok_000187
Lakeysdienste	Lakaiendienst	NN	oov	tu_98_xTok_000189
in so lang	insolang	ADV		tu_98_xTok_000191
ehrlich	ehrlich	ADJD	Duden	tu_98_xTok_000197
sich	sich	PRF	Duden	tu_98_xTok_000199
durchgebracht	durchbringen	VVPP	Duden	tu_98_xTok_000200
<g/>
,
bis	bis	KOUS	Duden	tu_98_xTok_000203
er	er	PPER	Duden	tu_98_xTok_000205
im	im	APPRART	Duden	tu_98_xTok_000207
Weinmonat	Weinmonat	NN	Duden	tu_98_xTok_000209
letztverflossenen	letztverflossen	ADJA	DWB	tu_98_xTok_000211
1771.	1771	CARD		tu_98_xTok_000213
Jahrs	Jahr	NN	Duden	tu_98_xTok_000215
dienstlose	dienstlos	ADJA	DWB	tu_98_xTok_000216
worden	werden	VAPP	Duden	tu_98_xTok_000218
