<doc id="fb_17720917_LeopoldS" delinquent_sexes="male" title="Todesurteil Leopold S." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_99_xTok_000131
seines	sein	PPOSAT	Duden	tu_99_xTok_000133
Verbrechens	Verbrechen	NN	Duden	tu_99_xTok_000135
<g/>
.
</head>
<p id="fb_17720917_LeopoldS_p_0001">
Da	da	KOUS	Duden	tu_99_xTok_000137
dieser	diese	PDAT	Duden	tu_99_xTok_000140
Leopold	Leopold	NE	Duden	tu_99_xTok_000142
S.	S.	NE	oov	tu_99_xTok_000144
weder	weder	KON	Duden	tu_99_xTok_000147
eine	ein	ART	Duden	tu_99_xTok_000149
Handthierung	Hantierung	NN	Duden	tu_99_xTok_000151
erlernet	erlernen	VVPP	Duden	tu_99_xTok_000153
<g/>
,
noch	noch	KON	Duden	tu_99_xTok_000156
sonst	sonst	ADV	Duden	tu_99_xTok_000157
auf	auf	APPR	Duden	tu_99_xTok_000159
einen	ein	ART	Duden	tu_99_xTok_000161
anderen	andere	ADJA	Duden	tu_99_xTok_000163
ehrlichen	ehrlich	ADJA	Duden	tu_99_xTok_000165
Verdienst	Verdienst	NN	Duden	tu_99_xTok_000167
sich	sich	PRF	Duden	tu_99_xTok_000169
verleget	verlegen	VVPP	DWB	tu_99_xTok_000171
<g/>
,
sondern	sondern	KON	Duden	tu_99_xTok_000174
von	von	APPR	Duden	tu_99_xTok_000177
seiner	sein	PPOSAT	Duden	tu_99_xTok_000179
ersten	erste	ADJA	Duden	tu_99_xTok_000181
Jugend	Jugend	NN	Duden	tu_99_xTok_000183
an	an	APPR	Duden	tu_99_xTok_000185
mehrestentheils	mehrstenteils	ADV	oov	tu_99_xTok_000187
dem	d	ART	Duden	tu_99_xTok_000189
Müßiggange	Müßiggang	NN	Duden	tu_99_xTok_000191
ergeben	ergeben	ADJD	Duden	tu_99_xTok_000192
gewesen	sein	VAPP	Duden	tu_99_xTok_000194
<g/>
,
und	und	KON	Duden	tu_99_xTok_000197
andurch	andurch	ADV	DWB	tu_99_xTok_000199
endlichen	endlich	ADV	Duden	tu_99_xTok_000201
gar	gar	ADV	Duden	tu_99_xTok_000203
auf	auf	APPR	Duden	tu_99_xTok_000205
das	d	ART	Duden	tu_99_xTok_000207
Stehlen	stehlen	VVINF-NN	Duden	tu_99_xTok_000209
verfallen	verfallen	VVPP	Duden	tu_99_xTok_000211
ist	sein	VAFIN	Duden	tu_99_xTok_000214
<g/>
,
wurde	werden	VAFIN	Duden	tu_99_xTok_000217
er	er	PPER	Duden	tu_99_xTok_000219
wegen	wegen	APPR	Duden	tu_99_xTok_000221
eines	ein	ART	Duden	tu_99_xTok_000223
gleich	gleich	ADV	Duden	tu_99_xTok_000225
außer	außer	APPR	Duden	tu_99_xTok_000227
den	d	ART	Duden	tu_99_xTok_000229
hisigen	hiesig	ADJA	Duden	tu_99_xTok_000231
Linien	Linie	NN	Duden	tu_99_xTok_000233
im	im	APPRART	Duden	tu_99_xTok_000234
neuen Lerchenfeld	NeuesLerchenfeld	NE::top		tu_99_xTok_000236
in	in	APPR	Duden	tu_99_xTok_000240
einer	ein	ART	Duden	tu_99_xTok_000242
Wohnung	Wohnung	NN	Duden	tu_99_xTok_000244
zu	zu	APPR	Duden	tu_99_xTok_000246
ebener	eben	ADJA	Duden	tu_99_xTok_000248
Erden	Erde	NN	Duden	tu_99_xTok_000250
mittels	mittels	APPR	Duden	tu_99_xTok_000252
Einsteigung	Einsteigung	NN	DRW	tu_99_xTok_000253
durch	durch	APPR	Duden	tu_99_xTok_000255
ein	ein	ART	Duden	tu_99_xTok_000257
zu	zu	APPR	Duden	tu_99_xTok_000259
solchem	solch	PIAT	Duden	tu_99_xTok_000261
Ende	Ende	NN	Duden	tu_99_xTok_000263
eingestossenes	einstoßen	ADJA	Duden	tu_99_xTok_000265
Fenster	Fenster	NN	Duden	tu_99_xTok_000267
zur	zur	APPRART	Duden	tu_99_xTok_000269
Abendszeit	Abendzeit	NN	Duden	tu_99_xTok_000270
verübten	verüben	ADJA	Duden	tu_99_xTok_000272
auf	auf	APPR	Duden	tu_99_xTok_000274
15.	15	CARD		tu_99_xTok_000276
fl.	Flore	NN	DWB	tu_99_xTok_000278
43.	43	CARD		tu_99_xTok_000281
kr.	Kreuzer	NN	Duden	tu_99_xTok_000283
gerichtlich	gerichtlich	ADJD	Duden	tu_99_xTok_000286
angeschlagenen	anschlagen	ADJA	Duden	tu_99_xTok_000288
Diebstahls	Diebstahl	NN	Duden	tu_99_xTok_000289
das	d	ART	Duden	tu_99_xTok_000291
erste	erste	ADJA	Duden	tu_99_xTok_000293
mal	Mal	NN	Duden	tu_99_xTok_000293b
im	im	APPRART	Duden	tu_99_xTok_000295
Jahr	Jahr	NN	Duden	tu_99_xTok_000297
1768.	1768	CARD		tu_99_xTok_000299
alhier	allhier	ADV	Duden	tu_99_xTok_000301
in	in	APPR	Duden	tu_99_xTok_000303
Verhaft	Verhaft	NN	Duden	tu_99_xTok_000305
gebracht	bringen	VVPP	Duden	tu_99_xTok_000307
<g/>
,
hierüber	hierüber	PAV	Duden	tu_99_xTok_000311
mit	mit	APPR	Duden	tu_99_xTok_000313
10.	10	CARD		tu_99_xTok_000315
Karbatschstreichen	Karbatschenstreich	NN	DWB	tu_99_xTok_000317
Willkomm	Willkommen	NN	Duden	tu_99_xTok_000319
und	und	KON	Duden	tu_99_xTok_000321
so	so	ADV	Duden	tu_99_xTok_000323
viel	viel	PIAT	Duden	tu_99_xTok_000325
Abschied	Abschied	NN	Duden	tu_99_xTok_000326
<g/>
,
auf	auf	APPR	Duden	tu_99_xTok_000329
acht	acht	CARD	Duden	tu_99_xTok_000331
Wochen	Woche	NN	Duden	tu_99_xTok_000333
in	in	APPR	Duden	tu_99_xTok_000335
das	d	ART	Duden	tu_99_xTok_000337
hisige	hiesig	ADJA	Duden	tu_99_xTok_000339
Zucht=	Zuchthaus	TRUNC	Duden	tu_99_xTok_000341
und	und	KON	Duden	tu_99_xTok_000343
Arbeitshaus	Arbeitshaus	NN	Duden	tu_99_xTok_000345
verschaffet	verschaffen	VVPP	Duden	tu_99_xTok_000346
<g/>
,
und	und	KON	Duden	tu_99_xTok_000349
sohin	sohin	ADV	Duden	tu_99_xTok_000351
von	von	APPR	Duden	tu_99_xTok_000353
dannen	dannen	ADV	Duden	tu_99_xTok_000355
in	in	APPR	Duden	tu_99_xTok_000357
sein	sein	PPOSAT	Duden	tu_99_xTok_000359
Geburtsort	Geburtsort	NN	Duden	tu_99_xTok_000361
abgeschoben	abschieben	VVPP	Duden	tu_99_xTok_000363
<g/>
.
</p>
<p id="fb_17720917_LeopoldS_p_0002">
Als	als	KOUS	Duden	tu_99_xTok_000365
er	er	PPER	Duden	tu_99_xTok_000367
aber	aber	ADV	Duden	tu_99_xTok_000369
unterweges	unterwegs	ADV	Duden	tu_99_xTok_000371
von	von	APPR	Duden	tu_99_xTok_000373
dem	d	ART	Duden	tu_99_xTok_000375
Schub	Schub	NN	Duden	tu_99_xTok_000377
entwiche	entweichen	VVFIN	Duden	tu_99_xTok_000379
<g/>
,
und	und	KON	Duden	tu_99_xTok_000382
hieher	hieher	PAV	Duden	tu_99_xTok_000384
zuruckkehrte	zurückkehren	VVFIN	Duden	tu_99_xTok_000385
<g/>
,
ist	sein	VAFIN	Duden	tu_99_xTok_000388
er	er	PPER	Duden	tu_99_xTok_000390
hiewegen	hierwegen	ADV	oov	tu_99_xTok_000392
das	d	ART	Duden	tu_99_xTok_000394
Zweyte	zweite	ADJA	Duden	tu_99_xTok_000396
mal	Mal	NN	Duden	tu_99_xTok_000396b
im	im	APPRART	Duden	tu_99_xTok_000398
Jahr	Jahr	NN	Duden	tu_99_xTok_000400
1769.	1769	CARD		tu_99_xTok_000402
eben	eben	ADV	Duden	tu_99_xTok_000404
alhier	allhier	ADV	Duden	tu_99_xTok_000405
gefänglich	gefänglich	ADJD	Duden	tu_99_xTok_000407
innengerathen	innengeraten	VVPP	oov	tu_99_xTok_000409
<g/>
,
wo	wo	PWAV	Duden	tu_99_xTok_000412
dann	dann	ADV	Duden	tu_99_xTok_000414
auch	auch	ADV	Duden	tu_99_xTok_000416
durch	durch	APPR	Duden	tu_99_xTok_000418
