<doc id="fb_17741110_KarlL" delinquent_sexes="male" title="Todesurteil Karl L." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_108_xTok_000145
seines	sein	PPOSAT	Duden	tu_108_xTok_000147
Verbrechens	Verbrechen	NN	Duden	tu_108_xTok_000149
<g/>
.
</head>
<p id="fb_17741110_KarlL_p_0001">
Nachdeme	nachdem	KOUS	Duden	tu_108_xTok_000151
dieser	diese	PDAT	Duden	tu_108_xTok_000154
Delinquent	Delinquent	NN	Duden	tu_108_xTok_000156
in	in	APPR	Duden	tu_108_xTok_000158
seiner	sein	PPOSAT	Duden	tu_108_xTok_000160
Jugend	Jugend	NN	Duden	tu_108_xTok_000162
die	d	ART	Duden	tu_108_xTok_000164
Baaderprofeßion	Baderprofession	NN	oov	tu_108_xTok_000166
ordentlich	ordentlich	ADJD	Duden	tu_108_xTok_000167
erlernet	erlernen	VVPP	Duden	tu_108_xTok_000169
<g/>
,
und	und	KON	Duden	tu_108_xTok_000172
seinem	sein	PPOSAT	Duden	tu_108_xTok_000174
Vorgeben	Vorgeben	NN	Duden	tu_108_xTok_000176
nach	nach	APPO	Duden	tu_108_xTok_000178
eben	eben	ADV	Duden	tu_108_xTok_000180
andurch	andurch	ADV	DWB	tu_108_xTok_000182
bis	bis	APPR	Duden	tu_108_xTok_000183
in	in	APPR	Duden	tu_108_xTok_000185
das	d	ART	Duden	tu_108_xTok_000187
28ste	28	ADJA		tu_108_xTok_000189
Jahr	Jahr	NN	Duden	tu_108_xTok_000192
seines	sein	PPOSAT	Duden	tu_108_xTok_000194
Alters	Alter	NN	Duden	tu_108_xTok_000196
sich	sich	PRF	Duden	tu_108_xTok_000198
ehrlich	ehrlich	ADJD	Duden	tu_108_xTok_000200
erhalten	erhalten	VVPP	Duden	tu_108_xTok_000202
hat	haben	VAFIN	Duden	tu_108_xTok_000204
<g/>
,
ist	sein	VAFIN	Duden	tu_108_xTok_000207
er	er	PPER	Duden	tu_108_xTok_000209
sodann	sodann	ADV	Duden	tu_108_xTok_000210
zu	zu	APPR	Duden	tu_108_xTok_000212
Padua	Padua	NE::top	Duden	tu_108_xTok_000214
in	in	APPR	Duden	tu_108_xTok_000216
Venetianische	venezianisch	ADJA	Duden	tu_108_xTok_000218
Kriegsdienste	Kriegsdienst	NN	Duden	tu_108_xTok_000220
getretten	treten	VVPP	Duden	tu_108_xTok_000222
<g/>
,
welche	welch	PRELS	Duden	tu_108_xTok_000225
er	er	PPER	Duden	tu_108_xTok_000226
aber	aber	ADV	Duden	tu_108_xTok_000228
nach	nach	APPR	Duden	tu_108_xTok_000230
verloffenen	verlaufen	ADJA	Duden	tu_108_xTok_000232
6.	6	CARD		tu_108_xTok_000234
Jahren	Jahr	NN	Duden	tu_108_xTok_000236
heimlich	heimlich	ADJD	Duden	tu_108_xTok_000238
verlassen	verlassen	VVPP	Duden	tu_108_xTok_000240
<g/>
,
und	und	KON	Duden	tu_108_xTok_000243
sich	sich	PRF	Duden	tu_108_xTok_000245
hierauf	hierauf	PAV	Duden	tu_108_xTok_000247
in	in	APPR	Duden	tu_108_xTok_000250
das	d	ART	Duden	tu_108_xTok_000252
Land	Land	NN	Duden	tu_108_xTok_000254
Oesterreich	Österreich	NE::top	Duden	tu_108_xTok_000256
