<doc id="fb_17830814_MathiasM" delinquent_sexes="male" title="Todesurteil Mathias M." attrs="word lemma pos vocab id">
<head>
Jnnhalt	Inhalt	NN	Duden	tu_125_xTok_000117
seines	sein	PPOSAT	Duden	tu_125_xTok_000119
Verbrechens	Verbrechen	NN	Duden	tu_125_xTok_000121
<g/>
.
</head>
<p id="fb_17830814_MathiasM_p_0001">
Nachdem	nachdem	KOUS	Duden	tu_125_xTok_000123
er	er	PPER	Duden	tu_125_xTok_000126
den	d	ART	Duden	tu_125_xTok_000128
12ten	12	ADJA		tu_125_xTok_000130
März	März	NN	Duden	tu_125_xTok_000133
1780	1780	CARD		tu_125_xTok_000135
<g/>
;
von	von	APPR	Duden	tu_125_xTok_000138
hier	hier	ADV	Duden	tu_125_xTok_000140
das	d	ART	Duden	tu_125_xTok_000142
dritte	dritte	ADJA	Duden	tu_125_xTok_000144
mal	Mal	NN	Duden	tu_125_xTok_000144b
deserteurt	desertieren	VVPP	Duden	tu_125_xTok_000147
<g/>
,
nach	nach	APPR	Duden	tu_125_xTok_000150
seiner	sein	PPOSAT	Duden	tu_125_xTok_000152
Desertion	Desertion	NN	Duden	tu_125_xTok_000154
bis	bis	APPR	Duden	tu_125_xTok_000156
zu	zu	APPR	Duden	tu_125_xTok_000158
seiner	sein	PPOSAT	Duden	tu_125_xTok_000160
den	d	ART	Duden	tu_125_xTok_000163
14ten	14	ADJA		tu_125_xTok_000165
November	November	NN	Duden	tu_125_xTok_000168
1782.	1782	CARD		tu_125_xTok_000170
von	von	APPR	Duden	tu_125_xTok_000172
der	d	ART	Duden	tu_125_xTok_000174
fürstenfelder	fürstenfelder	ADJA	oov	tu_125_xTok_000176
Landgerichtspatroille	Landgerichtspatrouille	NN	oov	tu_125_xTok_000177
erfolgten	erfolgen	ADJA	Duden	tu_125_xTok_000179
Jnhaftirung	Inhaftierung	NN	Duden	tu_125_xTok_000181
vielfältige	vielfältig	ADJA	Duden	tu_125_xTok_000183
Dieb=	Dieberei	NN	Duden	tu_125_xTok_000184
und	und	KON	Duden	tu_125_xTok_000186
Raubereyen	Räuberei	NN	Duden	tu_125_xTok_000188
verübet	verüben	VVPP	Duden	tu_125_xTok_000190
<g/>
,
gleichwie	gleichwie	KOUS	Duden	tu_125_xTok_000193
er	er	PPER	Duden	tu_125_xTok_000195
einbekannter	einbekanntermaßen	TRUNC	oov	tu_125_xTok_000197
und	und	KON	Duden	tu_125_xTok_000200
erhobener massen	erhobenermaßen	ADV		tu_125_xTok_000202
den	d	ART	Duden	tu_125_xTok_000206
10ten	10	ADJA		tu_125_xTok_000208
Juny	Juni	NN	Duden	tu_125_xTok_000211
1781.	1781	CARD		tu_125_xTok_000213
als	als	KOKOM	Duden	tu_125_xTok_000215
am	am	APPRART	Duden	tu_125_xTok_000217
Dreyfaltigkeitsonntage	Dreifaltigkeitssonntag	NN	Duden	tu_125_xTok_000218
in	in	APPR	Duden	tu_125_xTok_000220
Gespannschaft	Gespanschaft	NN	Duden	tu_125_xTok_000222
noch	noch	ADV	Duden	tu_125_xTok_000224
dreyer	drei	ADJA	Duden	tu_125_xTok_000226
andern	ander	PIS	Duden	tu_125_xTok_000228
<g/>
,
als	als	KOKOM	Duden	tu_125_xTok_000232
Pöschltoni	Pöschltoni	NE	oov	tu_125_xTok_000234
<g/>
,
Aublinger	Aublinger	NE	oov	tu_125_xTok_000237
Sepl	Sepl	NE	oov	tu_125_xTok_000241
<g/>
,
und	und	KON	Duden	tu_125_xTok_000244
Halter	Halter	NE	oov	tu_125_xTok_000246
Jakl	Jakl	NE	oov	tu_125_xTok_000248
<g/>
,
bey	bei	APPR	Duden	tu_125_xTok_000250
dem	d	ART	Duden	tu_125_xTok_000252
Georg	Georg	NE	Duden	tu_125_xTok_000254
Leber	Leber	NE	oov	tu_125_xTok_000256
in	in	APPR	Duden	tu_125_xTok_000258
Mitterflagnizbergen	Mitterfladnitzberg	NE::top	oov	tu_125_xTok_000260
