<doc id="fb_17860000_Anonym2" delinquent_sexes="male" title="Beschreibung des Mordes an einem anonymen Mädchen" attrs="word lemma pos vocab id">
<p id="fb_17860000_Anonym2_p_0001">
Vor	vor	APPR	Duden	tu_128_xTok_000034
einigen	einige	PIAT	Duden	tu_128_xTok_000037
Tagen	Tag	NN	Duden	tu_128_xTok_000039
ging	gehen	VVFIN	Duden	tu_128_xTok_000041
ein	ein	ART	Duden	tu_128_xTok_000043
junger	jung	ADJA	Duden	tu_128_xTok_000045
gut	gut	ADJD	Duden	tu_128_xTok_000047
gekleideter	gekleidet	ADJA	Duden	tu_128_xTok_000048
Mensch	Mensch	NN	Duden	tu_128_xTok_000050
mit	mit	APPR	Duden	tu_128_xTok_000052
einem	ein	ART	Duden	tu_128_xTok_000054
artigen	artig	ADJA	Duden	tu_128_xTok_000056
Mädchen	Mädchen	NN	Duden	tu_128_xTok_000058
in	in	APPR	Duden	tu_128_xTok_000061
Prater	Prater	NE::top	Duden	tu_128_xTok_000063
spazieren	spazieren	VVINF	Duden	tu_128_xTok_000065
<g/>
;
er	er	PPER	Duden	tu_128_xTok_000068
führte	führen	VVFIN	Duden	tu_128_xTok_000070
sie	sie	PPER	Duden	tu_128_xTok_000072
am	am	APPRART	Duden	tu_128_xTok_000074
Arm	Arm	NN	Duden	tu_128_xTok_000075
<g/>
,
und	und	KON	Duden	tu_128_xTok_000078
schien	scheinen	VVFIN	Duden	tu_128_xTok_000080
mit	mit	APPR	Duden	tu_128_xTok_000082
selben	selbe	PDS	Duden	tu_128_xTok_000084
recht	recht	ADV	DWB	tu_128_xTok_000086
vertraulich	vertraulich	ADJD	Duden	tu_128_xTok_000088
zu	zu	PTKZU	Duden	tu_128_xTok_000091
sprechen	sprechen	VVINF	Duden	tu_128_xTok_000093
<g/>
.
Auf	auf	APPR	Duden	tu_128_xTok_000096
ihrer	ihr	PPOSAT	Duden	tu_128_xTok_000098
Stirne	Stirn	NN	Duden	tu_128_xTok_000100
glänzte	glänzen	VVFIN	Duden	tu_128_xTok_000102
Zufriedenheit	Zufriedenheit	NN	Duden	tu_128_xTok_000105
<g/>
,
und	und	KON	Duden	tu_128_xTok_000108
Sie	sie	PPER	Duden	tu_128_xTok_000110
sah	ansehen	VVFIN	Duden	tu_128_xTok_000112
mit	mit	APPR	Duden	tu_128_xTok_000114
allen	all	PIAT	Duden	tu_128_xTok_000116
Vergnügen	Vergnügen	NN	Duden	tu_128_xTok_000117
die	d	ART	Duden	tu_128_xTok_000119
Schönheit	Schönheit	NN	Duden	tu_128_xTok_000121
des	d	ART	Duden	tu_128_xTok_000123
Tages	Tag	NN	Duden	tu_128_xTok_000125
an	an	PTKVZ	Duden	tu_128_xTok_000127
<g/>
.
</p>
<p id="fb_17860000_Anonym2_p_0002">
Mit	mit	APPR	Duden	tu_128_xTok_000129
ihren	ihr	PPOSAT	Duden	tu_128_xTok_000131
leichten	leicht	ADJA	Duden	tu_128_xTok_000133
Kleide	Kleid	NN	Duden	tu_128_xTok_000135
spielte	spielen	VVFIN	Duden	tu_128_xTok_000137
der	d	ART	Duden	tu_128_xTok_000139
gelinde	gelind	ADJA	Duden	tu_128_xTok_000140
Zephier	Zephir	NN	Duden	tu_128_xTok_000142
und	und	KON	Duden	tu_128_xTok_000144
auf	auf	APPR	Duden	tu_128_xTok_000146
die	d	ART	Duden	tu_128_xTok_000148
gelaßneste	gelassen	ADJA	Duden	tu_128_xTok_000150
Art	Art	NN	Duden	tu_128_xTok_000152
<g/>
,
folgte	folgen	VVFIN	Duden	tu_128_xTok_000154
Sie	sie	PPER	Duden	tu_128_xTok_000156
seinen	sein	PPOSAT	Duden	tu_128_xTok_000158
Schritte	Schritt	NN	Duden	tu_128_xTok_000160
<g/>
.
Sie	sie	PPER	Duden	tu_128_xTok_000163
stellte	vorstellen	VVFIN	Duden	tu_128_xTok_000165
sich	sich	PRF	Duden	tu_128_xTok_000166
bei	bei	APPR	Duden	tu_128_xTok_000168
diesen	diese	PDAT	Duden	tu_128_xTok_000170
Spaziergange	Spaziergang	NN	Duden	tu_128_xTok_000172
nichts	nichts	PIAT	Duden	tu_128_xTok_000174
Uibles	übel	ADJ-NN	Duden	tu_128_xTok_000176
vor	vor	PTKVZ	Duden	tu_128_xTok_000179
<g/>
.
</p>
<p id="fb_17860000_Anonym2_p_0003">
So	so	ADV	Duden	tu_128_xTok_000181
blühet	blühen	VVFIN	Duden	tu_128_xTok_000183
öfters	öfters	ADV	Duden	tu_128_xTok_000185
die	d	ART	Duden	tu_128_xTok_000187
junge	jung	ADJA	Duden	tu_128_xTok_000189
Rose	Rose	NN	Duden	tu_128_xTok_000191
in	in	APPR	Duden	tu_128_xTok_000192
vollem	voll	ADJA	Duden	tu_128_xTok_000194
Keime	Keim	NN	Duden	tu_128_xTok_000196
<g/>
,
bis	bis	KOUS	Duden	tu_128_xTok_000199
selbe	selbe	PDS	Duden	tu_128_xTok_000201
gäh	gähe	ADJD	DWB	tu_128_xTok_000203
eine	ein	ART	Duden	tu_128_xTok_000205
Schloße	Schloße	NN	Duden	tu_128_xTok_000207
entblättert	entblättern	VVFIN	Duden	tu_128_xTok_000210
und	und	KON	Duden	tu_128_xTok_000212
zu	zu	APPR	Duden	tu_128_xTok_000214
Boden	Boden	NN	Duden	tu_128_xTok_000216
schlägt	schlagen	VVFIN	Duden	tu_128_xTok_000218
<g/>
.
Er	er	PPER	Duden	tu_128_xTok_000221
führte	führen	VVFIN	Duden	tu_128_xTok_000222
das	d	ART	Duden	tu_128_xTok_000224
gute	gut	ADJA	Duden	tu_128_xTok_000226
Kind	Kind	NN	Duden	tu_128_xTok_000228
in	in	APPR	Duden	tu_128_xTok_000230
Grünen	Grüne	NN	Duden	tu_128_xTok_000232
bis	bis	APPR	Duden	tu_128_xTok_000234
fast	fast	ADV	Duden	tu_128_xTok_000236
an	an	APPR	Duden	tu_128_xTok_000237
das	d	ART	Duden	tu_128_xTok_000239
Lusthause	Lusthaus	NN	Duden	tu_128_xTok_000241
<g/>
,
Sie	sie	PPER	Duden	tu_128_xTok_000244
sah	vorsehen	VVFIN	Duden	tu_128_xTok_000246
es	es	PPER	Duden	tu_128_xTok_000248
aber	aber	ADV	Duden	tu_128_xTok_000250
leider	leider	ADV	Duden	tu_128_xTok_000252
nicht	nicht	PTKNEG	Duden	tu_128_xTok_000253
vor	vor	PTKVZ	Duden	tu_128_xTok_000255
daß	dass	KOUS	Duden	tu_128_xTok_000257
ihr	ihr	PPOSAT	Duden	tu_128_xTok_000259
Mörder	Mörder	NN	Duden	tu_128_xTok_000261
an	an	APPR	Duden	tu_128_xTok_000263
ihrer	ihr	PPOSAT	Duden	tu_128_xTok_000265
Seite	Seite	NN	Duden	tu_128_xTok_000267
ging	gehen	VVFIN	Duden	tu_128_xTok_000269
<g/>
.
</p>
<p id="fb_17860000_Anonym2_p_0004">
Da	da	KOUS	Duden	tu_128_xTok_000271
sie	sie	PPER	Duden	tu_128_xTok_000273
nun	nun	ADV	Duden	tu_128_xTok_000275
beyde	beide	PIS	Duden	tu_128_xTok_000277
an	an	APPR	Duden	tu_128_xTok_000279
den	d	ART	Duden	tu_128_xTok_000281
Domm	Damm	NN	Duden	tu_128_xTok_000283
kommen	kommen	VVINF	Duden	tu_128_xTok_000284
ersah	ersehen	VVFIN	Duden	tu_128_xTok_000286
er	er	PPER	Duden	tu_128_xTok_000288
seinen	sein	PPOSAT	Duden	tu_128_xTok_000290
Vortheil	Vorteil	NN	Duden	tu_128_xTok_000292
und	und	KON	Duden	tu_128_xTok_000294
stürzte	hinabstürzen	VVFIN	Duden	tu_128_xTok_000296
Sie	sie	PPER	Duden	tu_128_xTok_000299
in	in	APPR	Duden	tu_128_xTok_000301
Eil	Eile	NN	Duden	tu_128_xTok_000303
in	in	APPR	Duden	tu_128_xTok_000305
den	d	ART	Duden	tu_128_xTok_000307
Fluß	Fluss	NN	Duden	tu_128_xTok_000309
hinab	hinab	PTKVZ	Duden	tu_128_xTok_000311
<g/>
,
wo	wo	PWAV	Duden	tu_128_xTok_000314
selber	selbe	PDS	Duden	tu_128_xTok_000316
am	am	PTKA	Duden	tu_128_xTok_000319
tiefesten	tief	ADJD	Duden	tu_128_xTok_000321
war	sein	VAFIN	Duden	tu_128_xTok_000323
<g/>
.
Einige	einige	PIS	Duden	tu_128_xTok_000326
sahen	ansehen	VVFIN	Duden	tu_128_xTok_000328
diese	diese	PDAT	Duden	tu_128_xTok_000330
abscheuliche	abscheulich	ADJA	Duden	tu_128_xTok_000331
That	Tat	NN	Duden	tu_128_xTok_000333
von	von	APPR	Duden	tu_128_xTok_000335
Ferne	Ferne	NN	Duden	tu_128_xTok_000337
an	an	PTKVZ	Duden	tu_128_xTok_000339
und	und	KON	Duden	tu_128_xTok_000341
eilten	herbeieilen	VVFIN	Duden	tu_128_xTok_000343
sogleich	sogleich	ADV	Duden	tu_128_xTok_000344
herbei	herbei	PTKVZ	Duden	tu_128_xTok_000346
die	d	ART	Duden	tu_128_xTok_000348
Unglückliche	unglücklich	ADJ-NN	Duden	tu_128_xTok_000350
zu	zu	PTKZU	Duden	tu_128_xTok_000352
retten	retten	VVINF	Duden	tu_128_xTok_000354
<g/>
,
aber	aber	KON	Duden	tu_128_xTok_000356
es	es	PPER	Duden	tu_128_xTok_000358
ware	sein	VAFIN	Duden	tu_128_xTok_000360
schon	schon	ADV	Duden	tu_128_xTok_000362
zu	zu	PTKA	Duden	tu_128_xTok_000364
spätt	spät	ADJD	Duden	tu_128_xTok_000366
<g/>
,
denn	denn	KON	Duden	tu_128_xTok_000369
sie	sie	PPER	Duden	tu_128_xTok_000371
war	sein	VAFIN	Duden	tu_128_xTok_000373
schon	schon	ADV	Duden	tu_128_xTok_000374
albereits	allbereits	ADV	Duden	tu_128_xTok_000376
versunken	versinken	VVPP	Duden	tu_128_xTok_000378
<g/>
.
</p>
<p id="fb_17860000_Anonym2_p_0005">
Der	d	ART	Duden	tu_128_xTok_000380
Thäter	Täter	NN	Duden	tu_128_xTok_000382
hatte	haben	VAFIN	Duden	tu_128_xTok_000384
sich	sich	PRF	Duden	tu_128_xTok_000386
mit	mit	APPR	Duden	tu_128_xTok_000388
schnellen=	schnell	ADJA	Duden	tu_128_xTok_000390
Fuße	Fuß	NN	Duden	tu_128_xTok_000392
entfernet	entfernen	VVPP	Duden	tu_128_xTok_000394
<g/>
,
und	und	KON	Duden	tu_128_xTok_000397
man	man	PIS	Duden	tu_128_xTok_000399
verlor	verlieren	VVFIN	Duden	tu_128_xTok_000401
ihm	er	PPER	Duden	tu_128_xTok_000403
bald	bald	ADV	Duden	tu_128_xTok_000405
aus	aus	APPR	Duden	tu_128_xTok_000406
dem	d	ART	Duden	tu_128_xTok_000408
Gesichte	Gesicht	NN	Duden	tu_128_xTok_000410
<g/>
,
man	man	PIS	Duden	tu_128_xTok_000413
weiß	wissen	VVFIN	Duden	tu_128_xTok_000415
auch	auch	ADV	Duden	tu_128_xTok_000417
bisher	bisher	ADV	Duden	tu_128_xTok_000419
die	d	ART	Duden	tu_128_xTok_000420
Ursache	Ursache	NN	Duden	tu_128_xTok_000422
hievon	hievon	PAV	Duden	tu_128_xTok_000424
nicht	nicht	PTKNEG	Duden	tu_128_xTok_000426
<g/>
,
welche	welch	PRELS	Duden	tu_128_xTok_000429
ihn	er	PPER	Duden	tu_128_xTok_000431
zu	zu	APPR	Duden	tu_128_xTok_000432
diesen	diese	PDAT	Duden	tu_128_xTok_000434
Laster	Laster	NN	Duden	tu_128_xTok_000436
verleitet	verleiten	VVPP	Duden	tu_128_xTok_000438
hat	haben	VAFIN	Duden	tu_128_xTok_000440
<g/>
.
</p>
<p id="fb_17860000_Anonym2_p_0006">
Mädchen	Mädchen	NN	Duden	tu_128_xTok_000442
<g/>
!
trauet	trauen	VVIMP	Duden	tu_128_xTok_000445
nicht	nicht	PTKNEG	Duden	tu_128_xTok_000447
zu	zu	PTKA	Duden	tu_128_xTok_000449
sehr	sehr	ADV	Duden	tu_128_xTok_000451
einer	ein	ART	Duden	tu_128_xTok_000453
verstellten	verstellen	ADJA	Duden	tu_128_xTok_000456
Mine	Miene	NN	Duden	tu_128_xTok_000458
<g/>
,
denn	denn	KON	Duden	tu_128_xTok_000461
sehr	sehr	ADV	Duden	tu_128_xTok_000463
oft	oft	ADV	Duden	tu_128_xTok_000465
werden	werden	VAFIN	Duden	tu_128_xTok_000467
wir	wir	PPER	Duden	tu_128_xTok_000470
unter	unter	APPR	Duden	tu_128_xTok_000472
den	d	ART	Duden	tu_128_xTok_000474
Schein	Schein	NN	Duden	tu_128_xTok_000476
des	d	ART	Duden	tu_128_xTok_000478
Guten	gut	ADJ-NN	Duden	tu_128_xTok_000480
betrogen	betrügen	VVPP	Duden	tu_128_xTok_000482
<g/>
.
<g/>
—
</p>
</doc>
