<doc id="fb_17610409_JohannGeorgR.html" attrs="word lemma ana pos id join part"title="Todesurteil Johann Georg R." date="17610409">
<p id=fb_17610409_JohannGeorgR_p_0001>
ES	es	#fs_tu_77_xTok_000146	PPER	tu_77_xTok_000146	no	no
ist	sein	#fs_tu_77_xTok_000149	VAFIN	tu_77_xTok_000149	no	no
dieser	diese	#fs_tu_77_xTok_000151	PDAT	tu_77_xTok_000151	no	no
Delinquent	Delinquent	#fs_tu_77_xTok_000153	NN	tu_77_xTok_000153	no	no
in	in	#fs_tu_77_xTok_000155	APPR	tu_77_xTok_000155	no	no
dem	d	#fs_tu_77_xTok_000157	ART	tu_77_xTok_000157	no	no
14.	14	#fs_tu_77_xTok_000159	CARD	tu_77_xTok_000159	no	no
Jahr	Jahr	#fs_tu_77_xTok_000161	NN	tu_77_xTok_000161	no	no
seines	sein	#fs_tu_77_xTok_000163	PPOSAT	tu_77_xTok_000163	no	no
Alters	Alter	#fs_tu_77_xTok_000164	NN	tu_77_xTok_000164	no	no
aus	aus	#fs_tu_77_xTok_000166	APPR	tu_77_xTok_000166	no	no
dem	d	#fs_tu_77_xTok_000168	ART	tu_77_xTok_000168	no	no
Spital	Spital	#fs_tu_77_xTok_000170	NN	tu_77_xTok_000170	no	no
zu	zu	#fs_tu_77_xTok_000172	APPR	tu_77_xTok_000172	no	no
Thuln	Tulln	#fs_tu_77_xTok_000174	NE::top	tu_77_xTok_000174	no	no
zu	zu	#fs_tu_77_xTok_000176	APPR	tu_77_xTok_000176	no	no
einem	ein	#fs_tu_77_xTok_000178	ART	tu_77_xTok_000178	no	no
dasigen	dasig	#fs_tu_77_xTok_000179	ADJA	tu_77_xTok_000179	no	no
Tuchmacher	Tuchmacher	#fs_tu_77_xTok_000181	NN	tu_77_xTok_000181	no	no
zu	zu	#fs_tu_77_xTok_000183	APPR	tu_77_xTok_000183	no	no
Erlernung	Erlernung	#fs_tu_77_xTok_000185	NN	tu_77_xTok_000185	no	no
sothaner	sothan	#fs_tu_77_xTok_000187	ADJA	tu_77_xTok_000187	no	no
Profeßion	Profession	#fs_tu_77_xTok_000189	NN	tu_77_xTok_000189	right	no
